SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GHS JAFFAR KHAN KILLI (MALE),KHAWAJA KHEL,031030101,-,1245,,1245,3,,3
,,BABER KHEL,031030104,-,461,,461,,,
2,GPS CHOORIAKA (MALE),DOSTI KHEL,031030102,-,695,,695,3,,3
,,AFZAL KHEL,031030103,-,691,,691,,,
3,GGMS AZAMDIN KILLI (FEMALE),KHAWAJA KHEL,031030101,-,,204,204,,2,2
,,DOSTI KHEL,031030102,-,,232,232,,,
,,AFZAL KHEL,031030103,-,,95,95,,,
,,BABAR KHEL KANDO,031030104,-,,92,92,,,
4,GMS ZAWA* (MALE),SHER REHMAN KILL,031030108,-,328,,328,3,,3
,,ZAWA KILLI,031030107,-,469,,469,,,
,,QAZI KILLI,031030113,-,207,,207,,,
,,BADI ATTARI KILLI,031030114,-,332,,332,,,
5,GMS ZAWA (MALE),SAID AHMAD KILLI,031030110,-,490,,490,3,,3
,,MULVI SALAMAT SHAH,031030109,-,284,,284,,,
,,SAMANDAR KILLI,031030111,-,511,,511,,,
,,GHULAM RAHIM KILLI,031030119,-,257,,257,,,
6,GHS SAMA GHARI MALE,KHATTUM SHAH,031030116,-,373,,373,3,,3
,,SAID BADSHAH,031030120,-,272,,272,,,
,,SANDA CHAP KILLI,031030125,-,822,,822,,,
7,GHS SAMA GHARI MALE,SAID AKBAR ,031030106,-,374,,374,2,,2
,,GUL AFZAL KILLI,031030127,-,383,,383,,,
,,JALAL ABAD AKA KHAIL,031030269,-,461,,461,,,
8,GHS SAMA GHARI MALE,MALWAT CAMP,031030128,-,1056,,1056,2,,2
9,GPS AMAN TALAB MALE,QAMBAR KHEL KILLI,031030123,-,253,,253,2,,2
,,ASHRAF KILLI AKA KHEL,031030118,-,493,,493,,,
,,YAR SHAH KILLI,031030121,-,340,,340,,,
,,MUHAMMAD KILLI,031030122,-,316,,316,,,
10,GPS SHEON DRANG (MALE),NABI ABAD AKA KHEL,031030126,-,360,,360,3,,3
,,MADA KHEL KILLI,031030124,-,414,,414,,,
,,SYED MUHAMMAD KILLI,031030112,-,349,,349,,,
,,NOOR AHMAD KILLI,031030115,-,231,,231,,,
11,GGHS KALANGA (MALE),SHER KILLI,031030105,-,736,,736,3,,3
,,YASEEN KILLI,031030130,-,578,,578,,,
,,HAJI ZARIF KILLI,031030270,-,526,,526,,,
,,HAKIM KHAN KILLI,031030271,-,494,,494,,,
12,GGHS KALANGA (MALE),MALIK FAQEER KHAN KILLI,031030272,-,539,,539,1,,1
,,HAJI INAYAT KILLI,031030273,-,354,,354,,,
,,HAJI LAL JAN KILLI,031030275,-,266,,266,,,
,,JAHAZ GROUND,031030276,-,649,,649,,,
13,GMS AKHUM TALAB (MALE),MARI KILLI,031030117,-,171,,171,2,,2
,,TAKYA QUAMI MASJID,031030129,-,541,,541,,,
,,HAJI LAL JAN KILLI,031030274,-,400,,400,,,
14,BHU MILWART FEMALE,ZAWA KILLI,031030107,-,0,0,0,,1,1
,,SHER REHMAN KILLI,031030108,-,0,0,0,,,
,,MULVI SALAMAT SHAH,031030109,-,0,0,0,,,
,,SYED AHMAD SHAH KILLI,031030110,-,0,0,0,,,
,,SAMANDAR KILLI,031030111,-,0,0,0,,,
,,SYED MUHAMMAD KILLI,031030112,-,0,0,0,,,
,,QAZI KILLI,031030113,-,,49,49,,,
,,BADI ATTARI KILLI,031030114,-,,16,16,,,
,,NOOR AHMAD KILLI,031030115,-,,12,12,,,
,,KHALAM SHAH KILLI,031030116,-,,9,9,,,
,,ASHRAF KILLI,031030118,-,,265,265,,,
,,GHULAM RAHIM KILLI,031030119,-,0,0,0,,,
,,YAR SHAH KILLI,031030121,-,0,0,0,,,
,,JALAL ABAD,031030269,-,0,0,0,,,
,,SPEEN QABAR,031030275,-,0,0,0,,,
,,MUHAMMAD KILLI,031030122,-,0,0,0,,,
,,QAMBAR KHAIL KILLI,031030123,-,0,0,0,,,
,,MAWAL CAMP,031030124,-,0,0,0,,,
,,SANDA CHAP KILLI,031030125,-,0,0,0,,,
,,NABI ABAD,031030126,-,,131,131,,,
,,MAWAL CAMP,031030128,-,,52,52,,,
15,GGMS NAZIR SHAHKILLI DRO ADA FEMALE,SHER KILLI,031030105,-,,14,14,1,1,
,,SAID AKBAR KILLI,031030106,-,,8,8,,,
,,GUL AFZAL KILLI,031030127,-,,16,16,,,
,,TAKYA QUAMI MASJID,031030129,-,,187,187,,,
,,HAJI ZARIF MASJID,031030270,-,,74,74,,,
,,HAKIM KHAN KILLI,031030271,-,,82,82,,,
,,MALIK FAQEER KHAN KILLI,031030272,-,,13,13,,,
,,HAJI INAYAT ,031030273,-,,50,50,,,
,,HAJI LAL JAN KILLI,031030274,-,,90,90,,,
,,JAHAZ GROUND,031030276,-,,154,154,,,
,,MARI KILLI,031030117,-,0,0,0,,,
,,SAID BADSHAH KILLI,031030120,-,0,0,0,,,
,,YASEEN KILLI,031030130,-,0,0,0,,,
16,GHS KAMAR KHEL ATTARI MALE,MALIK SHIN AKBAR KILLI,031030201,-,198,,198,3,,3
,,KHAWARA ZIARAT,031030202,-,278,,278,,,
,,MIRA,031030203,-,292,,292,,,
,,TOUDA CHINA,031030206,-,482,,482,,,
,,NAZIR KHAN KILLI,031030205,-,278,,278,,,
17,GPS ALLAH DHAND (MALE),BAZ GARAH (WARAH),031030204,-,410,,410,3,,3
,,BAZGARAH (STARA),031030207,-,261,,261,,,
,,MIR DIN DHAND,031030208,-,248,,248,,,
,,ALLAH DHAND,031030209,-,428,,428,,,
,,GIDARO BAZAR,031030210,-,165,,165,,,
18,GPS KHAWANA ZIARAT (FEMALE),MALIK SUM AKBAR KILLI,031030201,-,,106,106,,1,1
,,KHAWARA ZIARAT,031030202,-,,55,55,,,
,,MIRA,031030203,-,,88,88,,,
,,BAZ GARAH,031030204,-,,111,111,,,
,,NAZIR KHAN KILLI,031030205,-,,36,36,,,
,,TOUDA CHINA,031030206,-,,157,157,,,
,,BAZGARAH (STARA),031030207,-,,70,70,,,
,,MIR DIN DHAND,031030208,-,,16,16,,,
,,ALLAH DHAND,031030209,-,,59,59,,,
,,GIDARO BAZAR,031030210,-,,39,39,,,
19,GPS CHARGAL DAGARI (MALE),KAGANO KAMAR,031030214,-,79,,79,2,,2
,,CHARGAI DAGARAI,031030212,-,468,,468,,,
,,REHMATULLAH DHAND,031030213,-,183,,183,,,
20,GPS SHOR BAHADAR KILLI (MALE),MISRI KHELO MELA,031030215,-,149,,149,2,,2
,,KHAN BEKHELO MELA,031030216,-,142,,142,,,
,,KAGA CHARA,031030217,-,151,,151,,,
,,BAR DAULAT KHEL,031030218,-,175,,175,,,
,,OUCHY GARAY,031030219,-,147,,147,,,
,,MADGHALI ATTARI,031030220,-,262,,262,,,
21,BHU FORT SLOOP (MALE),ALAM KHEL,031030221,-,240,,240,2,,2
,,BARMAR KHAN KHEL,031030222,-,167,,167,,,
,,SUR DHAND,031030226,-,298,,298,,,
,,SAID MALANG KILLI,031030224,-,227,,227,,,
,,MUKHAI DHAND,031030225,-,240,,240,,,
22,GDC KOHI SHER HAIDER (MALE),NAVAY KAMAR,031030223,-,252,,252,3,,3
,,FARASH KILLI,031030227,-,982,,982,,,
,,KARAWAL BARANI,031030229,-,426,,426,,,
23,GDC KOHI SHERHAIDER (MALE),GHUNDAR KAMA KHEL,031030228,-,1115,,1115,3,,3
,,FORTE STOOP CAMP,031030230,-,376,,376,,,
24,GHSS KOHI SHERHAIDER (MALE),KALA KHEL KARAWAL,031030231,-,217,,217,3,,3
,,JOH KILLI,031030232,-,911,,911,,,
,,DOZI KILLI NATA,031030234,-,242,,242,,,
25,GMS NALA AZEEM KILLI (MALE),DAULAT KHEL JUMAT,031030233,-,830,,830,2,,2
,,JUMA BAZ,031030236,-,394,,394,,,
26,GMS NALA AZEEM KILLI (MALE),KARIMABAD,031030235,-,718,,718,2,,2
,,NALA KHUWAR,031030237,-,370,,370,,,
27,GMS MADGHALI ATTARI (FEMALE),LAR KALA KHEL,031030211,-,,14,14,,1,1
,,CHARGAL DAGARAI,031030212,-,,51,51,,,
,,REHMATULLAH ,031030213,-,0,0,0,,,
,,KAGARO KAMAR,031030214,-,0,0,0,,,
,,MISRI KHELO MELA,031030215,-,0,0,0,,,
,,KHAN KHELO MELA,031030216,-,,46,46,,,
,,KAGA GHARA,031030217,-,,12,12,,,
,,BAR DAULAT KHEL,031030218,-,,9,9,,,
,,OUCHY GARAY,031030219,-,,5,5,,,
,,MADGHALI,031030220,-,0,0,0,,,
,,ALAM KHEL,031030221,-,0,0,0,,,
,,BARMAR KHAN KHEL,031030222,-,,58,58,,,
,,NAVAY KAMUR,031030223,-,,139,139,,,
,,SAID MALANG KILLI,031030224,-,0,0,0,,,
,,GHUNDAI KAMAR KHEL,031030228,-,,332,332,,,
28,GGMS GHAZL GUL KILLI (FEMALE),MUKHAL DHANO,031030225,-,,18,18,,1,1
,,SUR DHARD,031030226,-,,22,22,,,
,,KILLI,031030227,-,,17,17,,,
,,KARAWAL BARAN,031030229,-,,177,177,,,
,,FORTE STOOP CAMP,031030230,-,,31,31,,,
,,KALA KHEL KARAWAL,031030231,-,0,0,0,,,
,,KOHI KILLI,031030232,-,,117,117,,,
,,DAULAT KHEL JUMAT,031030233,-,,154,154,,,
,,DOZI KILLI NALA,031030234,-,,88,88,,,
,,KARIMABAD,031030235,-,,131,131,,,
,,JUMA BAZ,031030236,-,,34,34,,,
,,NALA KHUWAR,031030237,-,0,0,0,,,
29,GPS* MUHAMMAD AKBAR KILLI. (MALE),WARMANDO KHWARA,031030239,-,211,,211,2,,2
,,MRACHOO KHWARA,031030240,-,358,,358,,,
,,GANDAWOO KILI,031030244,-,126,,126,,,
,,MUHAMMAD AKBAR KILLI.,031030246,-,304,,304,,,
,,TANDI KILI,031030259,-,188,,188,,,
30,GMS SPIN QABAR (SEPAH),GUL MUHAMMAD KILI*,031030245,-,269,,269,2,,2
,,AKHUN KILLI,031030247,-,590,,590,,,
31,GGPS* TARIQ KILLI (MALE),SWATI KILLI,031030238,-,110,,110,2,,2
,,YOUSF TALAB,031030241,-,227,,227,,,
,,DOWRA KILLI,031030242,-,201,,201,,,
,,NEHAR KILLI,031030243,-,226,,226,,,
,,MIADAN KIKKI.,031030250,-,197,,197,,,
32,GPS* TALIBA JAN KILLI (JAHANSI) (MALE),SPIN QABAR NO. 1,031030248,-,478,,478,3,,3
,,BERA KHAND,031030249,-,244,,244,,,
,,GANDAOO ZARIF KILI,031030252,-,190,,190,,,
,,BAZ MUHAMMD KILLI,031030253,-,182,,182,,,
,,HAJI JUIMMA KHAN KILLI.,031030260,-,259,,259,,,
,,JAHANSI FORTE,031030261,-,158,,158,,,
