SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,BOYS HS MAHLUANA,MAHLUANA,B-01,-,977,720,1697,2,1,3
2,GIRLS ES MAHLUANA,MAHLUANA,B-02,-,723,471,1194,1,1,2
3,VTY. HOSPITAL MAHLUANA,MAHLUANA,B-03,-,753,580,1333,2,1,3
4,GIRLS PSSUMANDRI KALAN,SUMANDRI KALAN,B-06,-,237,203,440,1,1,2
5,BOYS ES BHAGHRI,BHAGHRI,B-01,-,460,416,876,1,1,2
6,GIRLS PS 5-MARTA SCHEME BAGHRI,BAGHRI,B-02,-,406,374,780,2,1,3
,,BAGHRI,B-03,-,524,447,971,,,
7,BOYS PS GAGRANA,GARGRANA,B-04,-,809,791,1600,2,1,3
8,BOYS ES GILMALA,GILMALA,B-01,-,688,526,1214,1,1,2
9,BOYS PS GILMALA,GILMALA,B-03,-,580,454,1034,1,1,2
10,GIRLS PS DARBAR GILMALA,GILMALA,B-02,-,1000,945,1945,2,1,3
11,BOYS HS HAVELI LAL,HAVELI LAL,B-05,-,741,650,1391,1,1,2
12,BOYSESHAVELI LAL,HAVELI LAL,B-05,-,919,774,1693,2,1,3
13,BOYS HS MAJHI SULTAN,MAJHI SULTAN,B-01,-,536,291,827,2,1,3
,,MAJHI SULTAN,B-02,-,401,315,716,,,
14,GIRLS PS MAJHI SULTAN,MAJHI SULTAN,B-03,-,566,471,1037,1,1,2
,,MAJHI SULTAN,B-04,-,243,229,472,,,
15,BOYS PS KHAIRA WALA / KORRAY WALA,MANSOOR SIAL,B-301,-,644,502,1146,2,1,3
,,DERAJ,B-303,-,309,209,518,,,
16,GIRLS PS KORAY WALA,MANSOOR SIAL,B-302,-,755,672,1427,1,1,2
17,BOYS ES H/TRIMMU,DHOOEIN MUHAMMAD,B-1201,-,1152,899,2051,2,1,3
18,BOYS PS QADEEMI,QADEEMI,B-04,-,441,409,850,1,1,2
19,GIRLS PS QADEEMI,QADEEMI,B-05,-,638,636,1274,2,1,3
20,BOYS ES KOT DEWAN,KOT DEWAN,B-01,-,458,392,850,2,1,3
,,KOT DEWAN,B-02,-,386,458,844,,,
21,GIRLS PS KOT DEWAN,KOT DEWAN,B-03,-,454,350,804,1,1,2
,,KOT KAMYAN,B-07,-,24,13,37,,,
22,BOYS HS WARAYAMWALA,KOT LAL,B-101,-,684,442,1126,2,1,3
,,KOT LAL,B-102,-,234,146,380,,,
23,GIRLS E/S WARYAM WALA,KOT LAL,B-103,-,923,772,1695,2,1,3
24,GIRLS PS CHYIAN WALA,CHYIAN WALA,B-104,-,791,619,1410,1,1,2
25,BOYS PS CHAK NO.495 JB,CHAK NO.495,B-201,-,682,591,1273,1,1,2
26,BOYS ESCHAKNO.496 JB,CHAK NO.496,B-202,-,1122,860,1982,2,1,3
27,BOYS PS CHAK NO.497 JB MIAN ,CHAK NO.497,B-203,-,929,758,1687,2,1,3
28,GIRLS PS CHAK NO.494.JB,CHAK NO.494,B-301,-,820,748,1568,2,1,3
,,CHAK NO.505,B-303,-,76,48,124,,,
29,BOYS PS CHAKNO.404 JB,CHAK NO.404,B-302,-,453,384,837,1,1,2
30,BOYS PS CHAK NO. 406 JB,CHAK NO.406,B-304,-,600,508,1108,1,1,2
31,GIRLS HS CHAK NO. 490 JB,CHAK NO.490,B-401,-,419,368,787,1,1,2
32,BOYS PS CHAK NO.490 JB,CHAK NO.490,B-402,-,437,372,809,1,1,2
33,BOYS P/S CHAK NO.492-1,CHAK NO.492,B-403,-,459,359,818,2,1,3
,,CHAK NO.492,B-404,-,448,299,747,,,
34,BOYS HS CHAK NO.493 (BATYIAN WALA),CHAK NO.493,B-405,-,366,330,696,1,1,2
,,CHAK NO.493,B-406,-,295,268,563,,,
35,GIRLS ES CHAK NO.493(BATYIAN WALA),CHAK NO.493,B-407,-,420,294,714,2,1,3
,,CHAK NO.493,B-408,-,591,527,1118,,,
36,GIRLS PS CHAK NO.493 JB ,CHAK NO.493,B-409,-,611,541,1152,1,1,2
37,BOYS PS CHAK NO.484 JB ,CHAK NO.484,B-501,-,1156,,1156,2,0,2
38,GIRLS PS CHAK NO.484JB ,CHAK NO.484,B-501,-,,991,991,,2,2
39,GIRLS PS CHAK NO.485 JB,CHAK NO.485,B-503,-,585,510,1095,1,1,2
40,BOYS P/S CHAK NO.485,CHAK NO.485,B-503,-,432,362,794,1,1,2
,,CHAK NO.485,B-504,-,318,267,585,,,
41,BOYS P/S CHAK NO.491 JB ,CHAK NO.491,B-505,-,976,800,1776,1,1,2
42,GIRLS PS CHAK NO. 486,CHAK NO.486,B-601,-,361,322,683,1,1,2
43,GIRLS ES CHAK NO.487,CHAK NO.487,B-602,-,596,549,1145,1,1,2
44,GIRLS PS CHAK NO.488 KHAS,CHAK NO.488,B-603,-,472,441,913,1,1,2
45,GIRLS PS CHAK NO.489,CHAK NO.489,B-604,-,419,348,767,1,1,2
46,BOYS PS CHAK NO.481 KHAS ,CHAK NO.481,B-701,-,1381,,1381,2,,2
47,GIRLS ES CHAK NO. 481 JS ,CHAK NO.481,B-701,-,,1142,1142,,2,2
48,PS BOYS CHAK NO.482 JB ,CHAK NO.482,B-702,-,912,,912,2,,2
49,GIRLS PS CHAK NO. 482 ABADI ,CHAK NO.482,B-702,-,,860,860,,1,1
50,GIRLS HIGH SCHOOL CHAK ,CHAK NO.483,B-703,-,789,686,1475,1,1,2
51,BOYS PS CHAK NO.479 JB,CHAK NO.479,B-801,-,782,677,1459,1,1,2
52,BOYS PS CHAK NO.480,CHAK NO.480,B-802,-,482,366,848,1,1,2
53,BOYS PS CHAK NO.478,CHAK NO.478,B-901,-,683,653,1336,1,1,2
54,GIRLS MS CHAK NO.478,CHAK NO.478,B-902,-,400,430,830,1,1,2
55,BOYS ES MEHRAM SIAL (MALE),MEHRAM SIAL,B-201,-,1053,,1053,2,,2
,,MEHRAM SIAL,B-202,-,558,,558,,,
56,GIRLS ES MEHRAM SIAL (FEMALE),MEHRAM SIAL,B-201,-,,936,936,,2,2
,,MEHRAM SIAL,B-202,-,,368,368,,,
57,BOYS ES BUDHWANA,BUDHWANA,B-101,-,317,243,560,1,1,2
,,BUDHWANA,B-102,-,482,397,879,,,
58,G.C. M/S  BUDHWANA,BUDHWANA,B-103,-,261,270,531,1,1,2
,,BUDHWANA,B-104,-,638,541,1179,,,
59,GOVT PS  BUDHWANANEW ,BUDHWANA,B-105,-,547,492,1039,1,1,2
60,GIRLS PS BELASURBANA,BELASURBANA,B-301,-,718,705,1423,1,1,2
61,BOYS PS BELASURBANA,BASTI RASHEED,B-302,-,480,456,936,1,1,2
62,GIRLS P/S AKHTAR ABAD NO. 2B PHOLAIAN WALA,BASTI PHOLALAN WAL,B-303,-,199,169,368,1,1,2
,,ALI KHANANA,B-304,-,291,162,453,,,
63,BOYS ES MOHAMMADFAZAL ABAD LUDA MAHNI (MIDDLE ,LUDAMAHNI,B-401,-,426,427,853,1,1,2
64,BOYS ES MUHD FAZAL ABAD LUDAMAHNI (PRIMARY ,LUDAMAHNI,B-402,-,801,674,1475,2,1,3
65,BOYS ES RUSTAM SARGANA (MALE),RUSTAM SARGANA,B-501,-,819,,819,2,,2
66,BOYS ES RUSTAM SARGANA (FEMALE),RUSTAM SARGANA,B-501,-,,899,899,,2,2
67,GIRLS ES RUSTAM SARGANA AZMAT ABAD (MALE),RUSTAM SARGANA,B-502,-,977,,977,2,,2
68,GIRLS ES RUSTAM SARGANA ,RUSTAM ,B-502,-,,910,910,,2,2
69,BOYS PS RUSTAM SARGANA RAILWAY STATION (MALE),RUSTAM SARGANA,B-503,-,1676,,1676,3,,3
70,G.PS RUSTAM SARGANA RAILWAY STN. (FEMALE),RUSTAM SARGANA,B-503,-,,1139,1139,,2,2
71,BOYS HS. HAVELI BHAHDUR SHAH (MALE),H.B. SHAH GHARBI,B-601,-,303,,303,3,,3
,,H.B. SHAH GHARBI,B-602,-,785,,785,,,
,,H.B. SHAH GHARBI,B-603,-,420,,420,,,
72,BOYS HS HAVELI BHAHDUR SHAH (P.PORTION FEMALE),H.B. SHAH GHARBI,B-601,-,,244,244,,2,2
,,H.B. SHAH GHARBI,B-602,-,,620,620,,,
,,H.B. SHAH GHARBI,B-603,-,,239,239,,,
73,OFFICE UC H.B SHAH (MALE),H.B. SHAH SHARQI,B-701,-,301,,301,1,,1
,,H.B. SHAH SHARQI,B-702,-,435,,435,,,
74,BOYS PS HAVELI BHAHDUR SHAH SHARQI (MALE),H.B. SHAH SHARQI,B-703,-,555,,555,2,,2
,,H.B. SHAH SHARQI,B-704,-,1177,,1177,,,
75,GIRLS HS H.B SHAH (FEMALE),H.B. SHAH SHARQI,B-701,-,,308,308,,1,1
,,H.B. SHAH SHARQI,B-702,-,,390,390,,,
76,GIRLS HS HS HAVELI BHADUR SHAH (MALE),H.B. SHAH SHARQI,B-705,-,1034,,1034,2,,2
77,BOYS HS HAVELI BHAHDUR SHAH (FEMALE),H.B. SHAH SHARQI,B-705,-,,775,775,,1,1
78,GIRLS HS HAVELI BHADUR SHAH P. PORTION (FEMALE),H.B. SHAH SHARQI,B-703,-,,376,376,,2,2
,,H.B. SHAH SHARQI,B-704,-,,923,923,,,
79,GOVT BOYS HS PIR WALA ,PIR WALA,B-801,-,1135,,1135,2,,2
80,GOVT. BOYS HS PIR WALA ,PIR WALA,B-801,-,,902,902,,2,2
81,GIRLS PS PIR WALA,PIR WALA,B-802,-,637,,637,2,,2
,,PIR WALA,B-803,-,276,,276,,,
82,BOYS PS PIR WALA,PIR WALA,B-802,-,,550,550,,1,1
,,PIR WALA,B-803,-,,236,236,,,
83,BOYS ES SHAH SADIQ NEHANG (MALE),S.S. NEHANG,B-701,-,454,,454,2,,2
,,S.S. NEHANG,B-702,-,901,,901,,,
84,GIRLS ES SHAH SADIQ NEHANG (FEMALE),S.S NEHANG,B-701,-,,400,400,,2,2
,,S.S NEHANG,B-702,-,,754,754,,,
85,BOYS PS KOT MIRZA,KOT MIRZA,B-703,-,409,324,733,1,1,2
,,KOT MIRZA,B-704,-,333,264,597,,,
86,B H.S QAIM BHARWANA,QAIM BHARWANA,B-801,-,332,266,598,1,1,2
,,QAIM BHARWANA,B-802,-,339,255,594,,,
,,QAIM BHARWANA,B-803,-,232,179,411,,,
