REGISTERED No.,M-302/L-7646
EXTRAORDINARY,
PUBLISHED BY AUTHORITY,
"ISLAMABAD, SUNDAY, DECEMBER 23, 2007",
PART III,
"Other Notifications, Orders, etc.",
ELECTION COMMISSION OF PAKISTAN,
NOTIFICATION,
"PESHAWAR , THE 13TH DECEMBER , 2007",
No.107 ELEC/88 --- -In pursuance of the provisions of sub-section (2) of section 8 of the ,
"representation of the People Act, 1976 (LXXXV of 1976), the Election Commission of Pakistan has been pleased to 
publish herewith for general information, the final list of Polling Stations in respect of constituency No. NA-1 ",
Peshawar-I of the National Assembly of Pakistan.,
"By Order of the Election Commission,",
MUHAMMAD ASIM IMAM,
SD/         ,
District and Session Judge /,
"District Returning Officer ,",
Peshawar.,
3225(NA-1) 1_56,
[1305(2007)/Ex.Gaz.],Price : Rs. 40.00
List of Polling Stations,,,,,,,,,,
CONSTITUENCY : NA-1   PESHAWAR-I,,,,,,,,,,
S#,Name & Location of ,Name of the E/Roll Area Electors Where of,S# of the Voters on ,No. of Voter Assigned to ,No. of Polling Booths,,,,,
,the Polling Station,Entitled to Vote,the E/Roll in case of ,Polling Station,,,,,,
,,Area / Village / ,Ward Mohallah Street/Census,Village is Bifurcation,Male,Female,Total,Male,Female,Total
,,UC Name,Block in Case of Urban Areas,,,,,,,
1,2,3,4,5,6,7,8,9,10,11
 1 ,GOVERNMENT GIRLS PRIMARY ,UC-1 KHALISSA ,016010103,-, 1071,, 1071, 4,, 4
,SCHOOL COMBOO MALE,-I- SIRBELAND ,,,,,,,,
,,"PURA, SETHI ",,,,,,,,
,,"TOWN NO 2, ",,,,,,,,
,,GENERAL ,,,,,,,,
,,"TRUCK STAND, ",,,,,,,,
,,CHILDREN ,,,,,,,,
,,HOSPITAL.,,,,,,,,
,,-,016010105,-, 651,, 651,,,
,,,,, 1722 ,, 1722 ,,,
 2 ,GOVERNMENT GIRLS MIDDLE ,UC-1 ,016010103,-,, 698, 698,, 2, 2
,SCHOOL SARBALAND PURA ,KHALISA-I- ,,,,,,,,
,FEMALE,SIRBELAND ,,,,,,,,
,,"PURA, SETHI ",,,,,,,,
,,TOWN NO 2. ,,,,,,,,
,,GENERAL ,,,,,,,,
,,"TRUCK STAND, ",,,,,,,,
,,CHILDREN ,,,,,,,,
,,HOSPITAL.,,,,,,,,
,,-,016010105,-,, 494, 494,,,
,,,,,, 1192 , 1192 ,,,
 3 ,GOVERNMENT PRIMERY BOYS ,UC-1 KHALISA -I ,016011201,-, 1047,, 1047, 3,, 3
,SCHOOL FOR BOYS ,MILITARY ,,,,,,,,
,SARBALAND PURRA (MALE) ,SUPPLY ,,,,,,,,
,NO.1,"DEPOT, ",,,,,,,,
,,MADINA ,,,,,,,,
,,"COLONY, ",,,,,,,,
,,GENERAL BUS ,,,,,,,,
,,"STAND, PHARI ",,,,,,,,
,,PURA GHANI ,,,,,,,,
,,COLONY SETHI ,,,,,,,,
,,TOWN MEHTAB ,,,,,,,,
,,COLONY AJAB ,,,,,,,,
,,KHAN TOWN ,,,,,,,,
,,NAVEED TOWN ,,,,,,,,
,,KHAN COLONY,,,,,,,,
,,-,016011202,-, 591,, 591,,,
,,,,, 1638 ,, 1638 ,,,
Page 1 of 98,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11
 4 ,GOVERNMENT PRIMERY ,UC-1 KHALISA-I ,016011203,-, 669,, 669, 4,, 4
,SCHOOL FOR BOYS ,MILITARY ,,,,,,,,
,SARBALAND PURRA (MALE) NO ,SUPPLY DEPOT ,,,,,,,,
,1,MADINA ,,,,,,,,
,,COLONY ,,,,,,,,
,,GENERAL BUS ,,,,,,,,
,,STAND PHARI ,,,,,,,,
,,PURA GHARI ,,,,,,,,
,,COLONY SETHI ,,,,,,,,
,,TOWN MEHTAB ,,,,,,,,
,,COLONY ,,,,,,,,
,,COMBOH AJAB ,,,,,,,,
,,KHAN TOWN  ,,,,,,,,
,,NAVEED TOWN  ,,,,,,,,
,,KHAN COLONY,,,,,,,,
,,-,016011207,-, 1013,, 1013,,,
,,,,, 1682 ,, 1682 ,,,
 5 ,GOVERNMENT MIDDLE ,UC-1 ,016011201,-,, 608, 608,, 4, 4
,SCHOOL BOYS PAHARI PURA ,KHALIDA-IMADI,,,,,,,,
,(FEMALE) PS-1,NA COLONY ,,,,,,,,
,,GENERAL BUS ,,,,,,,,
,,PAHARIPURA ,,,,,,,,
,,GHANI COLONY ,,,,,,,,
,,SETHI TOWN ,,,,,,,,
,,MEHTAB ,,,,,,,,
,,COLONY ,,,,,,,,
,,KAMBOO AJAB ,,,,,,,,
,,KHAN TOWN ,,,,,,,,
,,NAVEED TOWN ,,,,,,,,
,,KHAN COLONY,,,,,,,,
,,-,016011202,-,, 391, 391,,,
,,-,016011203,-,, 448, 448,,,
,,-,016011207,-,, 673, 673,,,
