PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 21 - Government. Girls  Primary School Chak No.162/RB Sikandarpur (Female) Permanent,31.3274354,73.2513452,Female,Punjab,0,2,0,943
 26 - Government. Boys Primary School Chak No.185/RB (Combined) Permanent,31.3274354,73.2513752,Combined,Punjab,1,1,617,492
 138 - Government. Girls  Primary School  Chak No.140/RB (Combined) Permanent,31.4115275,73.1800911,Combined,Punjab,2,2,792,669
 201 - Government.Boys Primary School Chak No. 53/RB Jhugiyan  (Combined) Permanent,31.4256102,73.112925,Combined,Punjab,2,1,728,519
 205 - Government. Boys Primary School No.II Chak No. 57/RB Rajaywala khurd  (Combined) Permanent,31.4256102,73.112955,Combined,Punjab,1,1,370,264
 208 - Government. Boys Primary School Chak No. 59/RB Gandiwind (Combined) Permanent,31.4256102,73.112985,Combined,Punjab,1,1,575,410
 209 - Government. Boys  Primary School No.II Chak No.59/RB Warrian  (Combined) Permanent,31.4256102,73.113015,Combined,Punjab,2,1,767,514
 210 - Basic Health Unit Chak No. 58/RB (Male) Permanent,31.4256102,73.113045,Male,Punjab,3,0,1423,0
 211 - Government. Girls Middle School Chak No. 58/RB (Female) Permanent,31.4256102,73.113075,Female,Punjab,0,3,0,1087
 220 - Office  Union Council Chak No.61/RB (Combined) Permanent,31.4256102,73.113105,Combined,Punjab,1,1,342,224
 223 - Government. Girls High School Chak No.61/RB (Male) Permanent,31.4256102,73.113135,Male,Punjab,4,0,1870,0
 224 - Government. Girls High School Chak No.61/RB (Female) Permanent,31.4256102,73.113165,Female,Punjab,0,2,0,1507
 226 - Government. Boys Primary School Chak No.62/RB (Male) Permanent,31.4256102,73.113195,Male,Punjab,3,0,1410,0
 227 - Government. Boys Primary School Chak No.62/RB (Female) Permanent,31.4256102,73.113225,Female,Punjab,0,2,0,977
 230 - Government.  Girls Primary School Chak No.71/RB (Combined) Permanent,31.4256102,73.113255,Combined,Punjab,2,1,689,495
 232 - Government. Girls Community Modle School Chak No. 68/RB- Jamiana (Combined) Permanent,31.4256102,73.113285,Combined,Punjab,1,1,312,203
 233 - Government. Boys Primary School Chak No. 68/RB Kalla (Male) Permanent,31.4256102,73.113315,Male,Punjab,4,0,1918,0
 234 - Government. Girls High  School Chak No. 68/RB (Female) Permanent,31.4256102,73.113345,Female,Punjab,0,3,0,1457
 170 - Government. Boys Primary School Chak No 191/RB Moloani East (Male) Permanent,31.4301044,73.0694074,Male,Punjab,4,0,1982,0
 171 - Government. Girls  Elementery School Chak No 191/RB Moloani East-  (Female) Permanent,31.4301044,73.0694374,Female,Punjab,0,4,0,1730
 173 - Government. Girls  Primary School Chak No 191/RB West-  (Female) Permanent,31.4301044,73.0694674,Female,Punjab,0,2,0,1108
 175 - Government. Girls  Primary School Chak No 191/RB West-  (Female) Permanent,31.4301044,73.0694974,Female,Punjab,0,2,0,613
 166 - Government. Boys Primary School Chak No 190/RB Karari Khurd East (Male.),31.4301044,73.0695274,Male,Punjab,3,0,1385,0
 141 - Government. Girls  Primary School Rasool Pura Chak Jhumra  (Male) Permanent,31.4376996,73.139716,Male,Punjab,3,0,1503,0
 142 - Government. Girls  Primary School Rasool Pura Chak Jhumra  (Combined) Permanent,31.4376996,73.139746,Combined,Punjab,1,1,543,418
 82 - Government. Girls  High School Chak No.124/RB Paroopiyan (Male) Permanent,31.4376996,73.139776,Male,Punjab,2,0,1040,0
