PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 99 - GGHS 91 JB.  (Female) (P),30.29855,71.91602,Female,Punjab,0,3,0,1267
 395 - Girls Elementary School. 286/JB.  (Female) (P),30.78794,72.24735,Female,Punjab,0,2,0,1117
 390 - Girls Primary School. 302/JB (Combined) (P),30.78804,72.24737,Combined,Punjab,1,1,649,448
 387 - Govt. Boys Primary School. 288/JB. (Combined) (P),30.7894,72.2467,Combined,Punjab,1,1,380,349
 289 - Govt. Model Primary School. 246/GB. Basti Danashmandan. (Male) (P),30.95648,72.73509,Male,Punjab,2,0,973,0
 290 - Govt. Model Primary School. 246/GB. Basti Danashmandan. (Female) (P),30.956497178503444,72.73514809073737,Female,Punjab,0,2,0,859
 291 - Boys High School. 248/GB.  (Male) (P),30.973369077734613,72.70538204618845,Male,Punjab,3,0,1410,0
 292 - Govt. Girls High School. 248/GB.  (Female) (P),30.973777248355066,72.7029170107406,Female,Punjab,0,2,0,1147
 288 - Govt. Boys Primary School. 246/GB Partabpura. . (Combined) (P),30.97419,72.74268,Combined,Punjab,1,1,657,569
 278 - Govt. Boys High school. 181/GB.  (Male) (P),30.982807940087223,72.66597665844607,Male,Punjab,2,0,1216,0
 279 - Govt. Girls Elementary School. 181/GB. (Female) (P),30.98342474573097,72.66973968964798,Female,Punjab,0,2,0,947
 299 - Govt. Boys Primary school. 243/GB.  (Male) (P),30.989298940721646,72.75376579525579,Male,Punjab,3,0,1370,0
 282 - Office Union Council 245/GB. (Combined) (T),30.99027,72.71608,Combined,Punjab,2,1,763,566
 283 - Govt. Boys Primary School. 245/GB.  (Male) (P),30.99031,72.71707,Male,Punjab,2,0,1156,0
 284 - Govt. Girls Elementary School. 245/GB.  (Female) (P),30.990665815062854,72.7157666103083,Female,Punjab,0,2,0,878
 300 - Govt. Girls Elementary School. 243/GB (Female) (P),30.990925011441387,72.75508711913355,Female,Punjab,0,2,0,1093
 275 - Govt. Boys Primary School. 180/GB. (Male) (P),30.998747476830182,72.69295923538185,Male,Punjab,2,0,1116,0
 276 - Govt. Boys Primary School. 180/GB. (Combined)(P),30.998747476830182,72.6929892353818,Combined,Punjab,1,1,612,394
 280 - Govt. Boys Primary School. 518/GB. (Male) (P),30.99887706910613,72.64270520258496,Male,Punjab,2,0,1016,0
 277 - Govt. Girls Elementary School. 180/GB. (Female) (P),30.998901780183395,72.69066435476485,Female,Punjab,0,2,0,830
 281 - Govt. Girls Primary School. 518/GB. (Female) (P),31.00384466658971,72.64703563225376,Female,Punjab,0,2,0,707
 287 - Govt. Girls Elemantary School. 244/GB. Khurd (Combined) (P),31.010783806826396,72.72750181797966,Combined,Punjab,1,1,597,494
 272 - Govt. Model Primary School. 161/GB. Old Abadi (Combined) (P),31.012627733648507,72.67091650345489,Combined,Punjab,2,2,925,771
 298 - Girls High School. 242/GB.  (Female) (P),31.01824339072098,72.76357929101385,Female,Punjab,0,2,0,1007
 271 - Govt. Model Primary School-II New abadi. 161/GB. (Combined) (P),31.020359182382084,72.68796264121845,Combined,Punjab,1,1,615,425
 297 - Boys Elemantary School. 242/GB.  (Male) (P),31.020440847559563,72.76174318415593,Male,Punjab,2,0,1216,0
 255 - Govt. Girls Primary School. 179/GB. (P) (Male),31.02219,72.71055,Male,Punjab,2,0,1085,0
 256 - Govt. Girls Primary School. 179/GB. (P) (Female),31.02219,72.71058,Female,Punjab,0,2,0,766
 257 - Govt. Boys Primary School. 179/GB. (Combined) New Abadi (P),31.022303892798757,72.71060578232431,Combined,Punjab,2,1,726,486
 285 - Govt. Boys Elemantary School. 244/GB. Kalan (Combined)(P),31.022925755795114,72.73946536729954,Combined,Punjab,1,1,646,542
 286 - Govt. Boys Elemantary School. 244/GB. Kalan (Combined) (P),31.022925755795114,72.7394953672995,Combined,Punjab,1,1,328,283
 265 - Govt. Boys High school. 160/GB. (Combined) (P),31.026760812746296,72.69279283985091,Combined,Punjab,1,1,531,418
 266 - Govt. Girls Elementary School. 160/GB.  (Female) (P),31.026760812746296,72.6928228398509,Female,Punjab,0,2,0,1045
 389 - Govt. Girls High School. 289/JB.  (Female) (P),31.03301627256893,72.6195985722932,Female,Punjab,0,2,0,976
 274 - Girls High School. 162/GB.  (Female) (P),31.033526637230004,72.66573501321969,Female,Punjab,0,2,0,1163
 273 - Govt Elementry School. 162/GB. (Male) (P),31.033859918158605,72.66325729990696,Male,Punjab,4,0,1491,0
 388 - Govt. Islamia Model High School. 289/JB.  (Male) (P),31.03449936131869,72.61743772214197,Male,Punjab,3,0,1313,0
