PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 375 - Boys Primary School. Mouza Ram Pur. (Male) (P),30.52815,72.23619,Male,Punjab,2,0,993,0
 380 - Union Council Office Mouza Jussa. (T),30.572960502672046,72.16774026279943,Combined,Punjab,1,1,346,276
 379 - Boys Elementary School. Akbar Sahu. (Combined) (P),30.57771249313458,72.15921203512406,Combined,Punjab,2,1,800,580
 362 - Boys Primary School. 772/GB. (Combined) (P),30.58053557844188,72.27760178172159,Combined,Punjab,1,1,592,374
 342 - Girls Primary School. . 765/GB. (Combined) (P),30.58559773429385,72.31988859296426,Combined,Punjab,2,1,754,569
 366 - Model Elementry School. Mouza Mai Sapooran. (Combined) (P),30.589340747010816,72.21724891089058,Combined,Punjab,1,1,369,293
 130 - Boys Primary School. Tukra-58/2 (Combined) (P),30.58992,72.69281,Combined,Punjab,1,1,498,408
 374 - Girls Primary School. Mouza Ram Pur. (Female) (P),30.5900591829552,72.23577012099341,Female,Punjab,0,2,0,760
 373 - Boys Primary School. 776/GB. (Combined) (P),30.591701923710367,72.17817572097479,Combined,Punjab,1,1,538,356
 133 - Govt Model Elementary School Dhal Di Bhaini (57/4 Tukra) (Combined) (P),30.59319,72.66402,Combined,Punjab,1,1,416,299
 163 - Govt. Girls Elementary School. 733/GB. (Combined) (P),30.59405,72.60503,Combined,Punjab,1,1,348,238
 164 - Govt. Girls Elementary School. 733/GB. (Combined)(P),30.59405,72.60506,Combined,Punjab,2,1,699,544
 363 - Govt. Girls Model Primary School. Chotara Sargana.(Male) (P),30.594771681598,72.29923776341371,Male,Punjab,2,0,973,0
 364 - Govt. Girls Model Primary School. Chotara Sargana.(Female) (P),30.594771681598,72.2992677634137,Female,Punjab,0,2,0,686
 338 - Boys Primary School. Mouza Pindi. (Combined) (P),30.59850834499429,72.36169147143906,Combined,Punjab,1,1,616,456
 341 - Boys Primary School. Mouza Qazi Ghalib. (Combined) (P),30.60135717897352,72.30949835465245,Combined,Punjab,1,1,406,284
 193 - Boys primary School. Mouza Darsana. (Combined) (P),30.60253,72.58043,Combined,Punjab,2,1,700,507
 306 - Boys Elementary School. Kot Karam Shah (Combined) (P),30.60374479529413,72.37186157991265,Combined,Punjab,1,1,589,447
 137 - Girls Primary School. 732/GB. (Male) (P),30.60382,72.65372,Male,Punjab,2,0,994,0
 371 - Boys Primary School. 777/GB. (Combined) (P),30.60467088211488,72.15681423954972,Combined,Punjab,1,1,499,366
 312 - Girls Model primary School. Mouza Jungle Imam Shah(Combined)(P),30.60559,72.40614,Combined,Punjab,1,1,338,222
 131 - Boys Elementary School. Tukra-58/3 (Male) (P),30.6057,72.7095,Male,Punjab,2,0,969,0
