PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 241 - Government Girls Primary School Shadbad Colony   (Permanent),31.2276495129847,72.33247614857127,Combined,Punjab,1,1,565,483
 245 - Govt. Girls Primary School Kothian Wala (Permanent),31.227907614932086,72.36879322261292,Female,Punjab,0,3,0,1197
 243 - Government Girls Elementary School Sarwer Colony   (Permanent),31.22964,72.32471,Combined,Punjab,2,2,965,720
 242 - Government Boys Primary School Basti Lal- Sarwar Colny- Chak Ghumnana   (Permanent),31.23223,72.33013,Combined,Punjab,2,2,883,756
 217 - Government Boys Primary School Maghiana Chak Noon (Permanent),31.23284,72.28355,Combined,Punjab,2,2,813,690
 244 - Govt.  Primary School Lohleyan  Wala (Permanent),31.23318,72.36249,Male,Punjab,2,0,1477,0
 182 - Office Artificial Isemination Toba Road Jhang (Permanent),31.237512837958743,72.3307737027728,Male,Punjab,2,0,1173,0
 183 - Office Live Stock Toba Road Jhang (Permanent),31.23764198256334,72.33049977226477,Female,Punjab,0,3,0,1030
 219 - Government Girls Community Model School Nawaz Abad (Permanent),31.2393,72.29739,Combined,Punjab,2,2,698,532
 218 - Government Boys Primary School Nawaz Abad (Permanent),31.239993144121094,72.29742705822527,Combined,Punjab,2,2,939,686
 216 - Government Boys Primary School Kalu Wala Sial (Permanent),31.24113,72.35943,Combined,Punjab,1,1,458,390
 247 - Government Girls Primary School Al-Noor Colony Gojra Road Jhang (Permanent),31.24501,72.38947,Female,Punjab,0,2,0,1064
 246 - Government Boys Primary School Al-Noor Colony Gojra Road Jhang (Permanent),31.245575154189115,72.38969845451349,Male,Punjab,2,0,1288,0
 239 - Government Girls Community Model School Abbas Pura (Permanent),31.246081591715857,72.32000712436924,Male,Punjab,2,0,834,0
 240 - Government Girls Community Model School Abbas Pura (Permanent),31.246081591715857,72.3200371243692,Female,Punjab,0,2,0,723
 221 - Government Girls Elementary School- Hasnana (Primary Portion) Mouza Hasnana(Permanent),31.24926,72.29471,Female,Punjab,0,3,0,1527
 223 - Government Girls Elementary School (Middle Portion) Hasnana (Permanent),31.24953,72.29502,Combined,Punjab,1,1,507,417
 220 - Government Boys Primary School Beli Wala Mouza Hasnana (Permanent),31.24985,72.296,Male,Punjab,2,0,878,0
 235 - Government Girls Primary School- Basti Ghausia- Chak Naulan- Jhang.,31.25039,72.38938,Combined,Punjab,1,1,487,366
 173 - Government Girls  Primary School Siddiq Abad (Permanent),31.250677410133576,72.35523159767715,Female,Punjab,0,2,0,625
 175 - Punjab Social Security Hospital Mohallah Siddique Abad  (Permanent),31.25381,72.35167,Female,Punjab,0,2,0,1430
 172 - Government High School Jamia (Permanent),31.25413,72.35477,Male,Punjab,2,0,713,0
 248 - Government Girls Primary School Baig Colony (Permanent),31.25420161079103,72.36667960733156,Combined,Punjab,1,1,832,674
 174 - Allied School- 24-F Block Settellite Town Jhang (Permanent),31.25464,72.35256,Male,Punjab,2,0,1641,0
 162 - Government Elementary School Barkat Abad (Permanent),31.25493265753038,72.31447552492128,Male,Punjab,2,0,1186,0
 163 - Government Girls HIgh School Basti Malah (Junior Campus) Near Qabristan Jhang(Permanent),31.25547,72.31962,Female,Punjab,0,2,0,1021
 169 - Government Girls Secondary School Basti Malah Jhang (Permanent),31.25562,72.32176,Female,Punjab,0,3,0,1226
 168 - Government Boys Primary School Hussain Abad Toba Road Jhang (Permanent),31.255701648318695,72.32171555579005,Male,Punjab,2,0,1466,0
 222 - Government Girls Elementary School- Muslim Nagar (Permanent),31.25705,72.30975,Male,Punjab,2,0,1018,0
 178 - Government Girls Model Elementary School Mukhtar Abad (Permanent),31.25766237280799,72.33975839318191,Male,Punjab,2,0,1132,0
 179 - Government Girls Model Elementary School Mukhtar Abad (Permanent),31.257692994915818,72.33966434104897,Female,Punjab,0,3,0,948
 165 - Munir Memorial Public Middle School Gulshan Colony Jhang Sadar (Temporary),31.257853714050913,72.31519662108924,Female,Punjab,0,2,0,972
 167 - Jinnah Elementary Public School (Foundation)- Gulshan Colony- Jhang (Temporary),31.25807,72.31242,Female,Punjab,0,3,0,990
 200 - Government Girls Higher Secondary School Satellite Town (Permanent),31.25817,72.35179,Female,Punjab,0,4,0,1602
 160 - Mighiana Sub-Division- Near Tower- Basti Atta Wali- Toba Road- Jhang Sadar (Temprorary),31.25931,72.31973,Male,Punjab,2,0,1014,0
 166 - The Excellent Grammer Public School-  Basti Hamid Shah- Gali Khan Muhammad Hasnana Wali- Jhang Sadar.(Temporary),31.26003,72.31502,Male,Punjab,2,0,1137,0
 205 - Faran Model School Satellite Town Near Al-Khair Masjid (Permanent),31.26004600809013,72.35530848351274,Male,Punjab,3,0,1732,0
 194 - Government Secondary School of Special Education for Deef & Dump  Near Gatan Satellite Town Jhang (Permanent),31.26053,72.34785,Male,Punjab,2,0,785,0
 196 - Government Secondary School of Special Education for Deef & Dump  Near Satellite Town Jhang (Permanent),31.26053,72.34788,Male,Punjab,2,0,1450,0
 198 - Government Boys Elementary School Satellite Town (Permanent),31.260536590107172,72.35138205956588,Male,Punjab,2,0,1095,0
 199 - Government Boys Elementary School Satellite Town (Permanent),31.260536590107172,72.3514120595659,Male,Punjab,2,0,727,0
 193 - Saifia College- Gojra Road- Jhang Sadar (Temporary),31.26064,72.3412,Female,Punjab,0,2,0,1118
 176 - Government Agricultural Farm Jhang (Permanent),31.260793771277946,72.33501952519528,Male,Punjab,2,0,880,0
 161 - Elite House School System- New Eid Gah Road- Near Shamsi Karkhana- Toba Road- Jhang Sadar (Temporary),31.2611,72.31721,Female,Punjab,0,2,0,856
 180 - Office District Health Office Jhang (Permanent),31.261504644321477,72.33377124618383,Male,Punjab,2,0,562,0
 207 - Vocational College for Boys- Satelite Town- Jhang (Permanent),31.26155,72.35874,Male,Punjab,4,0,1600,0
 190 - Al-Bilal Model Girls High School Gojra Road Jhang (Temporary),31.26161,72.33793,Male,Punjab,2,0,1481,0
 192 - Dar-e-Arqum Public School Gojra Road   (Temporary),31.261956477019318,72.33777033816914,Male,Punjab,2,0,1257,0
 157 - Gazali Pilot School- Nai Eid Ghah Road Jhang Sadar (Temporary),31.262060674794178,72.31481936560465,Female,Punjab,0,3,0,1389
 181 - Nursing School Near Emergency (Permanent),31.262061507753184,72.33162316750568,Female,Punjab,0,2,0,547
 191 - Arqam Girls English Medium High School- Gojra Road Jhang (Temporary),31.26257,72.33729,Female,Punjab,0,3,0,1341
 177 - Government General Nursing School District Head Quarter Hospital Jhang Sadar (Permanent),31.262628413478105,72.33295297889137,Female,Punjab,0,2,0,736
 227 - Government Boys Elementary School Chak No. 268/JB (Permanent),31.262684453615158,72.39402860426864,Male,Punjab,2,0,957,0
 208 - Vocational College for Women- Link Road Jamia Chowk to Chiniot Morr- Satelite Town- Jhang (Permanent),31.26269,72.35873,Female,Punjab,0,4,0,1583
 145 - Government Girls High School  (Primary Campus) Harmal Pur (Basti Lohlay Shah) Near Janazah Gah Markazi (Permanent),31.262758276832855,72.30214325955487,Female,Punjab,0,3,0,1262
 228 - Government Boys Elementary School Chak No. 268/JB (Permanent),31.26279,72.39407,Female,Punjab,0,2,0,879
 139 - Government Girls High School  (Primary Campus) Harmal Pur (Basti Lohlay Shah) Near Janazah Gah Markazi (Permanent),31.262831718331032,72.30228929819307,Female,Punjab,0,3,0,1640
 226 - Government Girls Elementary School Chak No. 268/JB (Permanent),31.263180948296224,72.39711489047524,Combined,Punjab,1,1,623,496
 195 - Dar-E-Arqam Schools- 949-A- Satelite Town- Jhang,31.2632,72.34883,Female,Punjab,0,2,0,731
 164 - Office District Manager Muslim Auqaf- Bhakkar Road- Jhang Sadar (Permanent),31.26320336000644,72.31123716122733,Male,Punjab,2,0,1150,0
 144 - Government Girls High School  (Junior Campus) Harmal Pur   (Permanent),31.263371621034683,72.29982765105532,Male,Punjab,3,0,1470,0
 256 - Government English Medium Boys Primary School Chak Kacha (Permanent),31.263450311288157,72.27053602173225,Combined,Punjab,2,1,967,626
 143 - Government MC Boys Primary School No. 12 Mohallah Abbot Pura Jhang (Permanent),31.263953500783856,72.30988253396684,Female,Punjab,0,3,0,1455
 155 - Millat College- Jhang Sadar (Temporary),31.26411,72.31728,Male,Punjab,2,0,936,0
 206 - Government Girls Elementary School Satellite Town (Permanent),31.264174451542942,72.35615775949148,Female,Punjab,0,4,0,1542
 153 - Scholor Public School- Near Madu Adda- Jhang Sadar (Temporary),31.26455,72.3178,Male,Punjab,2,0,1076,0
 156 - Government Boys Primary School Riaz-ul-Islam (Permanent),31.265013142043884,72.31468854765691,Male,Punjab,2,0,847,0
 133 - Improvised Compound Madrisa Riaz-ul-Islam- Mohallah Chanda Wala (Temporary),31.265113285954527,72.3146667721337,Male,Punjab,2,0,938,0
 137 - Bright Future Public Model School Gali No. 2 Mohallah Ghosia Jhang (Temporary),31.26521,72.30676,Male,Punjab,2,0,1591,0
 171 - Government Hussainia High School (Primary Portion) Water Filter Side Jhang (Permanent),31.26536,72.32196,Female,Punjab,0,3,0,1227
 159 - Government Hussainia High School (Main Building) Sharqi Side Jhang (Permanent),31.265361981039593,72.32192553125407,Female,Punjab,0,2,0,940
 202 - Government Girls Model Primary School Bahari Colony  Satelite Town (Permanent),31.26543950882454,72.35078513829839,Female,Punjab,0,3,0,1188
 121 - Government MC Girls Primary School No. 14 Darbar Maratab Shah (Permanent),31.26544,72.30679,Female,Punjab,0,2,0,835
 201 - Government Boys Model Primary School Behari Colony  (Permanent),31.265458765061954,72.35079524676773,Male,Punjab,2,0,1321,0
