PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 143 - Government.Boys Primary School Chakki Ghaira,31.41165,74.03564,Combined,Punjab,2,1,818,563
 142 - Basic Health Centre-Tinday Ladway,31.42417,74.05307,Combined,Punjab,1,1,680,465
 171 - Basic Health Centre Fatuwala,31.43072,74.03056,Combined,Punjab,2,1,1021,760
 169 - Government Primary School Fatuwala,31.43087,74.03806,Combined,Punjab,2,2,1055,796
 116 - Government Primary School Thatha Laway,31.43618,74.08689,Combined,Punjab,1,1,808,575
 132 - Government Girls Elementary School Dhool,31.44071,74.04723,Combined,Punjab,2,1,881,654
 111 - Government Primary School Purani Bheni,31.45287,74.11375,Combined,Punjab,2,1,532,377
 112 - Government Primary School Purani Bheni (122),31.45287,74.11378,Combined,Punjab,2,2,772,557
 95 - Pakistan Cadet School (Regd) Chah Badry wala Sharqpur  (108),31.46403,74.10245,Male,Punjab,2,0,1165,0
 96 - Pakistan Cadet School (Regd) Chah Badry wala Sharqpur  (108),31.46403,74.10248,Male,Punjab,2,0,1251,0
 98 - Civil Dispensary Circular Road Sharqpur (Male),31.46403,74.10251,Male,Punjab,4,0,1730,0
 99 - Civil Dispensary Circular Road Sharqpur (Female),31.46403,74.10254,Female,Punjab,0,2,0,1367
 102 - Govt Special education school sharaqpur,31.46403,74.10257,Male,Punjab,2,0,848,0
 103 - Govt Special education school sharaqpur,31.46403,74.1026,Female,Punjab,0,2,0,676
 119 - Government Degree Collge (for Boys) Sharaqpur Sharif,31.46953,74.10431,Male,Punjab,4,0,1310,0
 120 - Government Degree Collge (for Boys) Sharaqpur Sharif (128),31.46953,74.10434,Female,Punjab,0,3,0,942
 136 - Government.Boys Primary School Pharianwala,31.47701,74.07833,Combined,Punjab,2,2,679,514
 175 - Government Primary School Oadhery Bangla,31.49416,74.01947,Combined,Punjab,2,1,948,619
 114 - Basic Health Unit Qila Lal Singh(Qila Sharif),31.50273,74.08758,Combined,Punjab,1,1,576,424
 135 - Government.Boys Primary School Kukri Pur,31.50624,74.05817,Combined,Punjab,1,1,341,268
 137 - Government.Boys Primary School Samulana (142),31.50624,74.0582,Combined,Punjab,1,1,412,329
 127 - Government English Medium Primary School Tready Wali,31.51711,74.14682,Combined,Punjab,1,1,344,294
 155 - Government Primary School Saad Nau Abad Factory Area Ferozewala,31.526999024632694,74.18991866640235,Combined,Punjab,1,1,596,282
 271 - Government Boys Primary school Chak No. 5 UCC,31.52716,73.97198,Combined,Punjab,1,1,633,390
 167 - Government.Boys Primary School Mohariwala(North),31.53972,73.99088,Combined,Punjab,1,1,567,395
 148 - Basic Health Centre Dhamkey,31.54348920646243,74.16432490234773,Combined,Punjab,2,2,1002,715
 168 - Government.Girls Primary School Valianwala,31.54387,74.00152,Combined,Punjab,1,1,693,473
 268 - Government Boys High Schooll Cahk No 4 Rasala,31.5443,73.96494,Combined,Punjab,1,1,595,367
 269 - Government Boys High School chak No. 4 Rasala,31.5443,73.96497,Combined,Punjab,2,2,1035,737
 270 - Government Boys High Schooll Cahk No 4 Rasala,31.5443,73.965,Combined,Punjab,2,1,675,519
 242 - Government Millat High School Moranwala,31.55369520778321,74.16717801836761,Combined,Punjab,2,1,1032,732
 243 - Government Millat High School Moranwala,31.55369520778321,74.1672080183676,Combined,Punjab,2,1,745,498
 244 - Government Girls Primary School Khanuwal,31.556368897298746,74.15933556244765,Combined,Punjab,1,1,582,458
 266 - Basic Health Unit- Hoeke,31.56229,73.95184,Combined,Punjab,1,1,314,248
 162 - Government.Boys Primary School Chak No.11,31.56375,74.03912,Combined,Punjab,1,1,695,432
 241 - Government Primary School Thikri Wala,31.565113566958424,74.185500308707,Combined,Punjab,1,1,584,449
 227 - Veterinary Hospital Burj Attri.,31.572374150553557,74.19670399920957,Combined,Punjab,2,1,971,735
 228 - Vocational Training Institute Burj Attari,31.575263566285265,74.18060762257475,Combined,Punjab,1,1,584,379
 267 - Government Girls Elementry School- Fateh Class,31.57876,73.94084,Combined,Punjab,1,1,235,169
