PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 104 - Govt. Pak Primary School Maskeen Pura Lahore,31.56571,74.39439,Combined,Punjab,2,2,745,608
 109 - Govt.Pak Primary School- Maskeen Pura Near Jamia Masjid Deoband,31.56571,74.39442,Male,Punjab,4,0,1399,0
 110 - Govt.Pak Primary School- Maskeen Pura Near Jamia Masjid Deoband,31.56571,74.39445,Female,Punjab,0,4,0,1229
 111 - Golden Gate School Maskeen Pura Lahore,31.56571,74.39448,Combined,Punjab,2,2,1213,1025
 112 - The Golden Gate School- Maskeenpura,31.56571,74.39451,Male,Punjab,4,0,1438,0
 113 - The Golden Gate School- Maskeenpura,31.56571,74.39454,Female,Punjab,0,4,0,1144
 114 - The Golden Gate School- Maskeenpura,31.56571,74.39457,Male,Punjab,4,0,1247,0
 115 - The Golden Gate School- Maskeenpura,31.56571,74.3946,Female,Punjab,0,3,0,1060
 91 - Grace Way School old name Shadab Public School Gulshan Park Road Fatehgarh,31.57122,74.40196,Combined,Punjab,2,2,714,574
 92 - Grace Way School old name Shadab Public School Gulshan Park Road Fatehgarh,31.57122,74.40199,Combined,Punjab,2,2,767,627
 93 - Grace Way School old name Shadab Public School Gulshan Park Road Fatehgarh,31.57122,74.40202,Combined,Punjab,2,2,757,534
 95 - Grace Way School old name Shadab Public School Gulshan Park Road Fatehgarh,31.57122,74.40205,Combined,Punjab,2,2,898,740
 70 - Shaur Eduction Complex School Canal Bank Lahore,31.57124,74.41343,Combined,Punjab,2,2,953,868
 71 - Shaur Eduction Complex School Canal Bank Lahore,31.57124,74.41346,Combined,Punjab,2,2,772,649
 68 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.40205,Combined,Punjab,2,2,898,714
 69 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.40208,Combined,Punjab,2,2,657,591
 72 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.40211,Combined,Punjab,2,2,967,740
 73 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.40214,Combined,Punjab,2,2,619,523
 74 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.40217,Combined,Punjab,2,2,894,734
 75 - CDGL Girls High School Main Bus Stop Fateh Garh Nahar ka Pull,31.57126,74.4022,Combined,Punjab,1,1,475,402
 107 - Sagar Model High School- Gulshan Park,31.57186,74.39603,Combined,Punjab,2,2,965,799
 108 - Sagar Model High School- Gulshan Park,31.57186,74.39606,Combined,Punjab,2,2,603,503
 96 - CDGL Girls High School Gulshan Park Fatehgarh ( Old Name: CDGL Girls Primary School Fatehgarh  ),31.57186,74.39609,Combined,Punjab,2,2,840,678
 97 - CDGL Girls High School Gulshan Park Fatehgarh ( Old Name: CDGL Girls Primary School Fatehgarh  ),31.57186,74.39612,Combined,Punjab,2,2,1005,727
 98 - CDGL Girls High School Gulshan Park Fatehgarh ( Old Name: CDGL Girls Primary School Fatehgarh  ),31.57186,74.39615,Combined,Punjab,2,2,780,668
 99 - CDGL Girls High School Gulshan Park Fatehgarh ( Old Name: CDGL Girls Primary School Fatehgarh  ),31.57186,74.39618,Combined,Punjab,2,2,693,569
 100 - CDGL Boys Middle School Fateh Garh,31.57195,74.40445,Combined,Punjab,2,2,669,559
 101 - CDGL Boys Middle School Fateh Garh,31.57195,74.40448,Combined,Punjab,2,2,821,655
 80 - Govt. Primary School For Boys Near City Hospital,31.57195,74.40451,Combined,Punjab,2,2,822,714
 105 - Al-Hanif Model Girls School- Mohallah Ghazi Peer-Sadique Akbar Road ( Old Name: Al-Hanif School Mohalla Ghazipura),31.57212,74.38947,Male,Punjab,4,0,1497,0
 106 - Al-Hanif Model Girls School- Mohallah Ghazi Peer-Sadique Akbar Road ( Old Name: Al-Hanif School Mohalla Ghazipura),31.57212,74.3895,Female,Punjab,0,4,0,1223
 89 - Allied School System Allama Iqbal Chowk Younas Campus (Old Name: Allama Iqbal Public High School Faisal Park Fatehgarh Lahore,31.5724,74.3923,Combined,Punjab,2,2,701,465
 90 - Allied School System Allama Iqbal Chowk Younas Campus (Old Name: Allama Iqbal Public High School Faisal Park Fatehgarh Lahore,31.5724,74.39233,Combined,Punjab,2,2,1053,825
 94 - Allied School System Allama Iqbal Chowk Younas Campus (Old Name: Allama Iqbal Public High School Faisal Park Fatehgarh Lahore,31.5724,74.39236,Combined,Punjab,2,2,1144,787
