PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 252 - Govt. Khananm Girls Middle School Hussain Abad Lahore Cantt: (Combined),31.51539,74.36045,Combined,Punjab,1,1,771,574
 253 - Govt. Khananm Girls Middle School Hussain Abad Lahore Cantt: () (P) (Combined),31.51539,74.36048,Combined,Punjab,2,1,771,630
 254 - Govt. Khananm Girls Middle School Hussain Abad Lahore Cantt: () (P) (Combined),31.51539,74.36051,Combined,Punjab,2,1,925,734
 255 - Govt. Khananm Girls Middle School Hussain Abad Lahore Cantt: () (P) (Combined),31.51539,74.36054,Combined,Punjab,2,1,1050,852
 249 - Govt. Gulberg High School Near Railway Crossing- Hussain Abad Lahore Cantt:  ()(P) (Combined),31.52168,74.36033,Combined,Punjab,2,1,833,744
 250 - Govt. Gulberg High School Near Railway Crossing- Hussain Abad Lahore Cantt:  ()(P) (Combined),31.52168,74.36036,Combined,Punjab,2,2,1179,1028
 251 - Govt. Gulberg High School Near Railway Crossing- Hussain Abad Lahore Cantt:  ()(P) (Combined),31.52168,74.36039,Combined,Punjab,1,1,299,300
 256 - Govt. Gulberg High School Near Railway Crossing- Hussain Abad Lahore Cantt:  ()(P) (Combined),31.52168,74.36042,Combined,Punjab,2,1,718,651
 257 - Army Public School Abid Majeed Road Girja Chowk Lahore Cantt. ( Combined ),31.52311,74.37872,Combined,Punjab,2,2,1208,1105
 258 - Army Public School Abid Majeed Road Girja Chowk Lahore Cantt. ( Combined ),31.52311,74.37875,Combined,Punjab,1,1,616,616
 238 - St. Joseph High School Sarfraz Rafiquei Road Lahore Cantt: (Combined),31.53194,74.38361,Combined,Punjab,2,1,793,589
 239 - St. Joseph High School Sarfraz Rafiquei Road Lahore Cantt: (Combined),31.53194,74.38364,Combined,Punjab,1,1,430,389
 235 - St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt(Combined),31.5325,74.38194,Combined,Punjab,2,2,1189,1158
 236 - St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt(Combined),31.5325,74.38197,Combined,Punjab,1,1,713,633
 237 - St. Anthony High School- Sarfraz Rafiqi Road Lahore Cantt(Combined),31.5325,74.382,Combined,Punjab,1,1,659,567
 30 - Govt. Shamim ul Islam Girls High School Basti Syden Shah Mian Mir Pull- Lahore  (Combined),31.53657,74.36079,Combined,Punjab,2,2,1195,1028
 31 - Govt. Shamim ul Islam Girls High School Basti Syden Shah Mian Mir Pull- Lahore (Male),31.53657,74.36082,Male,Punjab,2,0,1392,0
 32 - Govt. Shamim ul Islam Girls High School Basti Syden Shah Mian Mir Pull- Lahore (Female),31.53657,74.36085,Female,Punjab,0,3,0,1282
 225 - Lahore Cantt  Public School Sarwar Road Lahore Cantt:: (Combined),31.53658,74.37698,Combined,Punjab,1,1,674,631
 226 - Lahore Cantt  Public School Sarwar Road Lahore Cantt:: (Combined),31.53658,74.37701,Combined,Punjab,1,1,220,179
 227 - Lahore Cantt  Public School Sarwar Road Lahore Cantt:: (Combined),31.53658,74.37704,Combined,Punjab,1,1,461,425
 228 - Army Public School and College For Girls ( Azam Garrison )52 Tufail Road Lahore Cantt. (Combined),31.53674,74.37992,Combined,Punjab,2,1,959,871
 247 - Army Public School and College For Girls ( Azam Garrison )52 Tufail Road Lahore Cantt. (Combined),31.53674,74.37995,Combined,Punjab,2,2,820,812
 248 - Army Public School and College For Girls ( Azam Garrison )52 Tufail Road Lahore Cantt. (Combined),31.53674,74.37998,Combined,Punjab,2,1,890,928
 243 - Beaconhouse School System- Askari-10-Lahore Cantt (Combined),31.53787,74.42068,Combined,Punjab,2,2,840,833
 244 - Beaconhouse School System- Askari-10-Lahore Cantt (Combined),31.53787,74.42071,Combined,Punjab,2,2,777,731
 245 - Beaconhouse School System- Askari-10-Lahore Cantt (Combined),31.53787,74.42074,Combined,Punjab,1,1,328,324
 246 - Beaconhouse School System- Askari-10-Lahore Cantt (Combined),31.53787,74.42077,Combined,Punjab,2,2,1142,1057
 33 - City District Govt.Boys High School Basti Syedan Shah- Lahore (Male),31.53857,74.35995,Male,Punjab,3,0,1700,0
 34 - City District Govt.Boys High School Basti Syedan Shah- Lahore (Female),31.53857,74.35998,Female,Punjab,0,3,0,1406
 35 - City District Govt.Boys High School Basti Syedan Shah- Lahore (Combined),31.53857,74.36001,Combined,Punjab,2,1,907,747
 177 - Pak Ideal High School Chungi Gujjar Pura (Male),31.54292,74.42533,Male,Punjab,3,0,1869,0
 261 - CB High School Cantt Lahore (Combined),31.54299,74.37685,Combined,Punjab,2,2,1447,1253
 262 - CB High School Cantt Lahore (Combined),31.54299,74.37688,Combined,Punjab,1,1,149,111
 240 - Ahmad Public High School- Mian Meer Colony Lahore Cantt. (Combined),31.5438,74.36072,Combined,Punjab,1,1,889,670
 241 - Nosegay Kids Care School St. No.2 Mian Meer Colony Lahore Cantt. (Combined),31.54396,74.36085,Combined,Punjab,2,2,1123,897
 222 - Efa School System Mian Mir Colony Lahore Cantt. (Combined),31.54458,74.35963,Combined,Punjab,2,1,994,847
 223 - Efa School System Mian Mir Colony Lahore Cantt. (Combined),31.54458,74.35966,Combined,Punjab,2,1,920,748
 181 - The Smart School Near Rangers Headquarters- Ghazi Road- Lahore (Male),31.5448,74.40813,Male,Punjab,1,0,499,0
 182 - The Smart School- Near Rangers Headquarters- Ghazi Road- Lahore (Female),31.5448,74.40816,Female,Punjab,0,1,0,472
 38 - Aichison College Upper Mall- Lahore (Male),31.5453,74.34814,Male,Punjab,4,0,1202,0
 39 - Aichison College Upper Mall- Lahore (Female),31.5453,74.34817,Female,Punjab,0,2,0,946
 40 - Aichison College Upper Mall- Lahore (Combined),31.5453,74.3482,Combined,Punjab,2,2,1091,974
 152 - Al-Suffah Public School- C-Block Al Faisal Town- Lahore (Male),31.54546,74.40345,Male,Punjab,3,0,1129,0
 153 - Al-Suffah Public School- C-Block Al Faisal Town- Lahore (Female),31.54546,74.40348,Female,Punjab,0,2,0,974
 224 - F.G. Boys High School No.5 Lahore Cantt:  ()(P) (Combined),31.54552,74.37581,Combined,Punjab,2,2,1249,1042
 178 - City Public High School- Guldusht Town- Near Police Chowki- Lahore (Female),31.54567,74.42216,Female,Punjab,0,3,0,1364
 179 - City Grammer School- Guldusht Town- Near Police Chowki- Lahore (Male),31.54567,74.42219,Male,Punjab,2,0,1245,0
 180 - City Grammer School- Guldusht Town- Near Police Chowki- Lahore (Female),31.54567,74.42222,Female,Punjab,0,2,0,926
 170 - Bab Ul Ilam School System Dogej Town (Male),31.54584,74.42184,Male,Punjab,3,0,1214,0
 171 - Bab Ul Ilam School System Dogej Town (Female),31.54584,74.42187,Female,Punjab,0,2,0,962
 151 - Iqra foundation School B Block Nala Al faisal town lahore (Female),31.54628,74.40224,Female,Punjab,0,3,0,1069
 174 - Marriam Sadeeqa High School near Police Chowki-Guldasht Town- Lahore  (Combined),31.54669,74.4222,Combined,Punjab,1,1,606,405
 175 - Marriam Sadeeqa High School near Police Chowki-Guldasht Town- Lahore (Combined),31.54669,74.42223,Combined,Punjab,2,2,1082,714
 219 - Government Tanveer Islamia Girls High School- near Ordnance Depu- Mian Mir Colony Lahore Cantt () (P) (Combined),31.54674,74.36222,Combined,Punjab,1,1,241,245
 220 - Government Tanveer Islamia Girls High School- near Ordnance Depu-- Mian Mir Colony Lahore Cantt () (P) (Male),31.54674,74.36225,Male,Punjab,3,0,1719,0
 221 - Government Tanveer Islamia Girls High School- near Ordnance Depu-- Mian Mir Colony Lahore Cantt  () (P) (Female),31.54674,74.36228,Female,Punjab,0,2,0,1294
 24 - Govt. Tanveer Islamia Girls H/S Darbar Mian Mir Sahib- Lahore (Male),31.54674,74.36231,Male,Punjab,4,0,1860,0
 25 - Govt. Tanveer Islamia Girls H/S Darbar Mian Mir Sahib- Lahore (Female),31.54674,74.36234,Female,Punjab,0,3,0,1532
 185 - Govt Girls Higher Secondary School Joray Pull Ranger Headquarters lahore (Female),31.54798,74.40981,Female,Punjab,0,3,0,1502
 186 - Govt Girls Higher Secondary School Joray Pull Ranger Headquarters lahore (Male),31.54798,74.40984,Male,Punjab,4,0,2179,0
 198 - Government Higher Secondary School- Rangers Colony- Lahore Cantt. (Male),31.54798,74.40987,Male,Punjab,3,0,1823,0
 199 - Government Higher Secondary School- Rangers Colony- Lahore Cantt. (Female),31.54798,74.4099,Female,Punjab,0,2,0,1396
 212 - FG Boys Model High School No 2. Lahore Cantt(Combined),31.54833,74.37473,Combined,Punjab,2,2,926,840
 213 - F.G. Boys Model High School No.2 Lahore Cantt: (Combined)(P),31.54833,74.37476,Combined,Punjab,2,1,813,698
 214 - F.G. Boys Model High School No.2 Lahore Cantt: (Combined),31.54833,74.37479,Combined,Punjab,2,2,985,831
 215 - F.G. Boys Model High School No.2 Lahore Cantt: (Combined),31.54833,74.37482,Combined,Punjab,2,2,1054,894
 231 - F.G. Boys Model High School No.2 Lahore Cantt: (Combined),31.54833,74.37485,Combined,Punjab,2,2,919,858
 232 - CB Degree College near Al Madina Masjid(Talaab Wali) (Combined),31.54837,74.38623,Combined,Punjab,2,1,795,606
 233 - CB Degree College near Al Madina Masjid(Talaab Wali) (Combined),31.54837,74.38626,Combined,Punjab,1,1,713,617
 242 - CB Degree College near Al Madina Masjid(Talaab Wali) (Combined),31.54837,74.38629,Combined,Punjab,1,1,635,597
 260 - CB Degree College near Al Madina Masjid(Talaab Wali) (Combined),31.54839,74.38625,Combined,Punjab,2,2,1101,825
 148 - Ayesha Grammer School B Block Zarar Shaheed Road lahore (male),31.54858,74.40561,Male,Punjab,3,0,1497,0
 149 - Ayesha Grammar School- Near MCB- B-Block Ghazi Road- Lahore (Male),31.54858,74.40564,Male,Punjab,2,0,1132,0
 150 - Ayesha Grammar School- Near MCB- B-Block Ghazi Road- Lahore  (Female),31.54858,74.40567,Female,Punjab,0,3,0,1288
 17 - City District Govt. Girls High School MianMir Pind- Lahore (Combined),31.54882,74.36497,Combined,Punjab,1,1,583,458
 20 - City District Govt. Girls High School Mian Mir Pind- Lahore (Male),31.54882,74.365,Male,Punjab,4,0,2102,0
 21 - City District Govt. Girls High School Mian Mir Pind- Lahore (Female),31.54882,74.36503,Female,Punjab,0,4,0,1844
 18 - City District Govt. Junior Model School No. 2 Near Infentary Road Mustafa Abad- Lahore(Male),31.54885,74.36497,Male,Punjab,4,0,1808,0
 19 - City District Govt. Junior Model School No. 2 Near Infentary Road Mustafa Abad- Lahore(Female),31.54885,74.365,Female,Punjab,0,4,0,1619
 169 - CDGL  Boys Model High School- Gujar Colony- Jorrey Pul-  Lahore (Combined),31.54894,74.40977,Combined,Punjab,3,2,1233,862
 176 - CDGL Boys High School- Gujrar Colony- Jorey Pul-Lahore (Combined),31.54894,74.4098,Combined,Punjab,2,2,962,751
 26 - Govt. Arif H/S Mustafa Abad- Lahore  (Combined),31.54914,74.36539,Combined,Punjab,2,2,928,832
 27 - Govt. Arif H/S Mustafa Abad- Lahore  (Combined),31.54914,74.36542,Combined,Punjab,2,2,1090,937
 28 - Govt. Arif H/S Mustafa Abad- Lahore  (Combined),31.54914,74.36545,Combined,Punjab,2,2,1026,912
 273 - CDG Boys School Gujjar Colony Lahore (Combined),31.54941,74.40932,Combined,Punjab,2,2,1105,950
 274 - CDG Boys School Gujjar Colony Lahore (Combined),31.54941,74.40935,Combined,Punjab,1,1,320,286
 275 - CDG Boys School Gujjar Colony Lahore (Combined),31.54941,74.40938,Combined,Punjab,2,2,1228,997
 201 - New Cantt:Public High School Ghaori Wala Gate No.5 lahore cantt (Combined),31.54944,74.39667,Combined,Punjab,2,1,986,690
 202 - New Cantt:Public High School Ghaori Wala Gate No.5 lahore cantt(Combined),31.54944,74.3967,Combined,Punjab,1,1,501,327
 203 - New Cantt:Public High School Ghaori Wala Gate No.5 lahore cantt(Combined),31.54944,74.39673,Combined,Punjab,2,1,838,676
 217 - New Cantt: Public School P.A.F. Colony Zarar Shaheed Road Lahore Cantt: (Combined),31.54944,74.39676,Combined,Punjab,2,1,751,700
 218 - New Cantt: Public School P.A.F. Colony Zarar Shaheed Road Lahore Cantt: (Combined),31.54944,74.39679,Combined,Punjab,2,1,955,770
 229 - New Cantt Public High School Zarar Shaheed Road near Askari-9  Lahore Cantt: (Male),31.54944,74.39682,Male,Punjab,2,0,1378,0
 230 - New Cantt Public High School Zarar Shaheed Road near Askari-9  Lahore Cantt: (Female),31.54944,74.39685,Female,Punjab,0,2,0,1397
 190 - Blue Sky Alfaisal town lahore (Combined),31.54949,74.40557,Combined,Punjab,1,1,581,466
 211 - Jinnah Islamia Girls High School Zarrar Shaheed Road Lahore Cantt (Combined),31.54972,74.38306,Combined,Punjab,2,2,1139,998
 205 - FG Boys Model High School No 1 . Sadar Goal Chakar Lahore Cantt. (Combined),31.55055,74.38306,Combined,Punjab,1,1,521,480
 208 - F.G. Boys Model High School No.1 Saddar Gool Chakkar Lahore Cantt:  (Combined) (P),31.55055,74.38309,Combined,Punjab,1,1,550,521
