PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 54 - Govt Middle School-10-/8-R (Combined) Boys Section,30.23635754,71.95360821,Combined,Punjab,2,2,874,686
 55 - Govt Model Primary School-14/8-R(East) (Combined) Girls Portion,30.23774945,71.95840816,Combined,Punjab,2,2,715,506
 56 - Govt Model Primary School-14/8-R(East) (Combined) Boys Portion,30.23774945,71.95843816,Combined,Punjab,1,1,462,381
 53 - Govt Model School 8-B/8-R  (Combined),30.2428903,71.92658368,Combined,Punjab,2,1,534,368
 52 - Govt .Boys Model Primary School- 8-A / 8R  (Combined),30.24414706,71.92727659,Combined,Punjab,2,1,520,385
 50 - Govt High  School-  11-A / 8R (Combined),30.25086829,71.91421846,Combined,Punjab,2,2,700,587
 51 - Govt Model  Middle School-  11-B / 8R (Combined),30.25086829,71.91424846,Combined,Punjab,2,2,989,794
 71 - Govt High School 8/9-R (Male),30.27063354,71.82618249,Male,Punjab,2,0,765,0
 36 - Govt. Girls Middle English Medium School- Mian Shameer No. 02- Markaz Khanewal (Combined),30.27559241,71.95249711,Combined,Punjab,1,1,394,271
 35 - Govt .Boys Elementry School 18/AH (Combined),30.2783996,71.91798381,Combined,Punjab,1,1,438,257
 66 - Govt Girls  Elementry School-   5/9-R (Female),30.27971954,71.87273616,Female,Punjab,0,4,0,1420
 67 - Govt High School- 7/9-R (Male),30.27971954,71.87276616,Male,Punjab,3,0,1002,0
 68 - Govt High School-7/9-R (Male),30.27971954,71.87279616,Male,Punjab,1,0,342,0
 48 - Govt Model  Primary School-  11/8-R (Combined) Boys Portion,30.2808642,71.98076398,Combined,Punjab,2,2,944,761
 47 - Govt .Girls Primary School- 15/ V Sharki (Combined),30.28143102,71.98080052,Combined,Punjab,1,1,361,267
 62 - Govt Model  Middle School-13/8-R (Girls Portion) (Female),30.28175,71.8389979,Female,Punjab,0,1,0,392
 80 - Govt Model Middle School 15/9-R (Combined),30.28400942,71.78252693,Combined,Punjab,1,1,216,166
 82 - Govt Elementry School 13/9-R (Combined),30.28400942,71.78255693,Combined,Punjab,2,2,1083,794
 83 - Govt Boys Primary School 18/9-R (Combined),30.28400942,71.78258693,Combined,Punjab,2,2,1037,793
 8 - Primary School No-2 Makhdom Pur  (Female),30.2902704,71.8533283,Female,Punjab,0,4,0,1306
 81 - Govt Elementry School 13/9-R (Combined),30.29242445,71.78716192,Combined,Punjab,1,1,407,324
 84 - Govt Girls Primary School 4/8-AR (Combined),30.29242445,71.78719192,Combined,Punjab,2,2,765,558
 69 - Govt High School-7/9-R (Combined),30.29305699,71.85890094,Combined,Punjab,2,2,923,806
 79 - Govt Model Middle School 15/9-R Girls Portion (Combined),30.29393403,71.81785154,Combined,Punjab,2,2,968,872
 85 - Govt Boys High School 4/9-R (Male),30.2942898,71.78719051,Male,Punjab,4,0,1450,0
 86 - Govt Boys High School 4/9-R  (Part-II) (Female),30.2942898,71.78722051,Female,Punjab,0,3,0,1184
