PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 237 - Office of Assistant Director (Agriculture Plant Protection) Qutab Pur,30.152990791343836,71.44269267459563,Male,Punjab,2,0,1143,0
 238 - Office of Assistant Director (Agriculture Plant Protection) Qutab Pur,30.152990791343836,71.4427226745956,Male,Punjab,2,0,1177,0
 239 - Office of District Officer (Agriculture Development) Qutab Pur.,30.152990791343836,71.4427526745956,Female,Punjab,0,2,0,946
 240 - Office of District Officer (Agriculture Development) Qutab Pur (Improvised Polling Station),30.152990791343836,71.4427826745956,Female,Punjab,0,2,0,1013
 220 - Engineering Block- Aimri Colony,30.157302792044526,71.44521631938431,Female,Punjab,0,2,0,792
 243 - Government Boys Primary School- Basti Khuda dad.,30.157344688109536,71.41159579070724,Combined,Punjab,1,1,631,552
 249 - Union Council Office Bhakar Arbi,30.159603404282787,71.41613441165805,Male,Punjab,2,0,1070,0
 255 - Union Council Office Bhakar Arbi,30.159603404282787,71.416164411658,Male,Punjab,2,0,1269,0
 196 - PTCL Exchange- Mumtazabad,30.16078,71.52896,Male,Punjab,3,0,1703,0
 222 - Government Girls Primary School- Taraf Daira,30.160786076349865,71.45853650849646,Female,Punjab,0,3,0,1631
 288 - Government Girls Primary School- Doulat Abad No. 2  (Garden Town),30.16139,71.4025,Male,Punjab,3,0,1435,0
 289 - Government Girls Primary School- Doulat Abad N0. 2 (Garden Town),30.16139,71.40253,Female,Punjab,0,3,0,1384
 290 - Government Girls Primary School- Doulat Abad No.2 (Garden Town),30.16139,71.40256,Combined,Punjab,1,1,427,401
 244 - Govt. Girls High School- Basti Khuda Dad,30.16222,71.40847,Combined,Punjab,2,1,718,544
 245 - Government Girls High School- Basti Khudadad,30.16222,71.4085,Combined,Punjab,1,1,638,546
 246 - Government Girls High School- Basti Khudadad,30.16222,71.40853,Combined,Punjab,2,2,762,681
 247 - Government Girls High School- Basti Khudadad,30.16222,71.40856,Male,Punjab,4,0,2059,0
 248 - Government Girls High School- Basti Khudadad,30.16222,71.40859,Female,Punjab,0,4,0,1766
 250 - Government Girls High School- Basti Khudadad,30.16222,71.40862,Female,Punjab,0,4,0,2003
 254 - Govt. Girls High School- Basti Khuda Dad,30.16222,71.40865,Combined,Punjab,2,2,774,689
 291 - Government Girls High School- Basti Khuda Dad,30.16222,71.40868,Combined,Punjab,1,1,179,130
 266 - Government Girls Elementary School- Farooq Pura,30.1628497127825,71.43403395502747,Female,Punjab,0,3,0,1705
 267 - Government Girls Elementary School- Farooq Pura,30.1628497127825,71.4340639550275,Female,Punjab,0,3,0,1493
 286 - Government Girls Elementary School- Farooq Pura,30.1628497127825,71.4340939550275,Male,Punjab,4,0,1853,0
 287 - Government Girls Elementary School- Farooq Pura,30.1628497127825,71.4341239550275,Female,Punjab,0,3,0,1544
 251 - Government Girls Elemntary School Farooq Pura,30.162918035617338,71.43400621847607,Male,Punjab,3,0,1495,0
