PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 301 - Girls Middle School 190/WB(P),29.815820349949345,72.16782419498904,Combined,Punjab,2,1,909,685
 117 - Boys Pry School Malik Wahin (P),29.821032631402275,72.2676490812374,Combined,Punjab,1,1,793,539
 116 - Govt. Girls Elementary School Hari Chand  (Famale)  harichand,29.836286900562854,72.2637028916364,Female,Punjab,0,2,0,1025
 118 - Govt. Pry School Hari Chand (P)(Male),29.836286900562854,72.2637328916364,Male,Punjab,2,0,1512,0
 129 - Boys Middle School Karam Pur (combined) (P),29.837747289595907,72.25490109453254,Combined,Punjab,1,1,664,557
 130 - Boys Middle School Karam Pur (Female) (P),29.837747289595907,72.2549310945325,Female,Punjab,0,2,0,984
 113 - Boys Pry. School  Alam Pur (P),29.838088206654113,72.2521409692537,Combined,Punjab,2,1,1032,773
 114 - Girls Pry School Alam Pur (Male),29.838088206654113,72.2521709692537,Male,Punjab,2,0,1583,0
 115 - Girls Pry School Alam Pur (Female),29.838088206654113,72.2522009692537,Female,Punjab,0,2,0,1226
 123 - Girls Community Model School Dhallo (P) (Female),29.84024927272451,72.29045850801785,Female,Punjab,0,2,0,1216
 122 - Girls Community Model School Dhallo (P) (Male),29.84029996178399,72.29044496320722,Male,Punjab,2,0,1668,0
 120 - Govt. Middle School Dhallu (Male),29.843264732319227,72.29291459263796,Male,Punjab,2,0,1130,0
 121 - Govt. Middle School Dhallu (Female),29.843264732319227,72.292944592638,Female,Punjab,0,1,0,741
 124 - Govt Elementary School Burana  (P)(Male),29.865442059335656,72.32225925036472,Male,Punjab,2,0,1340,0
 125 - Govt Elementary School Burana  (P) (Female),29.865442059335656,72.3222892503647,Female,Punjab,0,2,0,950
 126 - Govt. Pry. School Pir Shah (Male),29.878393113547883,72.35466644566009,Male,Punjab,2,0,1256,0
 127 - Govt. Pry. School Pir Shah (Female),29.878393113547883,72.3546964456601,Female,Punjab,0,1,0,742
 139 - Girls Pry. School Hassan Shah (Female),29.880310332871932,72.40178504575661,Female,Punjab,0,3,0,1866
 137 - Boys Pry. School Hassan Shah (Male),29.880652246753783,72.40187357651216,Male,Punjab,2,0,1375,0
 138 - Boys Pry. School Hassan Shah (Male),29.880652246753783,72.4019035765122,Male,Punjab,2,0,1244,0
 140 - Boys Pry School Bangla Rasool Pur (P),29.880652861834694,72.38035274074637,Combined,Punjab,1,1,465,345
 145 - Govt.  Model Pry. School Gahnwari Balouch(Girls Section),29.88091952774187,72.23814099484153,Combined,Punjab,1,1,834,593
 155 - Boys Pry. School Sher Garh (P),29.888818210153655,72.20438490331533,Combined,Punjab,1,1,619,477
 156 - Boys Pry. School Sher Garh (P),29.888818210153655,72.2044149033153,Combined,Punjab,1,1,501,402
 146 - Boys Middle School Ahmed Pur (P),29.89334097515291,72.32257999935568,Combined,Punjab,2,1,968,630
 132 - Boys Higher Secondary School Karam Pur   (Male) (P),29.895945078034377,72.35030034576063,Male,Punjab,2,0,1280,0
 133 - Boys Higher Secondary School Karam Pur   (Male) (P),29.895945078034377,72.3503303457606,Male,Punjab,2,0,985,0
 135 - Govt. Highier Secondary School Karam Pur (Male) (P),29.895945078034377,72.3503603457606,Male,Punjab,2,0,1136,0
 131 - Girls High School Karam Pur   (Female) (P),29.895946388134327,72.35083502204057,Female,Punjab,0,2,0,1672
 147 - Govt. Pry. School Amin Pur (P),29.900037400053115,72.28880572688968,Combined,Punjab,2,1,1072,830
 134 - Rural Health Centre Karam Pur  (Female),29.901235782609877,72.35952801602467,Female,Punjab,0,2,0,867
 128 - Union Council Office Karam Pur (Male) (P),29.903204674763863,72.35389598380686,Male,Punjab,2,0,1300,0
 148 - Girls Pry. School Kotly Mahtum (Combined) (P),29.908163474401228,72.31459762023417,Combined,Punjab,2,1,905,773
 149 - Boys Pry. School Kotly Mahtum (Combined) (P),29.908564824923754,72.31517322161241,Combined,Punjab,2,1,912,710
 150 - Boys Pry. School Kotly Mahtum  (P),29.908564824923754,72.3152032216124,Combined,Punjab,1,1,808,528
 151 - Boys Pry. School Kotly Mahtum  (P),29.908564824923754,72.3152332216124,Combined,Punjab,1,1,670,495
 158 - Boys  Pry. School Gujjar (P),29.912440528875123,72.24758939573721,Combined,Punjab,1,1,635,411
 159 - Boys  Pry. School Gujjar (P),29.912440528875123,72.2476193957372,Combined,Punjab,2,1,1006,654
 141 - Girls Pry. School Muhammad Shah (P),29.915860647297087,72.26575491867699,Combined,Punjab,1,1,686,502
 142 - Girls Pry. School Muhammad Shah (P),29.915860647297087,72.265784918677,Combined,Punjab,1,1,527,412
 136 - Bosy Pry. School Kot Qazi,29.91796089572355,72.34045750365568,Combined,Punjab,2,1,1005,668
 144 - Gvot. High School Muhammad Shah Pry. Portion (Male)) (P),29.92227272182298,72.26808687901304,Male,Punjab,2,0,1253,0
 143 - Gvot. High School Muhammad Shah Pry. Portion (Female) (P),29.922303365730812,72.26809337809702,Female,Punjab,0,1,0,846
 157 - Boys Pry. School Jlal Qahum (P),29.92846165356178,72.21964508430324,Combined,Punjab,2,1,1092,736
 154 - Girls Middle School Sargana (Female) (P),29.929633776641527,72.19818199001669,Female,Punjab,0,2,0,1379
 152 - Boys High School School Sargana (Male) (P),29.93045220518603,72.19711331051614,Male,Punjab,2,0,1047,0
 153 - Boys High School School Sargana (Male) (P),29.93045220518603,72.1971433105161,Male,Punjab,2,0,1091,0
 164 - Boys  Pry. School 66/KB (P),29.936557983959315,72.33585092698932,Combined,Punjab,1,1,829,670
 163 - Girls Middle School 67/KB (P),29.93917568586914,72.30750550324991,Combined,Punjab,1,1,778,619
 162 - Govt. Pry. School 68/KB (P),29.939429997955973,72.28951000384707,Combined,Punjab,2,1,897,713
 160 - Boys Pry. School Noor Shah (P),29.941340715892306,72.2662045581521,Combined,Punjab,1,1,570,395
 161 - Boys Pry. School Noor Shah (P),29.941340715892306,72.2662345581521,Combined,Punjab,1,1,593,541
 169 - Boys Pry. School 73/WB(P)(Male),29.95473170959342,72.24410444990417,Male,Punjab,1,0,894,0
 170 - Boys Pry. School 73/WB(P) (Female),29.95473170959342,72.2441344499042,Female,Punjab,0,1,0,694
 86 - Boys Pry. School 65/WB (Male) (P),29.95660922,72.3008557,Male,Punjab,3,0,1702,0
 87 - Girls High School 65/WB (Female) (P),29.95688822,72.30600927,Female,Punjab,0,2,0,1379
 165 - Govt. Middle School  69/WB (Male) (P),29.963302931818383,72.27629926512931,Male,Punjab,2,0,1043,0
 166 - Govt. Middle School  69/WB (combined) (P),29.963302931818383,72.2763292651293,Combined,Punjab,2,1,991,709
 167 - Girls High Sichool 69/WB (Female) (P),29.96590210157725,72.27591303311429,Female,Punjab,0,2,0,878
 84 - Girls Middle School 63/WB (P),29.97040112084437,72.32294465067362,Combined,Punjab,2,1,869,654
 85 - Girls Middle School 63/WB (P),29.97040112084437,72.3229746506736,Combined,Punjab,1,1,526,416
 83 - Govt. Model Pry. School 61/WB,29.97194416421939,72.34537616019985,Combined,Punjab,1,1,682,450
 168 - Boys Pry School 71/WB,29.974365223826585,72.25000501742551,Combined,Punjab,1,1,534,385
 263 - Girls Pry. School 99/WB,29.97589611168693,72.26832430129366,Combined,Punjab,1,1,326,271
 299 - Boys Middle School 188/WB(P),29.9811698,72.0385961,Combined,Punjab,1,1,774,598
 82 - Boys High School 59/WB (P),29.988205024927133,72.33176802508427,Combined,Punjab,2,1,979,786
 79 - Boys Pry. School 57/WB (P),29.988333964237473,72.30469708513368,Combined,Punjab,1,1,524,365
 80 - Boys Pry. School 57/WB (P),29.988333964237473,72.3047270851337,Combined,Punjab,1,1,682,485
 297 - Boys Pry. School 186/WB(P),29.9899289,72.0532002,Combined,Punjab,1,1,631,531
 298 - Boys Pry. School 186/WB(P),29.9899289,72.0532302,Combined,Punjab,1,1,512,405
 109 - Boys Pry. School Naseemabad Qadir Wah (P),29.993319533004268,72.39411062664514,Combined,Punjab,1,1,477,430
 110 - Boys Pry. School Naseemabad Qadir Wah (P),29.993319533004268,72.3941406266451,Combined,Punjab,1,1,758,563
 268 - Boys Middle School 101/WB (P),29.993835247854058,72.24553374186073,Combined,Punjab,1,1,603,435
 269 - Boys Middle School 101/WB (P),29.993835247854058,72.2455637418607,Combined,Punjab,2,2,685,514
 111 - Girls Pry. School Sheen Mar Qadir Wah,29.994533684932588,72.43942540786021,Combined,Punjab,1,1,597,438
 112 - Girls Pry. School Sheen Mar Qadir Wah,29.994533684932588,72.4394554078602,Combined,Punjab,1,1,661,488
 81 - Govt. Middle School 53/WB (P),29.997043653429838,72.34776610180103,Combined,Punjab,2,1,1041,800
 286 - Boys Pry School 184/WB (P),29.99946901778221,72.08528975940537,Combined,Punjab,1,1,771,534
 287 - Boys Pry School 184/WB (P),29.99946901778221,72.0853197594054,Combined,Punjab,1,1,699,526
 78 - Boys Pry. School- 51/WB  (P),30.00211205374569,72.37124255831368,Combined,Punjab,2,1,953,737
 254 - Girls  Pry. School 161/WB,30.003102930172712,72.17559295669298,Combined,Punjab,2,1,907,802
 317 - Boys High School 110/WB(P),30.0043466,71.9518042,Combined,Punjab,1,1,722,566
 318 - Boys Pry. School Rath Mummar(P)(Male),30.0043466,71.9518342,Male,Punjab,2,0,1221,0
 319 - Boys Pry. School Rath Mummar(P)(Female),30.0043466,71.9518642,Female,Punjab,0,1,0,893
 320 - Boys Middle. School 116/WB(P)(Male),30.0043466,71.9518942,Male,Punjab,2,0,1120,0
 321 - Boys Middle School 116/WB(P)(Female),30.0043466,71.9519242,Female,Punjab,0,1,0,901
 322 - Girls Elementary  School 114/WB(P)(Male),30.0043466,71.9519542,Male,Punjab,2,0,1018,0
 323 - Girls Elementary  School 114/WB(P)(Female),30.0043466,71.9519842,Female,Punjab,0,1,0,850
 325 - Boys Pry. School 106/WB(P),30.0043466,71.9520142,Combined,Punjab,1,1,833,572
 326 - Boys Pry. School 128/WB(P),30.0043466,71.9520442,Combined,Punjab,1,1,819,673
 327 - Boys Pry . School 126/WB(P),30.0043466,71.9520742,Combined,Punjab,1,1,763,583
