PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 241 - GOVERNMENT PRIMARY SCHOOL JURIO CHANDIO MALE,27.535624027364822,68.19976924324463,Male,Sindh,4,0,1164,0
 242 - GOVERNMENT PRIMARY SCHOOL JURIO CHANDIO FEMALE,27.535624027364822,68.1997992432446,Female,Sindh,0,3,0,929
 316 - GOVERNMENT PRIMARY SCHOOL DODO,27.539521095683035,68.26312692498512,Combined,Sindh,2,2,798,672
 318 - GOVERNMENT PRIMARY SCHOOL DODO SANHRI,27.539521095683035,68.2631569249851,Combined,Sindh,2,1,592,417
 246 - GOVERNMENT PRIMARY SCHOOL SHAHU BORAHO MALE,27.539744460927782,68.20493295090115,Male,Sindh,3,0,1022,0
 247 - GOVERNMENT PRIMARY SCHOOL SHAHU BORAHO FEMALE,27.539744460927782,68.2049629509011,Female,Sindh,0,2,0,733
 243 - DISTRICT OFFICER POLTRY MALE,27.540002311892465,68.19130235728078,Male,Sindh,3,0,892,0
 244 - DISTRICT OFFICER POLTRY FEMALE,27.540002311892465,68.1913323572808,Female,Sindh,0,2,0,689
 245 - DISTRICT OFFICER POLTRY,27.540002311892465,68.1913623572808,Combined,Sindh,2,2,585,508
 236 - GOVERNMENT GIRLS PRIMARY SCHOOL CATTLE COLONY MALE,27.54004378097237,68.19934616199191,Male,Sindh,4,0,1068,0
 237 - GOVERNMENT GIRLS PRIMARY SCHOOL CATTLE COLONY FEMALE,27.54004378097237,68.1993761619919,Female,Sindh,0,3,0,797
 235 - GOVERNMENT PRIMARY SCHOOL CATTLE COLONY,27.54008765418234,68.19928605002114,Combined,Sindh,2,2,700,526
 232 - MUHKEMA MOSMIAT  OFFICE,27.540215962308732,68.19172119609851,Combined,Sindh,2,2,763,618
 231 - MUHKEMA MOSMIAT  OFFICE,27.540223923487254,68.19172162226317,Combined,Sindh,2,2,719,582
 239 - GOVERNMENT PRIMARY SCHOOL BHAIS COLONY MALE,27.540291728065295,68.20228466758633,Male,Sindh,4,0,978,0
 240 - GOVERNMENT PRIMARY SCHOOL BHAIS COLONY FEMALE,27.540291728065295,68.2023146675863,Female,Sindh,0,3,0,791
 238 - GOVERNMENT PRIMARY SCHOOL BHAIS COLONY,27.540315714237366,68.20229021647584,Combined,Sindh,2,2,733,587
 192 - GOVERNMENT PRIMARY SCHOOL NAZAR MUHALLA LARKANA MALE,27.54130455270557,68.19886944383144,Male,Sindh,3,0,910,0
 193 - GOVERNMENT PRIMARY SCHOOL NAZAR MUHALLA LARKANA FEMALE,27.54130455270557,68.1988994438314,Female,Sindh,0,2,0,736
 233 - GOVERNMENT PRIMARY SCHOOL OLD NAZAR MALE,27.542094651315043,68.19795233313069,Male,Sindh,4,0,1259,0
 234 - GOVERNMENT PRIMARY SCHOOL OLD NAZAR FEMALE,27.542094651315043,68.1979823331307,Female,Sindh,0,3,0,1025
 317 - GOVERNMENT PRIMARY SCHOOL BOYS PHULL,27.544961556026667,68.25066957633364,Combined,Sindh,2,1,510,410
 319 - GOVERNMENT PRIMARY SCHOOL HAMZO JATOI,27.545568861233335,68.26598313628205,Combined,Sindh,2,2,667,628
 194 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR LARKANA I MALE,27.545639191609364,68.19624425207448,Male,Sindh,3,0,846,0
 195 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR LARKANA I FEMALE,27.545639191609364,68.1962742520745,Female,Sindh,0,2,0,659
 227 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR II MALE,27.545639191609364,68.1963042520745,Male,Sindh,3,0,803,0
 228 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR II FEMALE,27.545639191609364,68.1963342520745,Female,Sindh,0,2,0,632
 229 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR II MALE,27.545639191609364,68.1963642520745,Male,Sindh,3,0,1011,0
 230 - GOVERNMENT PRIMARY SCHOOL NEW NAZAR II FEMALE,27.545639191609364,68.1963942520745,Female,Sindh,0,3,0,827
 222 - GOVERNMENT PRIMARY SCHOOL RAHMATPUR MALE,27.545755277321742,68.20582879649943,Male,Sindh,4,0,1160,0
 223 - GOVERNMENT PRIMARY SCHOOL RAHMATPUR FEMALE,27.545759150257332,68.20584564520598,Female,Sindh,0,3,0,936
