PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 232 - Government Middle School Kasbo,24.28768,70.7875,Combined,Sindh,3,2,745,584
 233 - Government Primary School Kasbo Male,24.28768,70.78753,Male,Sindh,4,0,1027,0
 234 - Governemt High School Kasbo Female,24.28768,70.78756,Female,Sindh,0,3,0,874
 206 - Government Primary School Pithapur,24.3567721,70.7556348,Combined,Sindh,2,2,518,402
 236 - Government High School Nagarparkar Male,24.3643608,70.7545527,Male,Sindh,3,0,713,0
 237 - Government Primary School Nagarparkar ( Male),24.3643608,70.7545827,Male,Sindh,4,0,119,593
 230 - Government Primary School Lakar Khudio Male,24.3643608,70.7546127,Male,Sindh,3,0,947,0
 231 - Government Dispensary Lakarkhadio Female,24.3643608,70.7546427,Female,Sindh,0,3,0,745
 235 - Government Girls Primary School Soorachand,24.3643608,70.7546727,Combined,Sindh,3,2,676,513
 238 - Government Primary School Nagarparkar ( Male),24.3643608,70.7547027,Male,Sindh,4,0,983,0
 239 - Government Girls High School Nagarparkar (Female),24.3643608,70.7547327,Female,Sindh,0,4,0,937
 221 - Government Primary School Arbab Inayat Form,24.3643608,70.7547627,Combined,Sindh,2,1,339,241
 187 - Government Primary School Mokhai Male,24.50278,70.64034,Male,Sindh,2,0,826,0
 188 - Government High School Mokhai Female,24.50278,70.64037,Female,Sindh,0,2,0,655
 184 - Government High School Virawah,24.52167,70.77319,Combined,Sindh,3,2,717,556
 281 - Government Primary School Janab Ali Shah,24.52569,70.67213,Combined,Sindh,3,2,763,535
 186 - Government Primary School Bhoodar,24.52569,70.67214,Combined,Sindh,2,1,356,281
 279 - Government Primary School Bhagisal,24.5257,70.67201,Combined,Sindh,2,2,446,361
 176 - Government Middle School Soondar Female,24.55066,70.58482,Female,Sindh,0,2,0,875
 228 - Government Primary School Sabusun,24.5720068,70.802715,Combined,Sindh,3,2,670,516
 229 - Government Dispensary Sindhan Jo Wandio,24.5720068,70.802745,Combined,Sindh,2,2,477,345
 198 - Government Primary School Kharsar,24.57285,70.80164,Combined,Sindh,2,1,494,318
 215 - Government Primary School Wadhrai,24.5897393,70.7259822,Combined,Sindh,3,2,647,536
 216 - Government Primary School Sadurus,24.5897393,70.7260122,Combined,Sindh,2,2,471,407
 217 - Government Primary School Mokrio (Improvised),24.5897393,70.7260422,Combined,Sindh,2,1,366,262
 222 - Government Primary School Kharak,24.5897393,70.7260722,Combined,Sindh,2,2,580,420
 223 - Government Primary School Kharoro Bishmani,24.5897393,70.7261022,Combined,Sindh,2,1,363,302
 224 - Government Primary School Onhar,24.5897393,70.7261322,Combined,Sindh,3,2,733,566
 225 - Government Primary School Adhigam Male,24.5897393,70.7261622,Male,Sindh,3,0,822,0
 226 - Government Middle School Aadhigam Female,24.5897393,70.7261922,Female,Sindh,0,3,0,702
 205 - Government Primary School Burtalla,24.5897393,70.7262222,Combined,Sindh,3,2,669,517
 240 - Government Girls Primary School Meghwar Paro Nagarparkar,24.5897393,70.7262522,Combined,Sindh,3,2,679,557
 241 - Government Primary Sschool Bhodesar (Male) Improvised,24.5897393,70.7262822,Male,Sindh,3,0,805,0
 218 - Government Primary School Mondhro Male Improved,24.5897393,70.7263122,Male,Sindh,3,0,783,0
 127 - Government Middle School Danbhario Ismail (Male),24.5897393,70.7263422,Male,Sindh,3,0,769,0
 220 - Government Primary School Malji Jo Wandio,24.5897393,70.7263722,Combined,Sindh,2,2,501,417
 190 - Government Primary School Dandhoro,24.61474,70.69664,Combined,Sindh,2,2,510,376
 204 - Government Primary School Aalani Ji Wandhio,24.6252679,70.9764877,Combined,Sindh,3,2,675,527
 214 - Government Primary School Churio,24.6252679,70.9765177,Combined,Sindh,3,2,682,519
 159 - Government Primary School Kubri,24.6252679,70.9765477,Combined,Sindh,1,1,320,265
 213 - Government Primary School Phulparo,24.6252679,70.9765777,Combined,Sindh,2,1,394,290
 202 - Government Primary School Ranpur,24.6252679,70.9766077,Combined,Sindh,2,2,609,497
 162 - Government Primary School Bhemaveri,24.6252679,70.9766377,Combined,Sindh,2,1,419,316
 163 - Government Primary School Kot Bando,24.6252679,70.9766677,Combined,Sindh,2,2,471,366
 157 - Government Primary School Chhachi,24.6252679,70.9766977,Combined,Sindh,2,2,507,395
 158 - Government Middle School Surho Gaju,24.6252679,70.9767277,Combined,Sindh,2,2,613,419
 147 - Government Middle School Kharoro Dal (Male),24.6252679,70.9767577,Male,Sindh,3,0,662,0
 166 - Government Primary School Sand Paro Panhario,24.65921,70.63079,Combined,Sindh,2,1,376,313
 201 - Government Dispensary Khari Veri Female,24.67302,70.88248,Female,Sindh,0,3,0,693
 195 - Government Primary School Samat,24.68159,70.80532,Combined,Sindh,1,1,351,221
 156 - Government Primary School  Harho Female,24.7343674,69.804315,Female,Sindh,0,3,0,715
 160 - Government Primary School Jhiglio Dal,24.7343674,69.804345,Combined,Sindh,2,2,443,424
