PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 261 - Government Primary School  Kharo Chhan (Partly improvised)(Combined),24.053444105226255,67.58454013479043,Combined,Sindh,2,2,786,560
 259 - Government High School  Sajan Wari (male),24.09062826670513,67.6155763934385,Male,Sindh,2,0,1115,0
 260 - GBPS Sajan Wari (female) (newly created),24.09062826670513,67.6156063934385,Female,Sindh,0,2,0,826
 257 - Government Primary School  Tharewari Portion-1 (Female) renamed,24.102786964263814,67.60199442897995,Female,Sindh,0,2,0,877
 258 - Government Primary School  Tharewari Portion-11 (Male) renamed/newly created,24.102786964263814,67.6020244289799,Male,Sindh,2,0,1136,0
 183 - Government Primary School  Juho  (Combined),24.1451318,67.4548172,Combined,Sindh,2,2,588,464
 238 - Government Primary School  Ahmed Jat  (Combined),24.1453627,67.4563071,Combined,Sindh,2,2,573,452
 245 - Government Primary School  Haji Ibrahim Shaikh (Partly immprovised)(Combined),24.1453627,67.4563371,Combined,Sindh,2,2,457,409
 246 - Improvised outside Government Primary School  Haji Ibrahim Shaikh (Combined),24.1453627,67.4563671,Combined,Sindh,1,1,428,389
 247 - Government Primary School  Haji Qasim Ghun (Combined),24.1453627,67.4563971,Combined,Sindh,2,2,558,446
 248 - Improvised outside Government Primary School  Haji Qasim Ghun  (Combined),24.1453627,67.4564271,Combined,Sindh,1,1,455,323
 251 - Government Primary School  Haji Umar Karrmon (Combined),24.1453627,67.4564571,Combined,Sindh,2,2,888,634
 255 - Government Primary School  Haji Ali Bux Muguhar (Combined),24.164483184113823,67.58867725654038,Combined,Sindh,3,1,960,498
 256 - Government Primary School  Muhammad Suleman Jat (Combined),24.167242586695895,67.57719707030236,Combined,Sindh,2,2,835,638
 254 - Government Primary School  Babiho (Combined),24.169750991996914,67.62353354544958,Combined,Sindh,2,2,706,528
 195 - Government Primary School  Pir Ali Muhammad (Partly imp) (Combined),24.239714,67.6075477,Combined,Sindh,2,2,883,616
 184 - Government Primary School  Khatho  (Combined),24.2397848,67.6034498,Combined,Sindh,1,1,412,287
 187 - Government Primary School  Mehmood Shah (Combined),24.2397848,67.6034798,Combined,Sindh,2,2,808,627
 180 - Government Primary School  Ali Muhammad Janiyaro  (Combined),24.2405776,67.5926464,Combined,Sindh,2,2,747,612
 181 - Government Primary School  Haji Mehar Kapurani (Partly improvised)  (Combined),24.2405776,67.5926764,Combined,Sindh,2,2,656,513
 189 - Government Primary School  Abdul Latif Lakho (Combined),24.2429494,67.6104292,Combined,Sindh,2,2,595,488
 190 - Government Primary School  Haji Khan Lakho (Partly improvise) (Combined),24.2429494,67.6104592,Combined,Sindh,2,2,731,674
 191 - Government Primary School  Abdullah Chana  (Combined),24.2820043,67.6652916,Combined,Sindh,2,2,758,543
 196 - Government Primary School  Noor Muhammad Jalbani (Combined),24.2966903,67.7058999,Combined,Sindh,2,1,636,366
 203 - Government Primary School  Haji Umar Khan Baloch (Combined),24.303124013940536,67.65718412539984,Combined,Sindh,2,2,915,702
