PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 256 - Govt. Boys High School Mithari (Male),-35.93651,25.3125,Male,Balochistan,3,0,1105,0
 366 - Govt. Boys H/S Chukhi (Combined),27.92259,67.62246,Combined,Balochistan,2,2,529,431
 358 - Govt. Boys M/S Kechhi Jadeed (Combined),27.94424,67.53206,Combined,Balochistan,2,1,555,341
 380 - Govt: Boys H/S Shambani (combined),27.9674,67.55451,Combined,Balochistan,2,2,564,468
 364 - Govt. Boys H/S Kot Magsi I (Male),27.97186,67.64896,Male,Balochistan,3,0,770,0
 387 - Govt: Boys H/S Mitho (combined),27.97394,67.51111,Combined,Balochistan,2,1,420,322
 362 - Govt.Boys H/S Sakhani I (Male),27.9925,67.659,Male,Balochistan,3,0,768,0
 363 - Govt.Boys H/S School Sakhani II(Female),27.9925,67.65903,Female,Balochistan,0,2,0,660
 361 - Govt. Boys M/S Shahmir Khan (Combined),28.01572,67.67427,Combined,Balochistan,2,2,455,419
 381 - Govt: Boys P/S School Kuhna Shadi Har (Combined),28.024,67.55519,Combined,Balochistan,2,1,410,269
 377 - Basic Health Unit Barrija (Male),28.02545,67.49033,Male,Balochistan,3,0,877,0
 378 - Govt. Boys High School Barijah(Feimale),28.02617,67.49083,Female,Balochistan,0,2,0,695
 379 - Govt. Girls Primary School Barijah (Combined),28.02743,67.49065,Combined,Balochistan,2,1,564,362
 359 - Govt. Boys P/S Amirabad (Combined),28.02791,67.59627,Combined,Balochistan,2,1,462,337
 360 - Govt.Boys M/S Band Mehmood (Combined),28.03897,67.61649,Combined,Balochistan,1,1,279,202
 385 - Civil Dispensary Saif Abad (Female),28.11573,67.63708,Female,Balochistan,0,3,0,875
 383 - Govt: Boys P/S Saif Abad (Male) I,28.12441,67.63937,Male,Balochistan,3,0,836,0
 384 - Govt: P/S Saif Abad (Male) II,28.12441,67.6394,Male,Balochistan,3,0,905,0
 386 - Govt: Boys M/S Dhori (combined),28.17718,67.41628,Combined,Balochistan,2,2,639,431
 382 - Govt: Boys P/S Koreja (combined),28.18217,67.44202,Combined,Balochistan,2,2,657,376
 355 - Govt. M/S Kabbar(Combined),28.22819,67.54799,Combined,Balochistan,2,2,684,381
 98 - Govt: P/S Abdul Raheem (Combined),28.2375,67.96745,Combined,Balochistan,2,1,560,520
 109 - Govt. Middle School Allah Abad (Female),28.24129,67.92872,Female,Balochistan,0,3,0,1077
 108 - Govt. High School Allah Abad (Male),28.24151,67.92786,Male,Balochistan,3,0,980,0
 158 - Govt. P/S Sher Muhammad (Combined),28.27543,67.92648,Combined,Balochistan,2,2,970,652
 357 - Govt. P/S Khaskhely (Combined),28.27695,67.39167,Combined,Balochistan,2,2,684,494
 348 - Govt: Girls M/S Hindu Mohalla Mithora  (Combined) new,28.28697,67.45464,Combined,Balochistan,2,1,431,384
 349 - Govt: Girls H/S Jhal Magsi (Female),28.28697,67.45467,Female,Balochistan,0,3,0,1069
 350 - Govt: Boys M/S Jhal Magsi (Male-I),28.28697,67.4547,Male,Balochistan,3,0,846,0
 351 - Govt: Boys M/S Jhal Magsi (Male- II),28.28697,67.45473,Male,Balochistan,2,0,552,0
 347 - Govt: Boys H/S Jhal Magsi (Male),28.28783,67.45148,Male,Balochistan,4,0,1216,0
 352 - Govt: Boys P/S Hindu Mohalla Jhal Magsi (Female) New,28.28783,67.45151,Female,Balochistan,0,3,0,1093
 134 - Govt: M/S Karam Khan Umrani (Combined),28.28838,67.96591,Combined,Balochistan,2,1,548,489
 102 - Govt. P/S Muhammad Bakhsh Palyani(Female),28.2975,67.75156,Female,Balochistan,0,3,0,991
 138 - Govt: P/S Juma Khan Umrani Irrigation colony (Combined),28.29804,67.98952,Combined,Balochistan,2,1,536,340
 376 - Govt. Boys Primary School Matt Sindhurr (Female) (New),28.30109,67.5824,Female,Balochistan,0,2,0,544
 375 - Govt. Boys Primary School Matt Sindhurr (Male),28.30157,67.58483,Male,Balochistan,3,0,1041,0
 101 - Govt: P/S Sabz Alli Umrani (Male),28.31033,67.74366,Male,Balochistan,4,0,1449,0
 105 - Govt. P/S Muhammad Khan (Combined),28.31213,67.83146,Combined,Balochistan,2,2,799,551
 106 - B.H.U Faraz Abad (Noro) (Combined),28.31265,67.83159,Combined,Balochistan,1,1,157,192
 139 - Community Hall Essa Khan Paryani (Combined),28.315,67.96481,Combined,Balochistan,2,2,739,750
