PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 161 - Govt: Primary School Adam Banda(C ),33.28815,70.69998,Combined,KPK,3,1,1198,700
 160 - Govt:Middle School Mianji Khel(C ),33.31232,70.74561,Combined,KPK,2,1,843,476
 180 - Govt: Primary School No.3 Chapri Waziran(C ),33.3134,70.5915,Combined,KPK,3,1,1510,919
 158 - Govt:Primary School Qadri Banda No.1 (M ),33.31787,70.74329,Male,KPK,2,0,1322,0
 179 - Govt:High School Chapri Waziran (C ),33.32095,70.60539,Combined,KPK,2,1,727,384
 129 - Govt:Primary School Matu Khel(C ),33.3228,70.89536,Combined,KPK,1,1,273,227
 128 - Govt:High School Dershai (C ),33.3231,70.86834,Combined,KPK,2,2,1249,884
 159 - Govt:Primary School Qadri Banda No.2(F ),33.32314,70.73601,Female,KPK,0,2,0,1005
 176 - Govt:Primary School Muhammad zai Thall(C ),33.33047,70.5658,Combined,KPK,1,1,384,185
 157 - Govt Primary School Sheikh Wali( C),33.33392,70.68047,Combined,KPK,2,1,854,576
 156 - Govt:High School Ganderi(C),33.33989,70.68939,Combined,KPK,2,1,781,549
 155 - Govt:PrimarySchool Ganderi(C ),33.34391,70.6898,Combined,KPK,2,2,1138,775
 125 - Govt:Primary School No.2 Karbogha Sharif (C ),33.35127,70.77306,Combined,KPK,2,1,835,527
 124 - Govt. Primary School No.1 Karbogha Sharif (C),33.35152,70.77273,Combined,KPK,3,1,907,628
 126 - Govt:High School Karbogha Sharif(PS-1)(M ),33.35282,70.77639,Male,KPK,4,0,2373,0
 127 - Govt:High School Karbogha Sharif (PS-2)(F ),33.35282,70.77642,Female,KPK,0,3,0,1407
 152 - Govt:Girls Primary School Dallan(F),33.3596,70.64844,Female,KPK,0,2,0,1014
 151 - Govt:Primary School No.1 Dallan(M ),33.361,70.64926,Male,KPK,3,0,1433,0
 166 - Govt:Girls High School Thall (F),33.36206,70.54984,Female,KPK,0,3,0,1621
 169 - Govt:Girls Primary School No.2 Thall(F),33.36269,70.54667,Female,KPK,0,3,0,1593
 167 - Govt:Primary School No.2 Thall (M) PS-I,33.36291,70.54668,Male,KPK,2,0,936,0
 168 - Govt:Primary School No.2 Thall (M) PS-2,33.36291,70.54671,Male,KPK,2,0,1603,0
 154 - Govt: Girls High School Dallan(F),33.363,70.65534,Female,KPK,0,3,0,1698
 164 - Govt: Girls Primary School No.1 Thall(M),33.36304,70.55068,Male,KPK,2,0,1045,0
 165 - Govt:Primary School No.3 Thall (M),33.36393,70.55116,Male,KPK,2,0,1276,0
 153 - Govt:High School Dallan(M),33.36441,70.65089,Male,KPK,4,0,2341,0
 162 - Govt:High School Thall(M),33.36513,70.55589,Male,KPK,3,0,1548,0
 163 - Govt:Primary School No.1 Thall(F),33.36528,70.55637,Female,KPK,0,2,0,1208
