PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 201 - BHU Dara Pezu(F),32.31213073787078,70.73111963747478,Female,KPK,0,3,0,1308
 204 - Govt Girls Primary School Wanda Jugi (M),32.31334787831486,70.70702780705119,Male,KPK,3,0,529,0
 203 - Govt Primary School Wanda Jugi(M),32.314335829182575,70.70600597189377,Male,KPK,3,0,1119,0
 199 - Govt Girls Primary School DARA PEZU (M),32.31757544299377,70.7363890217011,Male,KPK,3,0,1227,0
 202 - Govt Middle School Wanda Jugi(F),32.31918814051068,70.7047895220464,Female,KPK,0,3,0,1194
 200 - Govt Primary School DARA PEZU NO.2 (M),32.31982911544877,70.7323887606046,Male,KPK,3,0,516,0
 198 - Govt High School Dara Pezu ©,32.321319777090324,70.73397195861655,Combined,KPK,2,1,393,357
 205 - Dak Bangla Dara Pezu ©,32.32236623928755,70.73551507269211,Combined,KPK,2,1,465,348
 196 - C&W Rest House Dara Pezu (M),32.3233474645951,70.73626959736144,Male,KPK,4,0,1211,0
 197 - Govt Girls Middle School Dara Pezu(F),32.32380887416254,70.73628180668754,Female,KPK,0,2,0,952
 207 - Govt Primary School NO.2 AGHZAR Khel (F),32.35788,70.81107,Female,KPK,0,2,0,868
 208 - Govt Primary School Sarga khero Khel©,32.35878670730807,70.79545794525951,Combined,KPK,2,2,569,473
 206 - Govt Primary School No.1 Aghzar Khel(M),32.36270044248979,70.81796099181224,Male,KPK,4,0,1187,0
 177 - Govt Primary School CHUHAR Khel NO.2 (M),32.38145749,70.85933149,Male,KPK,4,0,1740,0
 178 - Govt Primary School No.1 Chuhar Khel (F),32.382442651495595,70.8551622520506,Female,KPK,0,3,0,1474
 171 - Govt Primary School Alawal Khel ©,32.38312022,70.89856572,Combined,KPK,1,1,429,359
 176 - Govt High School Chuhar Khel ©,32.383939621768114,70.8484190647722,Combined,KPK,2,2,575,469
 246 - Govt Primary School No.1 Hayat Khel(F),32.3994544105163,70.77410611123611,Female,KPK,0,3,0,1174
 170 - Govt Primary School No.1 Abdul Khel (F),32.39987141251045,70.91291679953268,Female,KPK,0,3,0,1361
 245 - Govt Middle School Hayat Khel(M),32.400681626767074,70.77207537853701,Male,KPK,4,0,1342,0
 169 - Govt High School Abdul Khel (M),32.40198622,70.90812056,Male,KPK,4,0,1529,0
 215 - BHU Shahbaz Khel(M),32.402271362597894,70.7500131266448,Male,KPK,4,0,1173,0
 213 - Govt High School Shahbaz Khel (M)W/S,32.40234,70.741,Male,KPK,3,0,814,0
 214 - Govt High School Shahbaz Khel (F)E/S,32.40234078899988,70.74100929032878,Female,KPK,0,2,0,706
 210 - Govt Primary School SHAHBAZ Khel (F),32.40585242142801,70.74396215570124,Female,KPK,0,2,0,857
 211 - Govt Primary School No.1 Shahbaz Khel(M),32.40872,70.74542,Male,KPK,3,0,877,0
 212 - Govt Girls High School Shahbaz Khel W/side (F),32.40926536879826,70.74592383462382,Female,KPK,0,2,0,746
 209 - Govt Girls High School Shahbaz Khel E/side (M),32.40927109110298,70.7458113273676,Male,KPK,3,0,1020,0
 216 - Govt Girls Primary School Shahbaz Khel(F),32.40928,70.74519,Female,KPK,0,3,0,1005
 174 - Govt Primary School Samadar Titer Khel(M),32.41967335707772,70.80536525488897,Male,KPK,3,0,923,0
 172 - Govt High School Jhang Khel E/side (M),32.421168175844,70.88030446924324,Male,KPK,4,0,1387,0
 173 - Govt High School Jhang Khel W/side (F),32.421172420536145,70.88030750535792,Female,KPK,0,3,0,1210
 25 - Govt Primary School Shaikh Khula (C),32.424758834182526,71.01432792407606,Combined,KPK,2,2,618,447
 175 - Govt Middle School Samander Titer Khel (F),32.42745650713018,70.80390425372384,Female,KPK,0,2,0,773
 34 - Govt Primary School Shah Hasan Khel No.1 (M),32.432395635176825,70.9627638441645,Male,KPK,3,0,949,0
 217 - Govt Girls Primary School Zer Mala Khel©,32.436957139975014,70.7755405383108,Combined,KPK,2,1,411,320
 277 - Govt Primary School Nawaz Mala Khel©,32.44022,70.67369,Combined,KPK,1,1,296,282
 26 - Govt High School Ahmad Khel (M)S/s,32.44235433,70.96265472,Male,KPK,3,0,955,0
 27 - Govt High School Ahmad Khel (M)N/s,32.44241831069525,70.96260179463052,Male,KPK,3,0,1057,0
 241 - GHSS Masha Mansoor(M),32.4441795166116,70.79912505484143,Male,KPK,4,0,1288,0
 28 - Govt Girls Primary School Ahmad Khel (F),32.44469503,70.96936059,Female,KPK,0,3,0,954
 240 - Govt Primary School Umer Titer Khel©,32.44637512,70.76288288,Combined,KPK,2,2,749,572
 243 - GGH School Masha Mansoor(F),32.446924617209326,70.78496804586604,Female,KPK,0,3,0,1041
 33 - GMS Zarkhan Surband(C),32.44728,71.05836,Combined,KPK,2,2,800,740
 242 - Govt Girls Primary School MASHA MANSOOR NO.1(M),32.44801148,70.79323526,Male,KPK,3,0,885,0
 248 - Govt Primary School BADNI Khel(F),32.44886288614745,70.85847388438691,Female,KPK,0,3,0,1113
 24 - Govt Primary School kata Khel (C),32.44945175,70.97470081,Combined,KPK,2,2,709,682
 247 - Govt Middle School Badni Khel(M),32.4513450808342,70.86120495030644,Male,KPK,4,0,1142,0
 273 - Govt High School Tabbi Murad(M),32.45245047748709,70.73737823625929,Male,KPK,4,0,1503,0
 29 - GPS No.1 Doda (F),32.45319,70.91613,Female,KPK,0,3,0,744
 274 - Govt Girls Middle School Tabbi Murad (F),32.456807071406665,70.72286247470065,Female,KPK,0,3,0,1288
 275 - Govt Primary School No.2 Ghazi Khel(M),32.45717,70.6941,Male,KPK,3,0,1002,0
 276 - Govt Girls Primary School No.1 Ghazi Khel(F),32.458487965747146,70.69574178924441,Female,KPK,0,3,0,909
 236 - Govt Primary School No.1 Sheri Khel (M),32.47478620575766,70.6593025190584,Male,KPK,3,0,1033,0
 35 - Govt Primary School SHAH HASSAN Khel NO.2 (F),32.48291,70.89848,Female,KPK,0,3,0,894
 62 - Govt Primary School DAULAT Khel NO.1(M),32.48298342689184,70.96727688097815,Male,KPK,4,0,1317,0
 238 - Govt Primary School Langer Pacca (M),32.48341,70.70126,Male,KPK,3,0,1047,0
 239 - Govt Middle School Langer Khel Pacca(F),32.48534966717179,70.69877632133989,Female,KPK,0,3,0,909
