PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 171 - GGHS Dab Kor(Female),34.17775,71.41977,Female,FATA,0,2,0,1036
 170 - GHS Dab Kor(Male),34.17831,71.42239,Male,FATA,2,0,1092,0
 168 - GMS Rawal Kor(Male),34.19291,71.41792,Male,FATA,3,0,1341,0
 169 - GGPS Arshad Zeb Rawal Kor(Female),34.19433,71.42342,Female,FATA,0,3,0,1317
 177 - GMS Rahmat Said (Combined),34.1981,71.44846,Combined,FATA,3,1,1070,536
 167 - GHS Khatkai Sharif(Male),34.20537,71.41667,Male,FATA,4,0,1866,0
 164 - GGPS Mateen Kor(Male),34.20649,71.45959,Male,FATA,3,0,1169,0
 166 - GGMS Shalam Selai(Female),34.20962,71.44484,Female,FATA,0,2,0,980
 165 - GHS Shalam Selai(Male),34.20975,71.44426,Male,FATA,4,0,1600,0
 176 - BHU Aqrab Dab (Combined),34.21115,71.48223,Combined,FATA,2,1,1044,477
 178 - GMS Saparai (Combined),34.22509,71.3412,Combined,FATA,1,1,603,183
 162 - GGHS Ekka Ghund(Female),34.24093,71.49934,Female,FATA,0,2,0,834
 161 - Govt Technical College Ekka Ghund Polling Station No 1(Male),34.2419,71.50118,Male,FATA,4,0,1344,0
 163 - GGPS Major Hujam Kalai (Combined),34.2419,71.50121,Combined,FATA,2,1,861,571
 175 - Govt: Techincal College Ekka Ghund Polling Station No. 2 (Female),34.2419,71.50124,Female,FATA,0,2,0,640
 124 - GGPS Sher Ali Kalai Aqrab Dag Partially Improvised (Female),34.24871,71.50368,Female,FATA,0,3,0,1604
 123 - GPS Islam Gul Kalai Aqrab Dag Partially Improvised (Male),34.25193,71.5145,Male,FATA,3,0,1412,0
 77 - GHSS Ghallanai(Male),34.32054,71.41154,Male,FATA,4,0,1878,0
 78 - GMS Babi Khel Polling Station No 1(Male),34.32066,71.37404,Male,FATA,3,0,1466,0
 79 - GMS  Babi Khel Polling Station No 2 (Female),34.32066,71.37407,Female,FATA,0,2,0,858
 91 - GGPS Malik Haji Wazir Kalai(Male),34.32098,71.4082,Male,FATA,3,0,1247,0
 80 - GMS Koza Kadi Partially Improvised(Female),34.32564,71.39752,Female,FATA,0,2,0,1211
 82 - GHS Haji Yar Jan (Combined),34.33762,71.37317,Combined,FATA,2,1,857,557
 125 - GPS Taj Muhammad(Male),34.33844,71.39776,Male,FATA,3,0,1389,0
 81 - GMS Akhunzadgan (Combined),34.34295,71.38405,Combined,FATA,2,2,1239,721
 84 - GGMS Umat Khan Partially Improvised  (Male),34.35086,71.39436,Male,FATA,4,0,2086,0
 121 - GGPS krapa Malik Qadry (Female),34.35335,71.4386,Female,FATA,0,2,0,994
 188 - GPS Khadi Kas Jawar Shah (Combined),34.35754,71.61208,Combined,FATA,2,1,867,549
 86 - GGMS Malik Abdul Hassan (Combined),34.36036,71.39968,Combined,FATA,2,1,810,409
 187 - GHS Sra Shah(Combined),34.36138,71.62714,Combined,FATA,2,1,787,551
 93 - GMS Mian Mandi Polling Station No 1 (Male),34.36464,71.3539,Male,FATA,3,0,1211,0
 94 - GMS Mian Mandi Polling Station No 2 (Male),34.36464,71.35393,Male,FATA,3,0,1447,0
