PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 101 - Govt: Primary School NO-1 Biland Khel  (Combined),33.31591,70.54527,Combined,FATA,2,1,844,257
 124 - Govt: High School Jalaka Mela  (Combined),33.31591,70.5453,Combined,FATA,2,2,647,601
 100 - Govt: High School Biland Khel  (Combined),33.31829,70.54388,Combined,FATA,2,1,711,277
 123 - Govt: Girls High School Mir Bak  (Combined),33.31829,70.54391,Combined,FATA,1,1,463,414
 122 - Govt: Girls Primary School   Kari Taal  (Combined),33.32082,70.53797,Combined,FATA,2,1,536,360
 99 - Govt: Primary School No.2 Biland Khel  (Combined),33.32082,70.538,Combined,FATA,2,1,659,222
 16 - PS No. 2 Office Of the AD Live Stock Orakzai At Hangu (Combined),33.54991,71.11197,Combined,FATA,2,2,902,786
 24 - PS No.5 Office of the Agency Surgeon Orakzai at Hangu (Combined),33.54991,71.112,Combined,FATA,2,2,795,601
 17 - PS No. 3 Office of the AD Live Stock Orakzai at Hangu (Combined),33.54991,71.11203,Combined,FATA,2,2,1125,833
 34 - Govt: Primary School Oot Mela (Combined),33.54991,71.11206,Combined,FATA,2,2,582,469
 18 - PS No. 1 Office of the Divisional Forest Officer Orakzai at Hangu (Combined),33.54991,71.11209,Combined,FATA,2,2,941,776
 39 - Govt: Primary School Nari Garhi (Combined)  (Improvised),33.54991,71.11212,Combined,FATA,1,1,211,162
 20 - PS No. 1  Office of the Agency Surgeon Orakzai at Hangu (Combined),33.54991,71.11215,Combined,FATA,2,2,1040,814
 41 - Govt: Primary School  Oonray (Combined),33.54991,71.11218,Combined,FATA,1,1,168,88
 19 - PS No.2 Office of the Divisional Forest Officer- Orakzai at Hangu (Combined),33.5508,71.11246,Combined,FATA,2,2,968,694
 40 - Govt: Primary School Badan (Combined)  (Improvised),33.5508,71.11249,Combined,FATA,2,2,823,581
 6 - PS No.1 Working Folks Grammer School & College Jarma Kohat (Girls Section) (Combined),33.5514,71.1178,Combined,FATA,2,2,1111,711
 9 - PS No.4  Working Folks Grammer School & College Jarma Kohat (Girls Section) (Combined),33.5514,71.11783,Combined,FATA,2,2,987,595
 7 - PS No.2 Working Folks Grammer School & College Jarma Kohat (Girls Section) (Combined),33.5514,71.11786,Combined,FATA,2,2,855,703
 8 - PS No.3  Working Folks Grammer School & College Jarma Kohat (Gilrs Section) (Combined),33.5514,71.11789,Combined,FATA,2,2,1242,848
 10 - PS No.5 Working Folks Grammer School & College Jarma Kohat (Gilrs Section) (Combined),33.5514,71.11792,Combined,FATA,2,2,757,601
 9 - PS No.4  Working Folks Grammer School & College Jarma Kohat (Girls Section) (Combined),33.5514,71.11795,Combined,FATA,2,2,987,595
