PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 136 - GMS Old Sarwekai (Combined),32.24425875,69.87533739,Combined,FATA,2,2,1417,1408
 135 - BHU Bangeshwala (Female),32.24958684,69.84265697,Female,FATA,0,4,0,2284
 134 - GHS Shahoor (High Section) (Male),32.30746448,69.94781616,Male,FATA,3,0,1305,0
 132 - GPS Rafi Ullah Kot (Iral Khel) (Combined),32.31433216,69.96638115,Combined,FATA,2,2,1190,985
 133 - GHS Shahoor (Middle Section) (Male),32.31433216,69.96641115,Male,FATA,4,0,1653,0
 127 - GHS Chagmalai (Middle Section) (Male),32.32209029,70.06082105,Male,FATA,4,0,1971,0
 128 - GHS Chagmalai (High Section) (Male),32.32209029,70.06085105,Male,FATA,2,0,617,0
 126 - GGMS Spin Kai (Female),32.35130869,69.85120921,Female,FATA,0,2,0,1191
 125 - GHS Spin Kai (Male),32.35881855,69.84302642,Male,FATA,3,0,1382,0
 71 - GGMS Simon Abad (Combined),32.37299777,70.10816354,Combined,FATA,2,1,737,586
 73 - GPS Noi Kach (Combined),32.3839336,70.06453778,Combined,FATA,2,1,712,504
 131 - GMS Upper Siplatoi (Combined),32.38832,69.95866,Combined,FATA,1,1,365,301
 124 - GGMS Nano (Combined),32.38881916,69.83936619,Combined,FATA,2,2,1029,824
 130 - GPS Shawal Razin (Combined) (Improvised),32.39061,69.92817,Combined,FATA,1,1,457,392
 72 - GPS MurghiBand (Combined),32.40247994,70.05577228,Combined,FATA,2,1,454,317
 76 - GHS Kot Kai (High Section) (Male),32.40972302,70.04671788,Male,FATA,3,0,1315,0
 77 - GGPS Anwar Kot (Female),32.41005755,70.04865448,Female,FATA,0,4,0,2526
 74 - GPS MeziWam (Combined),32.41706759,70.03316029,Combined,FATA,1,1,213,114
 103 - GGPS Muhammad Khalid Kot Kachara Faridai (Combined),32.42503,69.90479,Combined,FATA,2,1,748,634
 101 - GPS Imar Raghzai (Combined),32.43494295,69.95684161,Combined,FATA,2,1,980,716
 100 - GPS Enzar (Combined),32.43921342,70.01296998,Combined,FATA,2,1,679,601
 108 - GHS Ahmad Wam (Garrerai) (Combined),32.44589439,69.90676979,Combined,FATA,1,1,143,102
 102 - GPS Sherwangai (Combined),32.45198,69.96172,Combined,FATA,1,1,382,321
 41 - GMS Amazarai (Combined),32.46421,69.89657,Combined,FATA,1,1,280,200
 78 - GMS Ganrra Haibat Khel (Combined),32.4656596,70.03715095,Combined,FATA,2,2,998,825
 123 - GPS Nanak Raghzai (Female),32.46609,69.82058,Female,FATA,0,2,0,1151
 79 - GPS Arny Tangi (Combined),32.47366307,70.03275013,Combined,FATA,1,1,363,330
 104 - GGPS Murad Ali Kot (Dila Shinkai) (Combined),32.47656425,69.88074744,Combined,FATA,2,1,722,482
 105 - GHS Shinkai (Middle Section) (Combined),32.47985756,69.87091975,Combined,FATA,2,1,397,259
 106 - GHS Shinkai (High Section) (Combined),32.47985756,69.87094975,Combined,FATA,2,1,674,561
 110 - GMS Wacha Khurra (Combined),32.48655736,69.95868969,Combined,FATA,2,1,894,770
 122 - GPS Taghi Kai (Male),32.48706,69.81634,Male,FATA,3,0,1341,0
 99 - GPS Wajmin Kot (Combined),32.49534818,69.99848271,Combined,FATA,2,1,952,815
 40 - BHU Momi Karram (Combined),32.49647,69.74519,Combined,FATA,1,1,530,447
 39 - GMS Baddar Chalweshtai (Improvised) (Combined),32.49815,69.74677,Combined,FATA,1,1,628,507
 112 - GPS Walma Langer Khel (Combined),32.49889754,69.922745,Combined,FATA,2,1,580,480
 42 - GHS Karrama (Combined),32.5072,69.83978,Combined,FATA,2,1,965,860
 67 - GHS Kanigurram (Male),32.50829,69.76923,Male,FATA,4,0,2024,0
 37 - GMS Malik Mela (Combined),32.51115,69.84348,Combined,FATA,2,1,935,801
 68 - GGPS Farooq Shah Kot (Male),32.51486,69.79716,Male,FATA,4,0,2191,0
 111 - GGPS Painda Jan Kot (Combined),32.51604,69.94461,Combined,FATA,1,1,226,175
 80 - Civil Hospital Sararogha (Combined),32.51676466,70.02372913,Combined,FATA,2,1,872,951
 82 - GHS Sararogha (Combined),32.51744683,70.02433797,Combined,FATA,2,2,1191,1005
 116 - GMS Sina Tizha (Improvised) (Male),32.51949,69.70552,Male,FATA,4,0,2172,0
 117 - GGPS Sina Tizha (Improvised) (Female),32.51974,69.67027,Female,FATA,0,2,0,1913
 70 - GMS Janat Mir Kot Kanigurram (Female),32.52048,69.79124,Female,FATA,0,3,0,2037
 69 - CHC Salah Ud Din Kot (Female),32.52095,69.77997,Female,FATA,0,3,0,1893
 113 - GMS Poi Khel (Combined),32.52130874,69.91287895,Combined,FATA,2,1,780,596
 35 - GPS Taparghai (Combined),32.52299,69.80699,Combined,FATA,1,1,285,255
 81 - GPS Ghafar Kot (Combined),32.52301,70.03061,Combined,FATA,2,1,680,632
 32 - Army Public School Kanigurram (SAM) (Combined),32.52589,69.80125,Combined,FATA,2,1,651,546
 118 - GMS Khawazha Mir Kot (Male),32.52714,69.73334,Male,FATA,3,0,1319,0
 31 - GGPS Kacha Langer Khel (Combined),32.52793,69.81308,Combined,FATA,1,1,539,459
 119 - GPS Trikh Kunr (Female),32.5298,69.73859,Female,FATA,0,2,0,1167
 38 - GPS Murdar Algad (Combined),32.53487,69.77757,Combined,FATA,3,1,870,755
 121 - GGPS Wukum Jan Kot Badar Painda Khel (Improvised) (Combined),32.53974,69.66505,Combined,FATA,3,1,1326,1045
 84 - GMS Bangewala (Combined),32.5401551,69.99263985,Combined,FATA,2,1,805,635
 83 - GGPS Ahmad Wam Kot Abdul Qayum (Combined),32.5401734,70.01015443,Combined,FATA,2,1,797,652
 98 - GPS Kar Kanray (Combined),32.54763,70.04408,Combined,FATA,1,1,178,140
 34 - GMS Bader Bridge No. 2 (Combined),32.5548,69.82406,Combined,FATA,2,1,633,553
 88 - GPS Shabozai (Combined),32.56244389,69.95171348,Combined,FATA,1,1,594,458
 29 - GHS Ladha (Combined),32.56665,69.82945,Combined,FATA,2,1,875,866
 36 - GGPS Dost Ali Kot Mantoi (Combined),32.56778,69.60355,Combined,FATA,1,1,396,314
 28 - GMS Patvelai (Combined),32.57271,69.79314,Combined,FATA,3,1,1032,974
 25 - GMS Tattai (Combined),32.57928,69.83026,Combined,FATA,1,1,285,238
 91 - GGPS Sade Kot Baror Badewai (Male),32.57966,70.005,Male,FATA,3,0,1158,0
 24 - GGPS Sultana Ladha (Combined),32.58018,69.82345,Combined,FATA,2,1,984,875
 90 - GGPS Shamai Kot Mira Galleshai (Combined),32.58034,69.91962,Combined,FATA,2,1,864,667
 26 - GGMS Kot Langer Khel (Combined),32.58387,69.81464,Combined,FATA,2,1,704,651
 92 - GPS Shozai Band Khel (Female),32.58513655,70.00345663,Female,FATA,0,2,0,1006
 89 - GMS Janjal (Combined),32.58625,69.94426,Combined,FATA,2,1,816,702
 57 - GMS Dawatoi Zawar Kalay (Primary Section) (Combined),32.58853,69.89565,Combined,FATA,1,2,180,1138
 58 - GMS Dawatoi Zawar Kalay (Middle Section) (Male),32.58853,69.89568,Male,FATA,3,0,1051,0
 97 - GMS Shakari (Combined),32.58926,70.05437,Combined,FATA,3,1,1087,928
 23 - GPS Ghowak (Combined),32.59121,69.80161,Combined,FATA,2,1,741,703
 56 - GPS Shakha (Combined),32.59176,69.88566,Combined,FATA,1,1,380,316
 21 - GMS Tangi Badinzai (Middle Section) (Male),32.59611,69.78111,Male,FATA,4,0,1906,0
 22 - GMS Tangi Badinzai (Primary Section) (Female),32.59611,69.78114,Female,FATA,0,2,0,1793
 87 - GGPS Nabi Khan Kot (Improvised) (Combined),32.59657556,69.94929213,Combined,FATA,2,1,634,531
 93 - GHS Janatta (Middle Section) (Combined),32.60682375,70.00402699,Combined,FATA,2,1,907,894
 94 - GHS Janatta (High Section) (Combined),32.60682375,70.00405699,Combined,FATA,2,1,603,547
 53 - GPS Bazai Shabi Khel (Combined),32.60822,69.85739,Combined,FATA,1,1,412,323
 55 - GGPS Ahmad Shah Kot Marobi (Combined),32.60851,69.86048,Combined,FATA,1,1,477,390
 95 - GGPS Marki Khel (Combined),32.61516341,70.01367852,Combined,FATA,2,1,720,597
 13 - GGPS Azizullah Kot (Combined),32.62008,69.81711,Combined,FATA,2,1,863,804
 17 - BHU Yaghistan Kot Makin (Combined),32.62096,69.84243,Combined,FATA,2,1,877,688
 7 - GPS Bahadar Khel Makin (Combined),32.62215,69.84335,Combined,FATA,1,1,411,233
 15 - GGPS Mir Hussain Kot Makin (Combined),32.6224,69.83824,Combined,FATA,2,1,771,762
