PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 362 - GIRLS PRIMARY SCHOOL KOTE WALI (NAKKA AFGHANAN) (FEMALE)(P),33.16641,71.88152,Female,Punjab,0,3,0,893
 382 - GIRLS ELEMENTARY SCHOOL TOREWALI (COMBINED)(P),33.28056,71.86259,Combined,Punjab,2,2,633,636
 239 - GOVT GIRLS HIGH SCHOOL CHAPRI BORHAL (COMBINED)(P),33.40292,71.99918,Combined,Punjab,2,1,483,484
 231 - OGDCL DISPENSARY BELA (COMBINED)(P),33.41199,71.89209,Combined,Punjab,2,2,765,668
 198 - Govt. Boys High School NO 2 JAND (FEMALE) (T),33.42726,72.0199,Female,Punjab,0,4,0,1570
 199 - Govt. Boys High School NO 2 JAND (FEMALE) (T),33.42726,72.01993,Female,Punjab,0,3,0,844
 219 - GOVT BOYS  PRIMARY SCHOOL DHAK (COMBINED)(P),33.45328,72.0822,Combined,Punjab,2,2,743,681
 305 - GOVT BOYS ELEMENTARY SCHOOL AURANGABAD (COMBINED)(P),33.46922,72.12167,Combined,Punjab,2,1,425,396
 312 - GOVT GIRLS MODEL PRIMARY SCHOOL DARA KHANI (GIRLS PORTION)(MALE)(P),33.51015,72.27041,Combined,Punjab,2,1,580,507
 313 - GOVT GIRLS HIGH SCHOOL MITHIAL (MALE)(T),33.52169821128271,72.24284954003949,Male,Punjab,2,0,663,0
 467 - GOVERNMENT GIRLS PRIMARY SCHOOL GAGGAN (COMBINED) (P),33.53312,72.48824,Combined,Punjab,2,2,763,667
 468 - GOVERNMENT GIRLS PRIMARY SCHOOL NAWAN GIRAN (COMBINED) (P),33.54969,72.4846,Combined,Punjab,2,1,500,378
 327 - GOVT BOYS ELEMENTARY SCHOOL  RATTI KASSI (COMBINED) (P),33.55417,72.38677,Combined,Punjab,2,2,689,595
 576 - GOVT GIRLS HIGH SCHOOL THATTA(combined),33.57425,72.22546,Combined,Punjab,2,1,488,377
 435 - GOVERNMENT BOYS PRIMARY SCHOOL AJUWALA (COMBINED) (P),33.59591976970882,72.60362915448356,Combined,Punjab,2,1,541,482
 325 - BOYS HIGH SCHOOL BHATIOT (COMBINED) (P),33.608185035706796,72.3692676909002,Combined,Punjab,2,2,667,600
 326 - BOYS HIGH SCHOOL BHATIOT (COMBINED) (P),33.608185035706796,72.3692976909002,Combined,Punjab,2,2,714,608
 260 - GOVT GIRLS PRIMARY SCHOOL NO 1 NARA (COMBINED) (P),33.63803,72.05447,Female,Punjab,0,3,0,1006
 317 - GOVT GIRLS ELEMENTARY SCHOOL GHARBI BASAL (MALE)(P),33.7618672,72.3609521,Male,Punjab,4,0,1253,0
 318 - GOVT GIRLS ELEMENTARY SCHOOL GHARBI BASAL (MALE)(P),33.7618672,72.3609821,Male,Punjab,4,0,1375,0
 457 - GOVERNMENT GIRLS ELEMENTARY SCHOOL TAJA BARA (COMBINED)(P),33.7619338,72.3608481,Combined,Punjab,2,2,897,713
