PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 273 - Tentage at Govt. Boys Primary School Sultanabad - Sargodha (Male),32.03494,72.68997,Male,Punjab,2,0,929,0
 274 - Government Girls  Primary School Liaquat Colony (Female)  (T),32.03708,72.68684,Female,Punjab,0,2,0,837
 253 - Government Primary School BISE- Sargodha  (Female) (T),32.041238101912455,72.68232827532908,Female,Punjab,0,3,0,1457
 250 - National Girls Higher Secondary School inside PAF Base (Male)(T),32.04714261053871,72.68496287062979,Male,Punjab,1,0,424,0
 251 - National Girls Higher Secondary School inside PAF Base (T)(Female),32.04716910556408,72.68495733930436,Female,Punjab,0,1,0,327
 34 - Government Boys Primary School  Dera Sanjhan Singh near Pacca Dera ( Male) (T),32.060386785761274,72.6436487009164,Male,Punjab,3,0,1487,0
 35 - Government Girls Primary School Pacca Dera (Female) (T),32.06213410113479,72.64388797228995,Female,Punjab,0,2,0,1209
 196 - Tentage at Canal Park  (combined)  (T),32.06377362486021,72.69970508412034,Combined,Punjab,2,2,720,693
 5 - Government Girls High School Istaqalabad (East)  (Male),32.067361280525866,72.64469546291323,Male,Punjab,3,0,1639,0
 6 - Government Girls High School Istaqalabad (West ) (Female),32.06738361221535,72.64470026003185,Female,Punjab,0,3,0,1292
 8 - Government Girls High  School Istaqlabad (South) (Female),32.06738625205949,72.64465393182664,Female,Punjab,0,2,0,1089
 7 - Government Girls High School Istaqlabad (North)  (Male),32.067386927965416,72.64469927884986,Male,Punjab,3,0,1296,0
 1 - Governemnt Model Primary School Istaqalabad   (Male),32.069759583535394,72.64287461952628,Male,Punjab,3,0,1539,0
 2 - (1) Governemnt Model Primary School Istaqalabad   (Male),32.069759583535394,72.6429046195263,Male,Punjab,3,0,1222,0
 3 - (2) Government model Primary School Istaqalalbad (Female),32.069759583535394,72.6429346195263,Female,Punjab,0,2,0,1055
 80 - Government Post Graduate College For Women (Psychology Department)  (Male),32.06993,72.64826,Male,Punjab,2,0,1002,0
 81 - Government Post Graduate College For Women (Ayesha Block)  (Female),32.06993,72.64829,Female,Punjab,0,2,0,924
 4 - Government model Primary School Istaqalalbad (Female),32.06997804797792,72.64312929662016,Female,Punjab,0,3,0,1284
 17 - Government Technical Training College Sillanwali Road Sargodha (Female) West (P),32.07312027159446,72.64684064137397,Female,Punjab,0,2,0,1144
 16 - Government Technical Training College Sillanwali Road Sargodha (East) Male P,32.07312322942125,72.64687390188402,Male,Punjab,3,0,1331,0
 244 - Govt. College of Technology- PAF Road- Sargodha  (Male)  (P),32.0737283,72.6845509,Male,Punjab,3,0,1312,0
 245 - Govt. College of Technology- PAF Road- Sargodha (?Female)  (P),32.0737283,72.6845809,Female,Punjab,0,3,0,1258
 252 - Board of Intermediate & Secondary Education Sargodha  East   (Male)   (T),32.0737283,72.6846109,Male,Punjab,3,0,1680,0
 254 - Government Girls Elementary  School Noor Colony  (Male)  (P),32.0737283,72.6846409,Male,Punjab,4,0,1908,0
 255 - Government Girls Elementary  School Noor Colony (Female) (P),32.0737283,72.6846709,Female,Punjab,0,4,0,1797
 268 - Government Boys Elementary School Chak No.49 N.B.  (Male)  (T),32.0737283,72.6847009,Male,Punjab,2,0,1066,0
 269 - (248) Government Boys Elementary School Chak No.49 N.B.  (Male)  (T),32.0737283,72.6847309,Male,Punjab,2,0,976,0
 270 - Government Boys Elementary School Chak No.49 N.B. (Female) (T),32.0737283,72.6847609,Female,Punjab,0,4,0,1836
 271 - Government  Boys High School Sultanabad  (Male)  (P),32.0737283,72.6847909,Male,Punjab,3,0,1536,0
 272 - Government  Boys High School Sultanabad (Female) (P),32.0737283,72.6848209,Female,Punjab,0,3,0,1380
 275 - Government Girls High School Chak No.49 N.B.  East  (Male)   (P),32.0737283,72.6848509,Male,Punjab,2,0,1106,0
 276 - Government Girls High School Chak No.49 N.B.  East  (Male)   (P),32.0737283,72.6848809,Male,Punjab,3,0,1233,0
 277 - Government Girls High School Chak No.49 N.B.  West (Female (P),32.0737283,72.6849109,Female,Punjab,0,4,0,1937
 279 - Government Girls High  School Chak No.48 N.B.  (Female)  (P),32.0737283,72.6849409,Female,Punjab,0,4,0,1829
 185 - Office of Civil Defence Building  (Female) (T)),32.074564,72.6538971,Female,Punjab,0,2,0,699
 190 - Government Comp High School- Sargodha   (Male)  (P),32.074564,72.6539271,Male,Punjab,2,0,938,0
 191 - Municipal Corporation  Boys High School Block A S/Town (West ) (Female) (P),32.074564,72.6539571,Female,Punjab,0,2,0,855
 192 - Government Girls  High  School Shamsher Town (East)  (Male)   (P),32.074564,72.6539871,Male,Punjab,2,0,1212,0
 193 - Government Girls High  School Shamsher Town (West) Female (P),32.074564,72.6540171,Female,Punjab,0,3,0,1244
 197 - office of the Deputy Director Fisheries Department- Sargodha (Female) (T),32.074564,72.6540471,Combined,Punjab,1,1,589,559
 202 - Government Girls Elementary School Jinnah Colony (Female)  (T),32.074564,72.6540771,Female,Punjab,0,3,0,1455
 203 - (185) Government Girls Elementary School Jinnah Colony (Female)  (T),32.074564,72.6541071,Female,Punjab,0,2,0,935
 204 - Muncipal Corporation Girls Primary School Jinnah Colony (Female) (T),32.074564,72.6541371,Female,Punjab,0,4,0,1709
 205 - Government Girls High School Block W New Satellite Town  Male   (P),32.074564,72.6541671,Male,Punjab,2,0,928,0
 206 - Government Girls High School Block W New Satellite Town   Male  (P),32.074564,72.6541971,Male,Punjab,3,0,1607,0
 207 - Punjab High School New Satellite Town (Female) (T),32.074564,72.6542271,Female,Punjab,0,2,0,1060
 208 - Punjab High School New Satellite Town (Female) (T),32.074564,72.6542571,Female,Punjab,0,2,0,1086
