StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
211,GMS  Dunkacha Makhuzi (Combined) (T)**,12.56103,27.76648,Combined,KPK,1,1,815,583
212,GGPS Samil Khel,12.56103,27.76651,Combined,KPK,1,1,394,293
258,GPS Dewal Kamach(Combined) (T)*,34.47869,72.7431,Combined,KPK,2,1,743,460
259,GGPS Dedal (Combined) (T)**,34.55737,72.79138,Combined,KPK,1,1,986,794
256,GHS  Kamach (Combined) (T)**,34.56176,72.80551,Combined,KPK,1,1,848,584
257,GPS  Kharaway (Combined),34.56403,72.73276,Combined,KPK,1,1,353,276
252,BHU Bhair Kamach (Combined) (T)**,34.5738,72.80875,Combined,KPK,1,1,613,499
196,GMS Kotkey (Male) (T)**,34.58126,72.75034,Male,KPK,2,0,1318,0
254,GMS  28-Kotkay (Combined) (T)**,34.58129,72.75069,Combined,KPK,2,1,1294,1009
255,GPS  Bhair Kamach (combined) (T)**,34.58675,72.80217,Combined,KPK,2,1,1108,824
253,GMS  Nakhtar (Combined)(T)**,34.60083,72.75048,Combined,KPK,2,1,1018,881
236,GPS Dankool (Combined) (T)**,34.6105,72.74039,Combined,KPK,2,1,1223,1014
234,GPS Titwalan old building (Combined) (T),34.62002,72.72411,Combined,KPK,2,1,902,758
235,GMS Tirawray (Combined) (T)**,34.62157,72.70184,Combined,KPK,2,1,983,822
232,GPS Bahar (Combined) (T)**,34.62291391527148,72.77621276714156,Combined,KPK,3,2,1036,748
243,GPS  Choranay (Combined) (T)**,34.62914,72.75588,Combined,KPK,1,1,730,546
241,GPS Pishkand  (Combined) (T)**,34.63131,72.72075,Combined,KPK,1,1,555,436
239,GHS  Pishlor PS No.1 (Combined) (T)**,34.64841,72.71437,Combined,KPK,2,1,710,587
240,GHS Pishlor PS no.2,34.64841,72.7144,Combined,KPK,1,1,701,574
246,GPS Kabal Gram (Combined) (T)**,34.6501,72.79709,Combined,KPK,1,1,1132,600
244,GHS Kabal Gram PS 1 (Combined) (T)**,34.65075,72.79702,Combined,KPK,2,1,949,484
245,Government High School Kabalgram PS NO.2,34.65075,72.79705,Combined,KPK,2,1,705,396
228,GPS   Khonan (Combined) (T)**,34.65844,72.59058,Combined,KPK,1,1,354,264
227,GPS Bostanai Banda (Combined) (T)**,34.66045,72.6319,Combined,KPK,1,1,622,481
206,GPS Baina (Combined) (T)**,34.66154,72.64357,Combined,KPK,2,1,970,753
237,GMS  Alami Banda (Combined) (T)**,34.66503,72.747,Combined,KPK,2,1,1055,750
225,GHS Shikolai PS No. 1 (Combined) (T)**,34.6757,72.61792,Combined,KPK,1,1,494,409
226,GHS Shikowlai PS No.2,34.6757,72.61795,Combined,KPK,1,1,990,769
247,GGMS Martung (Male) (T)**,34.67807,72.7436,Male,KPK,3,0,2016,0
