PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 111 - Govt. Boys Primary School Wallay Wali (Combined),30.72795703933017,72.81620618522442,Combined,Punjab,2,1,626,464
 112 - Govt Boys Primary School Hakim Kay Kathia (Combined),30.734613436000622,72.88079793185621,Combined,Punjab,1,1,246,155
 109 - Govt. Girls Primary School Alam Shah Taja (Combined),30.739126425814966,72.86368727732294,Combined,Punjab,1,1,564,388
 110 - Govt.Boys Primary School Abu Wehniwal (Combined),30.740100441050203,72.86178900143112,Combined,Punjab,1,1,612,354
 135 - Govt Boys Primary School Chak No 53/3 Tukra Drabar Salah u Din (Female),30.756773926577377,72.87104797119547,Female,Punjab,0,2,0,771
 134 - Govt Boys primary School Chak No. 53/3 Tukra Drabar Salah u Din (Male),30.756777079376658,72.87104880050272,Male,Punjab,2,0,1120,0
 136 - Govt. Boys Primary School 53/4 Tukra Basti Gribabad (Combined),30.773123334463293,72.9121525743715,Combined,Punjab,1,1,567,435
 140 - Govt. Boys High School Chak No. 53/2  Tukra (Combined),30.773367638154642,72.89599090634609,Combined,Punjab,1,1,398,260
 138 - Govt. Girls Elementay School Chak No. 53/1 Tukra (Male),30.789939742871745,72.89235250077239,Male,Punjab,3,0,1326,0
 139 - Govt Boys Primary School Chak No. 53/1 Tukra (Female),30.790000197051786,72.89154357760927,Female,Punjab,0,2,0,937
 108 - Govt Boys Primary School Jalli Tarhana (Combined),30.791244746890136,72.96238109308652,Combined,Punjab,2,1,971,551
 122 - Govt. Girls Primary School Chak No. 555 GB (Combined),30.795594244268337,72.87076120180362,Combined,Punjab,1,1,816,588
 175 - Government Boys Primary School- Mouza Shadi sadat (Combined),30.795725876988264,72.87067574869378,Combined,Punjab,1,1,471,327
 137 - Govt. Boys Primary School 53/5 Tukra Hafiz Inyat Wilayat (Combined),30.8054698156933,72.9514914845197,Combined,Punjab,2,1,1027,620
 121 - Govt. Boys Primary School Chak No. 555 GB (Combined),30.811925257278666,72.85883734606061,Combined,Punjab,2,1,714,569
 130 - Govt. Girls Elementay School Chak No. 548  GB (Female),30.815832104681704,72.88965318685908,Female,Punjab,0,2,0,705
 131 - Govt. Boys Primary School Chak No. 548 GB (Combined),30.815872275274014,72.88960833884194,Combined,Punjab,2,1,778,566
 129 - Govt. Girls Elementary School Chak No. 548 GB (Male),30.816280418313113,72.8893372263831,Male,Punjab,2,0,933,0
 106 - Govt. Boys primary School Jalli Fatiana (Male),30.816438425665545,72.99611434575964,Male,Punjab,2,0,838,0
 115 - Govt. Girls Primary School Ahmad ka khoo Killianwala (Combined),30.817250060658257,72.92700601079162,Combined,Punjab,2,2,769,635
 107 - Govt. Girls Primary School Jalli Fatiana (Female),30.818352594667218,72.99586917792878,Female,Punjab,0,2,0,674
 105 - Basic Health Unit Jalli Fatiana (Combined),30.819867383181915,73.00572212337084,Combined,Punjab,2,1,714,472
 114 - Basic Health Unit Killianwala (Female),30.82296586173483,72.91953724453569,Female,Punjab,0,2,0,562
 113 - Basic Health Unit Killianwala (Male),30.822982254016086,72.91954561310756,Male,Punjab,2,0,837,0
 186 - Government  Boys Primary School Chak No.622/GB (Combined)  ( P ),30.824608477036804,73.02893652732678,Combined,Punjab,2,2,890,593
 116 - Govt. Boys High School Killianwala (Male),30.825837161853315,72.92489811519339,Male,Punjab,3,0,1591,0
 176 - Government  Boys Primary School Chak No.623/GB (Combined) ( P ),30.828895682335716,73.01336975003807,Combined,Punjab,2,1,715,488
 117 - Govt. Girls Elementary School Killianwala (Female),30.829135907926343,72.92645334953083,Female,Punjab,0,2,0,1139
 123 - Govt. Boys High School Chak No. 550 GB (Male),30.831850980268293,72.87779242668087,Male,Punjab,3,0,1398,0
 125 - Govt. Boys High School Chak No 550 GB (Combined),30.83188861972174,72.87777410649079,Combined,Punjab,2,1,651,432
 124 - Govt. Girls High School Chak No. 550 GB (Female),30.834103096813745,72.87683540996912,Female,Punjab,0,2,0,1103
 184 - Government  Boys Elementary School Chak No.621/GB    (Male)  ( P ),30.83822245446251,73.05293172405818,Male,Punjab,2,0,1109,0
 190 - Basic Health Unit- Thatha Doka (Combined)  ( P ),30.83822245446251,73.0529617240582,Combined,Punjab,2,1,747,554
 127 - Govt. Boys Elementary School Chak No. 547 GB (Male),30.838239874721836,72.91431879701425,Male,Punjab,2,0,1001,0
 128 - Govt. Girls Primary School Chak No. 547 GB (Female),30.838239874721836,72.9143487970142,Female,Punjab,0,2,0,653
 126 - Govt. Boys Primary School Chak No 553 GB (Combined),30.841306572985452,72.85688297534634,Combined,Punjab,1,1,695,459
 174 - Government Boys Primary School- Chak No.620/GB (Combined),30.842249105604626,72.99530121050634,Combined,Punjab,2,2,1266,907
 167 - Government  Boys Primary School Ahata Hamyoun (Combined)  (P),30.84668588644769,73.00351130489702,Combined,Punjab,1,1,560,514
 169 - Government Boys Primary Thatha Bakha Garh (Male) ( P ),30.84668588644769,73.003541304897,Male,Punjab,2,0,774,0
 170 - Government Boys Primary Thatha Bakha Garh  (Female) ( P ),30.84668588644769,73.003571304897,Female,Punjab,0,2,0,661
 185 - Government  Girls Elementary School Chak No.621/GB (Female)  ( P ),30.84691,73.04463,Female,Punjab,0,2,0,806
