PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 204 - Govt.Girls Primary School- Chak No.129/GB- Faisalabad (Combined),31.18977,73.09595,Combined,Punjab,2,2,1009,724
 198 - Govt.Boys Primary School- Chak No.86/GB- Faisalabad (Combined),31.24039,73.07391,Combined,Punjab,2,1,708,534
 189 - Govt.Boys Primary School-Chak No.84/GB- Faisalabad (Male) Fouj Pur,31.24467,73.11339,Male,Punjab,2,0,1054,0
 190 - Govt.Boys Primary School-Chak No.84/GB- Faisalabad (Female) Fouj pur,31.24467,73.11342,Female,Punjab,0,2,0,848
 186 - Govt.Girls Elementary School- Chak No.82/GB- Faisalabad(Male) kot garaya,31.26262,73.14363,Male,Punjab,3,0,1378,0
 187 - Govt.Girls Primary School- Chak No.82/GB- Faisalabad (Female) kot  garaya,31.26262,73.14366,Female,Punjab,0,2,0,1017
 196 - Govt.Boys Primary School-Chak No.85/GB- Faisalabad(Male),31.26612,72.8948,Male,Punjab,3,0,1454,0
 195 - Govt.Girls Middle School- Chak No.83/GB- Thundi Faisalabad (Female),31.26671,73.07182,Female,Punjab,0,2,0,760
 197 - Govt.Girls High School-Chak No.85/GB- Faisalabad (Female),31.26822,73.0947,Female,Punjab,0,2,0,1044
 247 - Govt.Girls Middle School- Chak No.79/GB- Janubi Faisalabad (Combined),31.28147,73.15221,Combined,Punjab,2,1,693,588
 258 - Civil Dispensary-Chak No.76/GB- Faisalabad (Male),31.28722,73.16552,Male,Punjab,3,0,1377,0
 259 - Civil Dispensary- Chak No.76/GB- Faisalabad (Female),31.28722,73.16555,Female,Punjab,0,2,0,1187
 188 - Govt.Girls Middle School- Chak No.81/GB- Faisalabad (Combined),31.29406,73.09863,Combined,Punjab,2,1,705,622
 271 - Govt.Boys Elementary School- Chak No.244/RB- Faisalabad (Combined),31.29829,73.10054,Combined,Punjab,2,1,779,737
 272 - Govt.Boys Elementary School- Chak No. 244/RB- Faisalabad (Combined),31.29829,73.10057,Combined,Punjab,2,1,677,673
 273 - Govt.Elementary School- Chak No.244/RB- Faisalabad (Combined),31.29829,73.1006,Combined,Punjab,1,1,511,536
 248 - Govt.Boys Elementary School- Chak No.78/GB- Faisalabad (Combined),31.3026,73.13089,Combined,Punjab,1,1,620,546
 256 - Govt.Boys Primary School- Chak No.75/GB- Faisalabad (Combined),31.30505,73.1675,Combined,Punjab,1,1,636,439
 249 - Govt.Girls High School- Chak No.78/GB- Faisalabad (Combined),31.31609,73.14955,Combined,Punjab,1,1,613,524
 275 - Govt.Girls Community Model Primary School- Chak No.236/RB Kajlay -Faisalabad (Combined),31.31668,73.11314,Combined,Punjab,1,1,603,534
 276 - Govt.Girls Community Model Primary School- Chak No.236/RB- Kajlay Faisalabad (Combined),31.31668,73.11317,Combined,Punjab,2,1,675,621
 257 - Govt.Girls Primary School- Chak No.75/GB- Faisalabad (Combined),31.31738,73.16712,Combined,Punjab,2,1,698,542
 254 - Govt.Boys Primary School- Chak No.237/RB- Lakkan Faisalabad (Combined),31.31912,73.13573,Combined,Punjab,2,1,748,665
 260 - Basic Health unit- Chak No. 239/RB Kharlan (Male),31.32294,73.16255,Male,Punjab,2,0,1002,0
 255 - Govt.Girls Elementary School- Chak No.237/RB- Warraichan Faisalabad (Combined),31.32295,73.13791,Combined,Punjab,2,1,811,660
 261 - Govt.Girls Community Model Elementary School- Chak No.239/RB- Kharlan Faisalabad (Female),31.32323,73.1619,Female,Punjab,0,2,0,818
 327 - Government Boys Primary School Chak No.111/GB (Combined)( P ),31.32777,73.24973,Combined,Punjab,2,2,783,624
 274 - Govt.Boys Primary School- Chak No.236/RB- Jappay Faisalabad (Combined),31.33192,73.10409,Combined,Punjab,2,1,874,739
 335 - Government Girls Primary School Chak No.112/GB (Male)   ( P ),31.33378,73.24746,Male,Punjab,3,0,1266,0
 267 - Govt. Boys Primary School- Chak No.228/RB-I- Faisalabad (Baraan ) (Combined),31.33388,73.17276,Combined,Punjab,2,1,781,537
