StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
392,Government Girls Primary School - Chak No.235/RB- Faisalabad(Female)  ( P ),31.34096401725975,73.09330172373299,Female,Punjab,0,3,0,1023
394,Government Girls Primary School - Chak No.235/RB- Faisalabad(Female)  ( P ),31.34096401725975,73.093331723733,Female,Punjab,0,3,0,1033
391,Government Boys Primary School - Chak No.235/RB- Faisalabad(Male)  ( P ),31.341168280037788,73.09302632290787,Male,Punjab,3,0,1133,0
393,Government Boys Primary School - Chak No.235/RB- Faisalabad(Male)  ( P ),31.341168280037788,73.0930563229079,Male,Punjab,3,0,1283,0
116,Govt. Boys Primary School Chak No. 225 RB III- Ahmad Nagar (Male) (P),31.358513726324407,73.09641700629315,Male,Punjab,4,0,1659,0
119,Government Boys Primary School-Chak No. 225/RB III Ahmad Nagar. (Female) (P).,31.358513726324407,73.0964470062931,Female,Punjab,0,2,0,544
121,Government Boys Primary School-Chak No. 225/RB Ahmad Nagar. (Female) (P).,31.358513726324407,73.0964770062932,Female,Punjab,0,2,0,868
117,Al Noor School System Street No. 2- Ahmad Nagar- Chak No. 225/RB. (Female) (T),31.35919,73.09588,Female,Punjab,0,3,0,1144
118,Ali Public High School- Ahmad Nagar-Chak No.225/RB. Near Tanki (Male) (T),31.361212326237144,73.09581635487291,Male,Punjab,2,0,707,0
120,Ali Public High School- Ahmad Nagar-Chak No.225/RB. Near Tanki (Male) (T),31.361212326237144,73.0958463548729,Male,Punjab,3,0,1068,0
137,Women Brite Future Public School- Street No. 3 Rasool Pura (Female) (T),31.361349904249035,73.07167997877805,Female,Punjab,0,2,0,794
126,Government Primary School- Chak No.225/RB- Malkhanwala. (Male) (P),31.362068329038415,73.11208909120366,Male,Punjab,3,0,1192,0
127,Government Primary School- Chak No.225/RB- Malkhanwala. (Female) (P),31.362068329038415,73.1121190912037,Female,Punjab,0,2,0,945
128,Government Primary School- Chak No.225/RB- Malkhanwala. (Male) (P),31.362068329038415,73.1121490912037,Male,Punjab,2,0,926,0
129,Government Girls High School- Malkhanwala-225/RB. (Female) (P),31.363382764454432,73.11083573653143,Female,Punjab,0,2,0,767
132,Government  Primary School-  Muhammad Nagar (Male) (P),31.365694684717464,73.07178359780143,Male,Punjab,2,0,787,0
134,Government  Primary School-  Muhammad Nagar (Male) (P),31.365694684717464,73.0718135978014,Male,Punjab,3,0,1127,0
298,City Scholars School- Abdullah Colony. (Male) (T),31.36741269869061,73.06402607422551,Male,Punjab,4,0,1675,0
307,City Scholar School-  Abdullah Colony Faisalabad  (Male) (T),31.36741269869061,73.0640560742255,Male,Punjab,2,0,824,0
308,City Scholar School-  Abdullah Colony Faisalabad  (Male) (T),31.36741269869061,73.0640860742255,Male,Punjab,2,0,971,0
299,Government Dhakhan Primary School- Abdullah Colony. (Female) (P),31.368018993241293,73.06337312147704,Female,Punjab,0,3,0,1338
139,Orean School System-  Street No. 11 Farooq Abad (Female) (T).,31.36808805081161,73.07270003379655,Female,Punjab,0,3,0,1340
123,Progressive School System- Malkhanwala- 225/RB. (Female) (P),31.368187482683926,73.11331086948094,Female,Punjab,0,2,0,920
125,Progressive School System- Malkhanwala- 225/RB. (Female) (P),31.368187482683926,73.1133408694809,Female,Punjab,0,3,0,1027
122,Community Centre-Chak No.225/RB-Malkhanwala. (Male) (P),31.368843328340766,73.11250497897213,Male,Punjab,3,0,1012,0
200,Iqra Public High School Street No. 08 Farooqabad  (Male),31.369040599518595,73.07243348251828,Male,Punjab,3,0,1072,0
201,Iqra Public High School Street No. 08 Farooqabad  (Female),31.369040599518595,73.0724634825183,Female,Punjab,0,2,0,854
141,Iqra Public High School-  Street No. 08 Farooq Abad (Male) (T),31.369040599518595,73.0724934825183,Male,Punjab,4,0,1617,0
165,Government Primary School- Behind Tajamal Flour Mills.Sindhu Town (Male) (P),31.369156441497676,73.0805067418557,Male,Punjab,3,0,1031,0
167,Government Primary School- Behind Tajamal Flour Mills.Sindhu Town (Male) (P),31.369156441497676,73.0805367418557,Male,Punjab,3,0,1061,0
168,Government Primary School- Behind Tajamal Flour Mills.Sindhu Town (Female) (P),31.369156441497676,73.0805667418557,Female,Punjab,0,2,0,821
160,Faisal Paradise Girls Model School- St No.4- Chak No.224/RB( Wazir Khan Wali) Nasir Nagar--(Male) (T),31.369598437083994,73.08814191113515,Male,Punjab,2,0,842,0
142,Office Union Council No. 250 (oLd)Farooq Abad    (Female) (T).,31.36985863337519,73.07191664670486,Female,Punjab,0,3,0,1172
163,Bright Future School System- Street No. 3- Ghousia Abad- Abadi Wazir Khan Wali- 224/RB. (Male) (T),31.3702979011407,73.08395099482846,Male,Punjab,4,0,1619,0
164,Bright Future School System- Street No. 3- Ghousia Abad- Abadi Wazir Khan Wali- 224/RB. (Female) (T),31.3702979011407,73.0839809948285,Female,Punjab,0,3,0,1190
166,Imtiaz Grammer Middle School. Near Rafiq Chowk- St No.8- Sindhu Town. (Female) (T),31.370575096842515,73.07968411425496,Female,Punjab,0,2,0,838
138,City School of Commerece and Science- Main Bazar Murad Colony (Male) (T),31.37117036627751,73.07316755115016,Male,Punjab,4,0,1598,0
204,Firdous Model School- Street No.9-Murad Colony. (Female) (T),31.372256474050445,73.07490775100021,Female,Punjab,0,4,0,1621
198,Superior Sirjia Middle School- Opp.Bilal Masjid.Murad Colony. (Male) (T),31.372572718693117,73.07283636435008,Male,Punjab,3,0,1046,0
202,Family Welefare Center- Street No. 2- Sohail abad (Male) (T),31.372775071895735,73.07706691048513,Male,Punjab,3,0,1404,0
304,Falcon House School-Street No. 07-Nisar Colony (Female) (T),31.37384105699054,73.07001013800173,Female,Punjab,0,4,0,1572
305,Al Barkat School System- Main Road PEPSI Cola Factory- Satellite Town. (Male) (T),31.37384105699054,73.0700401380017,Male,Punjab,4,0,1610,0
306,Al Barkat School System- Main Road PEPSI Cola Factory- Satellite Town. (Female) (T),31.37384105699054,73.0700701380017,Female,Punjab,0,3,0,1343
176,Government Degree College for Women- Farooq Town-Ground Floor right side. (Female) (P),31.374285815018517,73.08118551199824,Female,Punjab,0,4,0,1440
162,Government Degree College-For Women-Farooq Town- New Class Room Left Side. (Female) (P),31.374302943432053,73.08118040124828,Female,Punjab,0,4,0,1496
179,Government Degree College For Women- First Floor- (Combined) (P),31.374302943432053,73.0812104012483,Combined,Punjab,2,2,705,612
181,Government Degree College For Women- First Floor- (Female) (P),31.374315882344906,73.08114216776842,Female,Punjab,0,2,0,779
