PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 101 - Govt: Middle School Mada Khail Abad,34.92545,72.98071,Combined,KPK,2,1,660,552
 111 - Govt: Primary School Ber Masham,34.92722,72.9025,Combined,KPK,2,1,693,425
 102 - Govt: High School Jabba Mada Khail,34.93071,72.99873,Combined,KPK,2,1,787,556
 103 - Govt: Primary School Naseer Abad,34.94409,73.00954,Combined,KPK,2,1,620,459
 110 - Govt: Higher Secondary School Battaira,34.95679,72.8868,Combined,KPK,2,1,555,445
 113 - Govt:  Primary School Kufri,34.95792,72.91573,Combined,KPK,1,1,462,334
 108 - Govt: Middle School Jan Bela,34.96212,72.96044,Combined,KPK,1,1,360,201
 112 - GPS Bataira Bala (Improvised),34.97134,72.90469,Combined,KPK,2,2,939,632
 79 - Govt: Primary School Band Banda  Improvised,34.98169,73.06827,Combined,KPK,1,1,211,204
 92 - Govt: Middle School Hukma Abad,34.99233,73.35904,Combined,KPK,1,1,294,199
 62 - Govt: Primary School Arakh,34.9942,72.87369,Combined,KPK,2,1,816,574
 91 - BHU Peech Bela ( Improvised),34.99619,73.32982,Combined,KPK,1,1,300,201
 59 - Govt: Primary School Manzo Khapa,34.99714,72.84369,Combined,KPK,1,1,348,273
 57 - Govt: Higher Secondary School Chakai,34.99771,72.90662,Combined,KPK,1,1,344,296
 63 - Govt; Primary School Palalo,34.99831,72.87671,Combined,KPK,1,1,456,311
 78 - Govt: Primary School Waliabad,35.0003,73.07563,Combined,KPK,1,1,424,319
 107 - Govt: Primary School Binkot Bari,35.00352,72.90916,Combined,KPK,1,1,476,379
 80 - Govt: Primary School Shumjumat,35.00474,73.07551,Combined,KPK,1,1,566,299
 58 - Govt; Higher Secondary School Bankad,35.00592,72.87132,Combined,KPK,2,2,916,718
 61 - Govt: Middle School Bela Rustum Khail,35.00596,72.84801,Combined,KPK,1,1,480,339
 94 - Govt: Primary School  Nao (Improvised),35.00793,73.30956,Combined,KPK,1,1,301,226
 100 - Govt: Higher Secondary School Maidan Kolai,35.01189,73.02503,Combined,KPK,2,2,811,672
 55 - Govt: Middle School Sholgarah,35.01244,72.88469,Combined,KPK,2,1,710,545
 56 - Govt: Primary School Sholgarah,35.01252,72.88537,Combined,KPK,1,1,265,196
 93 - Govt: Girls Primary School Sertay  (improvised),35.01281,73.39908,Combined,KPK,1,1,425,306
 60 - Govt; Primary School khanai,35.0158,72.87159,Combined,KPK,2,1,728,476
 97 - Govt: Middle School Qillah Kolai,35.01875,73.00087,Combined,KPK,2,1,744,583
 75 - Govt: Primary School Bakroo,35.0195,73.07713,Combined,KPK,1,1,200,147
 109 - Govt: Primary School No. 2 Shamal Guli,35.02176,72.92365,Combined,KPK,1,1,410,289
 99 - Govt: Primary School Gahakoi,35.02546,72.99152,Combined,KPK,1,1,379,277
 89 - Govt: Middle School Kundal,35.03042,73.29399,Combined,KPK,1,1,354,313
 46 - Govt: Middle School Jareen P/S No. 1,35.03085,72.86232,Combined,KPK,2,1,556,394
 47 - Govt: Middle School Jareen P/S No. 2,35.03085,72.86235,Combined,KPK,2,1,721,509
 106 - Govt: Middle School Mareen,35.03319,72.93723,Combined,KPK,1,1,248,206
 104 - BHU Mareen P/S No. 1,35.03399,72.93447,Combined,KPK,2,1,754,577
 105 - BHU Mareen P/S No. 2,35.03399,72.9345,Combined,KPK,1,1,290,189
