PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 76 - 76.Govt. Girls Primary School. Mouza Chora Bhojia. (Female) (P),30.754346507869123,72.69356950794652,Female,Punjab,0,2,0,734
 75 - 75.Govt. Boys Primary School. Mouza Chora Bhojia. (Male) (P),30.75638429660332,72.69347476320371,Male,Punjab,3,0,978,0
 71 - 71.Govt. Boys Primary School. 188/GB. (Combined) (P),30.77013008566659,72.66619832604054,Combined,Punjab,1,1,470,336
 72 - 72.Govt. Boys Primary School. 188/GB. (Combined) (P),30.77013008566659,72.6662283260405,Combined,Punjab,1,1,479,371
 63 - 63.Govt. Girls Primary School. 270/GB. (Female) (P),30.77337003786111,72.61998383572563,Female,Punjab,0,2,0,843
 60 - 60.Union Council Office. Chak No. 269/GB. (Combined) (P),30.774996738971165,72.59552309681358,Combined,Punjab,2,1,662,475
 61 - 61.Union Council Office. Chak No. 269/GB. (Combined) (P),30.774996738971165,72.5955530968136,Combined,Punjab,1,1,386,361
 62 - Govt. Boys Primary School. 270/GB. (Male) (P),30.776021157313593,72.6185041221064,Male,Punjab,3,0,1234,0
 59 - 59.Govt. Girls Primary School. 269/GB. (Female) (P),30.777368307607222,72.5920121749514,Female,Punjab,0,2,0,946
 74 - 74.Govt. Girls Primary School. 515/GB. (Female) (P),30.78017487491362,72.7034476424132,Female,Punjab,0,3,0,1225
 58 - 58.Govt. Boys High School. 269/GB. (Male) (P),30.78023647805864,72.60319854333875,Male,Punjab,3,0,1132,0
 418 - 418. Govt. Girls Elementary School. 326/GB. (Female) (P),30.780278983388047,72.29062279085966,Female,Punjab,0,3,0,1256
 417 - 417. Govt. Boys Primary School. 326/GB. (Male) (P),30.78037470350999,72.28906810215246,Male,Punjab,4,0,1588,0
 64 - 64.Govt. Boys Primary School. 271/GB. (Male) (P),30.780578729552325,72.63633658988681,Male,Punjab,3,0,1155,0
 73 - 73.Govt. Boys Primary School. 515/GB. (Male) (P),30.780938827810417,72.7018326864794,Male,Punjab,4,0,1401,0
