StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
356,Government Model Boys Primary School Dhara Qanbar Shah(Permanent),30.724305043512782,71.81825041726178,Combined,Punjab,2,2,1268,971
335,Government Boys High School (Middle Portion) Pir Abdul Rehman (Male) (Permanent),30.742422872499635,71.80991979207666,Male,Punjab,3,0,1630,0
336,Government Boys High School (Middle Portion) Pir Abdul Rehman (Male) (Permanent),30.742422872499635,71.8099497920767,Female,Punjab,0,3,0,1295
337,Government Girls High School Pir Abdul Rehman Shumali(Permanent) Middle Portion,30.74786,71.81337,Male,Punjab,3,0,1686,0
338,Government Girls High School Pir Abdul Rehman Shumali(Permanent) High Portion,30.74786,71.8134,Female,Punjab,0,3,0,1304
334,Government Boys Primary School Chak Haideri Basti Afghan (Female) (Permanent),30.75304,71.79731,Female,Punjab,0,4,0,1469
354,Government Girls Community Model School Basti Kasooana (Female) (Permanent),30.77063,71.81442,Female,Punjab,0,2,0,984
353,Goernment Boys Primary School Kasooana (Male),30.77082,71.81352,Male,Punjab,2,0,1192,0
349,Government Boys Primary School Diraj (Permanent),30.77543,71.8492,Combined,Punjab,1,1,696,593
355,Government High School Chak No. 6/3-L (Permanent),30.77557,71.79144,Combined,Punjab,2,2,994,685
352,Government Girls Primary School Kasooana Janoobi (Permanent),30.78641,71.79929,Combined,Punjab,1,1,442,294
342,Government Girls Primary School Chak No. 12/3-L (Permanent),30.78904839947859,71.83554201074594,Combined,Punjab,1,1,651,459
350,Government Boys Elementary School Chak No. 11/3L (Male),30.79351,71.82253,Male,Punjab,2,0,1251,0
351,Government Girls Primary School Chak No. 11/3-L Female (Permanent),30.79562,71.81996,Female,Punjab,0,2,0,940
341,Government Girls High School Hazrat Sultan Bahu (Permanent),30.8127,71.87444,Combined,Punjab,2,2,986,727
344,Government Girls Primary School Chah Mehmood Wala (Permanent),30.81335,71.81141,Combined,Punjab,2,2,1037,747
339,Government Boys High School Hazrat Sultan Bahu (Permanent) Multi Purpes Hall,30.8153,71.87452,Combined,Punjab,1,1,840,585
340,Government Boys High School Hazrat Sultan Bahu (Permanent),30.8153,71.87455,Combined,Punjab,1,1,772,360
348,Government Model Girls Primary School Sewa Sadat (Permanent),30.81724,71.84238,Combined,Punjab,2,2,941,753
345,Government Boys High School (Primary Portion) Dul (Permanent),30.82113,71.83412,Combined,Punjab,1,1,591,462
346,Government Boys High School Dul (Permanent),30.82113,71.83415,Combined,Punjab,1,1,655,506
347,Government Boys High School (Middle Portion) Dul (Permanent),30.82113,71.83418,Combined,Punjab,2,2,860,688
343,Government Girls Primary School Naeem Garwah (Permanent),30.82123,71.79673,Combined,Punjab,1,1,465,359
394,Government Girls Primary School Basti Dub (Garh Maharaja) (Female) (Permanent),30.82955,71.90173,Female,Punjab,0,3,0,1190
393,Government Boys Higher Secondry School (High Portion) Gharh Maharaja (Male) (Permanent),30.83107,71.89841,Male,Punjab,3,0,1454,0
395,Government Boys Higher Secondary School Gharh Maharaja (Male) (Permanent),30.83107,71.89844,Male,Punjab,2,0,1035,0
392,Vocational Training Institute Garh Maharaja City (Male) (Permanent),30.83201,71.90459,Female,Punjab,0,3,0,1543
396,Government Girls High School Gharh Maharaja City (Female) High Portion (Permanent),30.83247,71.89925,Female,Punjab,0,2,0,875
389,Rest House Zila Council Garh Maharaja (Male) (Permanent),30.83419,71.90541,Male,Punjab,2,0,1424,0
390,Rest House Zila Council Garh Maharaja (Permanent),30.83419,71.90544,Female,Punjab,0,2,0,1181
391,Government Boys Primary School Ghulam Hussain Wala (Permanent),30.83905,71.90525,Male,Punjab,4,0,1916,0
397,Government Girls Primary School Chak No. 5/2-L (Permanent),30.84216,71.87688,Male,Punjab,2,0,1365,0
357,Government Boys Primary School Kapuri (Permanent),30.84379,71.80455,Combined,Punjab,2,2,1076,821
329,Government Boys High School Garh Morr (Permanent),30.84413,71.83107,Combined,Punjab,2,2,1131,779
358,Government Girls Elementary School (Primary Portion) Jam Ghulam Abbas Kapuri (Permanent),30.84478,71.79464,Combined,Punjab,2,1,689,486
400,Rest House High Way (Male) (Permanent),30.8456,71.84023,Male,Punjab,3,0,1539,0
402,Government Girls Elementry School (Primary Portion) Garh Morr (Permanent),30.84679,71.84896,Female,Punjab,0,3,0,1532
398,Govt Girls Elementary School Basti Shafqat colony Garh More Permanent,30.84684,71.84892,Female,Punjab,0,2,0,1059
399,Government Girls Primary School Nawazish Nagar (Garh Morr) (Female) (Permanent),30.84768,71.84231,Female,Punjab,0,3,0,1324
401,Government Boys Primary School Burji Wala (Permanent),30.85515,71.87285,Male,Punjab,4,0,1983,0
330,Government Boys Primary School Sheikh Jalal Shah (Permanent),30.86353,71.84734,Combined,Punjab,1,1,440,358
318,Government Boys Primary School Chak No. 3/2-L (Permanent),30.86533,71.8969,Combined,Punjab,1,1,299,193
314,Government Model Boys Primary School Anayat Shah (Male) (Permanent),30.867529386679294,71.94299686283665,Male,Punjab,2,0,1284,0
315,Government Model Girls Primary School Anayat Shah (Female) (Permanent),30.867689364470515,71.94332092503137,Female,Punjab,0,3,0,894
331,Government Boys Primary School Chak No. 1/3-R (Permanent),30.87054,71.83011,Combined,Punjab,1,1,172,91
316,Government Boys Elementry School Mehmood Shah (Permanent),30.875890401388425,71.92670365381623,Combined,Punjab,2,2,969,666
332,Government Boys Elementry School Chak No. 1/3-L (Permanent),30.87604,71.85986,Combined,Punjab,2,1,557,351
313,Government Boys Primary School Janan (Pehlwan Wala) (Permanent),30.87728,71.90144,Combined,Punjab,1,1,1040,698
312,Government Boys Primary School Basti Tarar (Permanent),30.87824,71.87343,Combined,Punjab,1,1,522,343
309,Government Boys High School Gadara (Permanent),30.8925,71.84268,Combined,Punjab,1,1,718,533
323,Government Girls Elementry School Riaz Abad (Female) (Permanent),30.893220838009398,71.930123493513,Female,Punjab,0,2,0,1193
321,Government Boys Primary School Chak No. 2/2-L (Permanent),30.89413,71.90111,Combined,Punjab,1,1,527,368
322,Government Boys Elementary School Jaiwain (Male) (Permanent),30.89787,71.92103,Male,Punjab,3,0,1629,0
311,Government Boys Elementry School Makorian Wala (Permanent),30.90108,71.88306,Combined,Punjab,1,1,559,396
317,Government Boys Primary School Jhook Dargai Shah (Permanent),30.902017971031764,71.95011385063421,Combined,Punjab,1,1,375,263
310,Government Boys Primary School Gadara Sharqi (Permanent),30.90669,71.8609,Combined,Punjab,1,1,675,436
319,Government Model Boys Primary School Mehmood Kot (Male) (Permanent),30.91203,71.89443,Male,Punjab,3,0,1512,0
320,Government Model Girls ? elementry School Mehmood Kot (Female) (Permanent),30.91203,71.89446,Female,Punjab,0,2,0,955
308,Government Boys Primary School Jundal (Permanent),30.91206,71.80961,Combined,Punjab,1,1,850,643
327,Government Girls Primary School Sial Kot (Female) (Permanent),30.91208,71.85085,Female,Punjab,0,3,0,1111
326,Government Boys Elementary School Basti Sial Kot (Male) (Permanent),30.91211,71.85039,Male,Punjab,3,0,1826,0
328,Government Boys Primary School Chak No. 1/2-R (Permanent),30.91485,71.8349,Combined,Punjab,1,1,522,386
408,Government Boys High School Mud Rajbana (Permanent),30.914940789488387,71.97043563610222,Combined,Punjab,2,1,909,652
387,Government High School Mud Rajbana (Male),30.914940789488387,71.9704656361022,Combined,Punjab,2,1,922,673
404,Government Girls Elementary School Meernay Wala (Permanent),30.919072809497667,71.96705680535725,Combined,Punjab,1,1,500,385
388,Government High School Mud Rajbana (Primary Portion) (Female),30.920024642325856,71.97422119278532,Combined,Punjab,1,1,823,548
378,Government Boys Elementary School Douloana (Midldle Portion) (Female) (Permanent),30.924920321256753,71.96966560473142,Combined,Punjab,2,2,969,660
403,Government Boys Primary School Meernay Wala (Male) (Permanent),30.924920321256753,71.9696956047314,Combined,Punjab,1,1,798,536
405,Government Boys Primary School Kot Mapal (Permanent),30.925490841258316,71.98766963029463,Combined,Punjab,2,1,590,392
406,Office Union Council Kot Mapal (Permanent),30.926007694840447,71.98683908495393,Combined,Punjab,2,1,847,546
386,Government Boys Primary School Munir Abad (Permanent),30.93205,71.93114,Combined,Punjab,2,1,822,595
324,Government Boys High School Gilkala (Male) (Permanent),30.93417,71.91607,Combined,Punjab,2,2,1051,709
325,Government Girls High School Sharif Abad (Female) (Permanent),30.93747,71.91647,Combined,Punjab,2,2,1143,697
381,Government Boys Primary School Ahmed Wala (Permanent),30.95173,71.84701,Combined,Punjab,1,1,706,455
407,Government Boys Primary School Boola (Permanent),30.954364614755917,72.00240771295137,Combined,Punjab,2,2,920,650
385,Government Boys Primary School Abbas Khan (Permanent),30.95808,71.94015,Combined,Punjab,2,2,1068,783
409,Government Boys High School Naikokara (Permanent),30.958577661962927,72.02460362282895,Male,Punjab,2,0,1100,0
410,Government Boys High School Naikokara (Permanent),30.958577661962927,72.0246336228289,Female,Punjab,0,2,0,744
382,Government Girls Community Model Primary School (Girls Portion)  Jalal Abad (Permanent),30.96044,71.88301,Combined,Punjab,2,1,1038,630
383,Government Girls Community Model Primary School (Boys Portion)  Jalal Abad (Permanent),30.96044,71.88304,Combined,Punjab,2,1,719,484
359,Government Boys Elementry School Douloana (Primary Portion)  (Permanent),30.9631,71.8716,Combined,Punjab,1,1,525,355
380,Government Model Boys Primary School Douloana (Darbar Sadiq Sawai) (Permanent),30.9649,71.85426,Combined,Punjab,1,1,631,488
384,Government Girls Primary School Durri Gondal (Wasan Wala) (Permanent),30.96647,71.94675,Combined,Punjab,1,1,625,492
379,Government Model Boys Primary School Douloana (Darbar Sadiq Sawai) (Permanent),30.96686,71.85789,Combined,Punjab,1,1,610,430
423,Government Boys Model Primary School Sabqi (Permanent),30.969500752650465,72.00439882084362,Combined,Punjab,2,1,763,500
422,Government Boys Primary School Saboo Wala (Permanent),30.969688077193958,71.97287426587219,Female,Punjab,0,3,0,932
424,Government Girls Model Primary School Sabqi (Permanent),30.969866796426096,72.00493501975558,Combined,Punjab,2,2,1068,779
420,Government Girls Elementry School (Middle Portion) Sabo Wala (Male) (Permanent),30.971540778126236,71.96953317680794,Combined,Punjab,2,1,718,482
421,Government Girls Elementary School  (Primary Portion) Saboo Wala (Female) (Permanent),30.971547262037937,71.96947527112356,Male,Punjab,3,0,1438,0
373,Government Boys Primary School Sadiq Abad (Permanent),30.9794,71.91973,Combined,Punjab,1,1,492,304
365,Government Girls Elementary School  Kot Bahadar Shah  (Female) (Permanent),30.97974,71.95039,Female,Punjab,0,2,0,1308
364,Government Boys High School Kot Bahadar Shah (Male) (Permanent),30.979770395664584,71.95036582624788,Male,Punjab,3,0,1689,0
411,Government Boys Primary School Islam Wala (Permanent),30.98033165570115,72.02484874527084,Combined,Punjab,1,1,650,533
412,Government Girls Primary School Islam Wala (Permanent),30.983309919310383,72.02023629676994,Combined,Punjab,2,1,855,647
360,Government Boys High School (Old Building) Dagri Sharqi (Male) (Permanent),30.992797699086342,71.98133421849955,Male,Punjab,3,0,1386,0
361,Government Boys High School (New Building) Dagri Sharqi (Female) (Permanent),30.992797699086342,71.9813642184996,Female,Punjab,0,2,0,1008
418,Government Boys Elementry School (Old Building) Fateh Pur Perati (Rustam Abad) (Permanent),30.992960209768626,72.0275698447852,Combined,Punjab,2,1,778,591
419,Government Boys Elementry School (New Building) Fateh Pur Perati (Permanent),30.99300115632474,72.02753590223021,Combined,Punjab,1,1,498,395
376,Government Girls Primary School Basti Ahmed Din Bhatti (Permanent),31.00111,71.90645,Combined,Punjab,1,1,588,391
362,Government Boys Primary School Dagri Gharbi (Permanent),31.003788564014993,71.95994739868968,Male,Punjab,3,0,1168,0
363,Government Boys Primary School Dagri Gharbi (Permanent),31.00382,71.95988,Female,Punjab,0,2,0,825
377,Government Boys Primary School Laghari (Permanent),31.00393,71.88947,Combined,Punjab,1,1,322,219
374,Government Boys Elementary School Baharr (Permanent),31.0049,71.92097,Combined,Punjab,2,2,1133,868
413,Government Model Primary School Islam Pur Faraz (Permanent),31.00538987441587,72.05084068632588,Combined,Punjab,1,1,491,402
372,Government Boys Primary School Sipranwan Wala (Permanent),31.00718,71.94746,Combined,Punjab,2,1,852,632
414,Government Girls Primary School Massu Wala (Permanent),31.00887434013748,72.04969866916761,Combined,Punjab,2,1,707,579
417,Government Boys Primary School Rustam Abad (Permanent),31.013014701259305,72.03212315870759,Combined,Punjab,2,2,901,720
375,Government Girls Primary School Sultan Wala Bahar Gharbi (Permanent),31.02007,71.92263,Combined,Punjab,1,1,633,399
425,Government Boys Primary School Joosa (Permanent),31.02062657021151,72.05107505186874,Combined,Punjab,1,1,506,365
367,Government Girls High School (High Portion) Hassu Balail (Female) (Permanent),31.023163712351224,72.00994502224245,Female,Punjab,0,4,0,1372
368,Government Boys Higher Secondry School (Middle Portion) Hassu Balail (Male) (Permanent),31.023163712351224,72.0099750222424,Male,Punjab,2,0,1274,0
369,Government Boys Higher Secondary School (High Portion) Hassu Balail (Female) (Permanent),31.02319,72.00995,Female,Punjab,0,2,0,900
370,Government Boys Higher Secondry School (Middle Portion) Hassu Balail (Male) (Permanent),31.03119114173152,72.00714345712734,Male,Punjab,3,0,1467,0
371,Government Boys Higher Secondary School (High Portion) Hassu Balail (Female) (Permanent),31.031248797799066,72.00716288126482,Female,Punjab,0,3,0,1178
366,Government Boys Higher Secondry School (Primary Portion) Hassu Balail (Permanent),31.03126964867355,72.00712927106868,Male,Punjab,4,0,1986,0
282,Government Boys Primary School Kot Rustum (Permanent),31.03423,72.06403,Combined,Punjab,2,1,700,404
415,Government Boys Secondary School Tibba Gehli (Permanent),31.037135342224893,72.04849707157524,Combined,Punjab,1,1,589,494
416,Government Boys Secondary School (Primary Portion) Tibba Gehli (Permanent),31.037135342224893,72.0485270715752,Combined,Punjab,1,1,780,588
260,Government Boys Higher Secondary School Kalyar Wala (Permanent),31.04811,71.94226,Male,Punjab,2,0,935,0
261,Government Boys Higher Secondary School (High Portion) Kalyar Wala (Permanent),31.04811,71.94229,Female,Punjab,0,2,0,715
275,Government Boys Primary School Kot Umer Draz (Bela Ali Khanana) (Permanent),31.053032291508803,72.14236802079716,Combined,Punjab,1,1,316,203
281,Government Boys Primary School Kot Murad (Permanent),31.05416,72.06103,Male,Punjab,2,0,1028,0
293,Government Girls Primary School Basti Qatala (Rodu Sultan) (Permanent),31.05456,72.00542,Combined,Punjab,1,1,346,266
280,Government Girls Elementary School- Kot Murad,31.05559,72.05835,Female,Punjab,0,2,0,705
296,Oxford Public (PEF) School Kallar Pur Rodu Sultan (Permanent),31.05721,72.00554,Male,Punjab,3,0,1049,0
297,Government Boys Primary School Kallar Pur Rodu Sultan (Permanent),31.05759,72.00446,Female,Punjab,0,4,0,1680
298,Government Girls High School(Primary Portion) Rodu Sultan (Permanent),31.05857,72.00812,Male,Punjab,2,0,1131,0
299,Government Girls High School (Primary Portion) Rodu Sultan (Permanent),31.05857,72.00815,Female,Punjab,0,2,0,811
301,Government Girls Secondary School (Double Story) Rodu Sultan (Permanent),31.05967,71.99758,Combined,Punjab,2,1,693,500
288,Government Boys Elementry School (Primary Campus) Pahar Pur (Permanent),31.06062,72.05687,Female,Punjab,0,2,0,695
289,Government Boys Elementry School Pahar Pur (Permanent),31.06062,72.0569,Male,Punjab,2,0,1048,0
300,Rural Health Center Rodu Sultan (Permanent),31.06121,71.99832,Male,Punjab,2,0,1007,0
291,Government Boys Primary School Taroor (Permanent),31.06121,72.03646,Combined,Punjab,2,1,876,671
292,Government Boys Higher Secondry School (Old Building) Rodu Sultan (Permanent),31.06141,71.99711,Combined,Punjab,1,1,582,352
295,Government Boys Higher Secondry School (High Portion) Rodu Sultan (Permanent),31.06148,71.99712,Female,Punjab,0,2,0,758
294,Government Boys Higher Secondry School (Primary Portion) Rodu Sultan (Permanent),31.06148,71.99715,Male,Punjab,2,0,1052,0
287,Government Girls Primary School- Kot Asif Khan (Permanent),31.08021,72.03703,Combined,Punjab,2,1,611,381
274,Government Boys Primary School Dhan Miani (Permanent),31.08203,72.0726,Combined,Punjab,2,1,833,545
270,Government Boys Primary School Basheer Abad Dargahi Shah(Permanent),31.08511,72.0374,Combined,Punjab,1,1,445,316
290,Government Boys Primary School Pirowana Shumali (Permanent),31.09331,72.06963,Combined,Punjab,2,1,785,486
263,Government Boys Primary School (Zafar Abad) Rehar (Permanent),31.09447,71.97393,Combined,Punjab,1,1,495,367
264,Government Girls Primary School Hassan Abad ( Abadi Chak No. 10/3-Thal) (Permanent),31.09454,71.94891,Combined,Punjab,2,1,691,503
283,Government Girls High School Lashari (Permanent),31.09613,72.01312,Combined,Punjab,1,1,485,350
286,Government Boys High School (Middle Portion) Lashari (Permanent),31.09782,72.00998,Female,Punjab,0,2,0,557
285,Government Boys High School (Primary Portion) Lashari (Permanent),31.09782,72.01001,Male,Punjab,2,0,848,0
284,Government Boys High School Lashari (Permanent),31.09812,72.00999,Combined,Punjab,1,1,654,501
276,Government Boys High School (Primary Portion) Jaboana (Permanent),31.10208,72.08607,Male,Punjab,3,0,1128,0
278,Government Boys High School (High Portion) Jaboana (Permanent),31.10208,72.0861,Combined,Punjab,2,2,843,732
279,Government Boys High School Jaboana(Middle Portion) (Permanent),31.10208,72.08613,Combined,Punjab,1,1,551,443
262,Government Elementry School Chak No. 10/4 Thal (Permanent),31.10383,71.86964,Combined,Punjab,1,1,243,179
242,Government Primary School- Binda Rasheed Pur (Permanent),31.10966,72.13054,Male,Punjab,2,0,1073,0
268,Government Girls High School (Imran Abad) Sultan Lashari (Permanent),31.11031,72.05347,Female,Punjab,0,2,0,800
273,Government Girls Primary School Dargahi Shah (Permanent),31.1158,72.04723,Combined,Punjab,1,1,342,241
271,Government Boys Model Elementry School Dargahi Shah (Permanent),31.11939,72.04736,Male,Punjab,3,0,996,0
272,Government Boys Model Elementry School (Middle Portion) Dargahi Shah (Permanent),31.11939,72.04739,Female,Punjab,0,3,0,726
269,Government Boys Primary School Sultan Lashari (Permanent),31.12193,72.01376,Male,Punjab,3,0,1079,0
303,Government Girls Elementary School Chah Kariwala Uch Gul Imam (Permanent),31.12718,72.00316,Male,Punjab,3,0,1261,0
304,Government Girls Elementary School Chah Kariwala Uch Gul Imam (Permanent),31.12718,72.00319,Female,Punjab,0,3,0,861
245,Government Girls High School (Middle Portion) Rasheed Pur (Permanent),31.12859,72.09046,Female,Punjab,0,2,0,795
243,Government Girls High School (Primary Portion) Rasheed Pur (Permanent),31.12859,72.09049,Female,Punjab,0,3,0,1446
244,Government Girls High School Rasheed Pur (Permanent),31.12859,72.09052,Male,Punjab,2,0,1088,0
241,Government  Elementry School (Primary Portion) Rasheed Pur (Permanent),31.12863,72.09197,Male,Punjab,2,0,917,0
302,Government Boys High School Uch Gul Imam (Permanent),31.13175,71.97807,Combined,Punjab,2,1,841,701
258,Government Girls Primary School Chak No. 10/1 Thal (Permanent),31.14201,71.87332,Female,Punjab,0,2,0,856
259,Government Boys High School Chak No. 10/1 Thal (Permanent),31.14238,71.87677,Male,Punjab,2,0,1195,0
240,Government Boys Primary School Jamali Kalan (Permanent),31.146010362133108,72.05820960719531,Combined,Punjab,2,1,689,527
225,Government Girls Primary School Chah Gulab Wala (Permanent),31.14944,71.90673,Combined,Punjab,1,1,509,333
247,Government Boys Primary School Kot Bahadar Janubi (Permanent),31.15103,72.09693,Combined,Punjab,2,1,825,574
236,Government Boys Primary School Malkana (Permanent),31.15408,72.10619,Combined,Punjab,2,2,887,700
306,Government Boys Elementry School Sikandar Abad Wasawa (Permanent),31.155971415755776,72.0404440944263,Male,Punjab,3,0,1291,0
307,Government Boys Elementry School Sikandar Abad Wasawa (Permanent),31.15598,72.04047,Female,Punjab,0,3,0,952
305,Government Boys Primary School Sikandar Abad Wasawa (Permanent,31.164558953722096,72.01626376907456,Combined,Punjab,1,1,461,379
239,Government Girls Elementry School Chukan Jan Pur  (Middle Portion) (Permanent),31.16851,72.09574,Female,Punjab,0,2,0,1022
238,Government Girls Elementry School Chukan Jan Pur (Permanent),31.16851,72.09577,Male,Punjab,2,0,1252,0
237,Government Boys Elementry School Chukan Jan Pur (Permanent),31.16949531537837,72.09683674261419,Combined,Punjab,2,2,852,656
230,Government Boys Primary School Ferozi (Jamali Khurd) (Permanent),31.16976592926507,72.06410234730198,Combined,Punjab,1,1,627,502
222,Veternary Hospital- 18-Hazari (Permanent),31.17389660744159,72.0969590633639,Combined,Punjab,1,1,688,669
253,Government Boys High School Wasu Astana (Permanent),31.18041,72.08514,Male,Punjab,3,0,1145,0
254,Government Boys High School (Middle Portion) Wasu Astana (Permanent),31.180505764370324,72.08511531273372,Female,Punjab,0,2,0,851
251,Government Boys High School Wasu Astana (Permanent),31.185422125805207,72.07199012801286,Male,Punjab,2,0,1073,0
