StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
291,Govt: P/S  Thatha Ranera. (Combined),30.90405,73.04053,Combined,Punjab,1,1,597,543
293,Govt: P/S Kudlathi. (Combined),30.90405,73.04056,Combined,Punjab,2,1,666,433
109,Govt. G/ P/S Qilla Mian Singh (Combined),30.98814,74.14923,Combined,Punjab,2,1,648,394
292,Govt: P/S Pindi Cheri. (Combined),31.09331,73.38132,Combined,Punjab,2,1,744,478
294,Govt: P/S  Heboke Bala. (Combined),31.10278,73.40992,Combined,Punjab,2,2,864,611
289,Govt. P/S Mehar Pur.  (Combined),31.11921,73.43919,Combined,Punjab,1,1,562,375
290,Govt: H/S  Rajab.   (Combined),31.11941,73.40853,Combined,Punjab,1,1,492,371
288,BHU.   Mehar Pur.  (Combined),31.11966,73.43651,Combined,Punjab,2,1,865,545
279,Govt: H/S Syedwala.  (Combined),31.12639,73.50278,Combined,Punjab,2,1,759,611
311,Govt: Girls P/S Shah Balawal. (Combined),31.13238,73.4593,Combined,Punjab,2,1,765,506
280,Govt: G/P/S MadooKe.  (Combined),31.13309,73.47945,Combined,Punjab,2,1,743,599
278,Govt: P/S Muhammad wala Syedwala.   (Combined),31.13865,73.49873,Combined,Punjab,2,2,899,647
277,RHC. Syedwala.  (Combined),31.14001,73.50036,Combined,Punjab,2,1,792,608
276,Govt: G/P/S  Syedwala.  (Combined),31.14333,73.49889,Combined,Punjab,2,1,903,724
273,Govt: G/H/S/S Syedwala. [Male],31.14333,73.49944,Male,Punjab,3,0,1598,0
274,Govt: G/H/S/S Syedwala. [Female],31.14333,73.49947,Female,Punjab,0,2,0,1238
275,Govt: H/S Rai Ahmad Khan Kharal Shaheed- Syedwala. (Combined),31.14335,73.50707,Combined,Punjab,2,2,781,697
298,Govt: E/S  Fareed Abad.  (Combined),31.14487,73.55219,Combined,Punjab,2,1,587,424
284,Govt: P/S Khaparke. (Combined),31.14583,73.49638,Combined,Punjab,2,2,975,846
310,Govt: M/P/S Kaltera. (Combined),31.14583,73.49641,Combined,Punjab,2,1,694,575
315,Govt. Girls CMS Chak No. 70/17 (Male),31.14583,73.49644,Male,Punjab,2,0,929,0
316,Govt. Girls C/M/S No. 70/17 ( Female),31.14583,73.49647,Female,Punjab,0,2,0,766
295,Govt: G/P/S.  Malka Haji.  (Combined),31.14667,73.49777,Combined,Punjab,2,1,844,576
296,Govt: P/S  Malka Mauj.  (Combined),31.14667,73.4978,Combined,Punjab,1,1,538,437
299,Govt: M/P/S  Fareed Abad.  (Combined),31.15299,73.54551,Combined,Punjab,2,1,1059,683
314,Govt: P/S Chak No. 70/17 (Combined),31.15389,73.49833,Combined,Punjab,1,1,551,487
297,Govt: P/S  Chak No. 66/14 (Combined),31.16163,73.53697,Combined,Punjab,2,2,860,719
