PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 216 - 216. Government Boys Primery School- Bal Sheikhupura (Male) (P)*,0.2323,0.2323,Male,Punjab,3,0,1369,0
 272 - 272. Office Live Stock (Hospital ) Premery Centre- Jewon Pura Khurd (Male),29.32687,74.02795,Male,Punjab,3,0,1274,0
 273 - 273. Office Live Stock (Hospital ) Premery Centre- Jewon Pura Khurd (Male),29.32687,74.02798,Male,Punjab,3,0,949,0
 310 - 310. Government Boys Primary School Nawab Kot*  (Combined),31.56697,73.84842,Combined,Punjab,2,1,688,480
 309 - 309. Government Boys High School Mehmowali.*  (Combined),31.57937,73.88221,Combined,Punjab,2,1,825,609
 308 - 308. Government Girls Elementary School- Mahmun Wali.  (Combined),31.58057,73.8765,Combined,Punjab,2,1,680,494
 305 - 305. Government Primary School- Tharrian.  (Combined),31.58704,73.91013,Combined,Punjab,1,1,533,349
 209 - 209. Social Security Dispensary (Upper Story- Near Milk Pak Lahor Road- Sheikhupura. (Male). (T)**,31.60155,74.3252,Male,Punjab,2,0,1174,0
 210 - 210. Social Security Dispensary (Upper Story- Near Milk Pak Lahor Road- Sheikhupura (Male). (T)**,31.60155,74.32523,Male,Punjab,2,0,1230,0
 211 - 211. Social Security Dispensary (Ground Story)- Near Milk Pak Lahor Road- Sheikhupura (Female). (T)**,31.60155,74.32526,Female,Punjab,0,4,0,1848
 214 - 214. Social Security Dispensary - Near Milk Pak Lahor Road- Sheikhupura (Male). (T)**,31.60155,74.32529,Male,Punjab,4,0,1728,0
 301 - 301. Government Girls Middle School - Nawan Kot*  (Combined),31.60252,73.87344,Combined,Punjab,2,2,1075,837
 279 - 279. Government Boys High School- Nawan Kot* (Female),31.60473,73.87154,Female,Punjab,0,3,0,1480
 300 - 300. Government Boys High School Nawan Kot* (Male),31.60473,73.87157,Male,Punjab,4,0,1778,0
 108 - 108. Muncipal Committee-Girls High School- Akbar Bazar(Male) (P)*,31.60958916986885,74.3048637701799,Male,Punjab,2,0,1031,0
