StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
138,Govt. Primary School- Mian Feroze Park- Shahdrah- Lahore (Male),31.56867,74.30332,Male,Punjab,3,0,1237,0
59,Government Girls  Primary School Barkat Town- Sagian (PP 144/59) Male,31.58394,74.25547,Male,Punjab,2,0,956,0
65,Govt. Girls P/S- Barkat Town (PP 144/65) Combined,31.58394,74.2555,Combined,Punjab,2,1,532,465
66,City District Govt.. High School for Boys - Meraj Park- Shahdara Lahore. (Permanent) (Female),31.58394,74.25553,Female,Punjab,0,2,0,1092
67,City District Govt.. High School for Boys - Meraj Park- Shahdara Lahore. (Permanent) (PP 144/67) Female,31.58394,74.25556,Female,Punjab,0,2,0,941
68,Govt. Girls P/S- Barkat Town (PP 144/68) Male,31.58394,74.25559,Male,Punjab,3,0,1212,0
283,Govt. Girls High School Rehman Road- Qila Lachman Singh- Lahore (Permanent) (Female),31.59556,74.30806,Female,Punjab,0,3,0,1203
285,CDG Girls High School- Ravi Park- Qila Lachhaman Singh Ravi Road- Lahore.(Permanent)   (Female),31.59556,74.30809,Female,Punjab,0,3,0,1417
282,CDG Boys High School- Ravi Park- Qila Lachhaman Singh Ravi Road- Lahore.(Permanent),31.59583,74.3075,Male,Punjab,2,0,1227,0
284,CDG Boys High School- Ravi Park- Qila Lachhaman Singh Ravi Road- Lahore.(Permanent)    (Male),31.59583,74.30753,Male,Punjab,4,0,1711,0
288,Moon Public School- St.No.49- Touheed Abad- Ravi Road Lahore. (Female),31.59639,74.30639,Female,Punjab,0,3,0,1351
277,Moon Public School English Medium for Boys Timber Market Ravi Road- Lahore.  (Male),31.59778,74.30251,Male,Punjab,4,0,1660,0
278,Moon Public School English Medium for Boys Timber Market Ravi Road- Lahore.  (Female),31.59778,74.30254,Female,Punjab,0,3,0,1369
287,Moon Public School (Girls Campus)- St.No.43- Pak Colony Timber Market- Lahore.  (Male),31.59778,74.30334,Male,Punjab,4,0,1710,0
57,Federal Urdu University of Arts- Science and Technology- Nain Sukh- Shahdara (Male),31.59849,74.25328,Male,Punjab,4,0,1641,0
290,Trust Model Public High School- Molana Ahmed Ali Road- Near Roti Plant Lahore.  (Permanent)   (Male),31.59861,74.31084,Male,Punjab,2,0,948,0
291,Trust Model Public High School- Molana Ahmed Ali Road- Near Roti Plant Lahore.  (Permanent) (PP-146/10) Female,31.59861,74.31087,Female,Punjab,0,3,0,1515
292,Trust Model Public High School- Molana Ahmed Ali Road- Near Roti Plant Lahore.  (Permanent)   (Combined),31.59861,74.3109,Combined,Punjab,2,2,1037,724
293,Trust Model Public High School- Molana Ahmed Ali Road- Near Roti Plant Lahore.  (Permanent)   (Combined),31.59861,74.31093,Combined,Punjab,2,2,1086,798
295,Oxford Grammer School (for Boys) Meraj Park- Ravi Road- Lahore. (PP-146/14) Female,31.59917,74.305,Female,Punjab,0,3,0,1310
247,New Central Model Public High School. Sher Shah Road-  near Police Station- Badami Bagh- Lahore. (Combined),31.60028,74.32111,Combined,Punjab,2,2,875,607
294,Al- Karim Public School Bukhtawar Park - Ravi Road- Lahore. (PP-146/13) Male,31.60083,74.30389,Male,Punjab,4,0,1554,0
212,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (Male),31.60111,74.31612,Male,Punjab,4,0,1977,0
213,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (Female),31.60111,74.31615,Female,Punjab,0,3,0,1410
214,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (Male),31.60111,74.31618,Male,Punjab,3,0,1380,0
215,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (Female),31.60111,74.31621,Female,Punjab,0,2,0,1017
221,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (PP-145/82) Combined,31.60111,74.31624,Combined,Punjab,2,2,1112,768
222,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (PP-145/83) Male,31.60111,74.31627,Male,Punjab,4,0,1645,0
223,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (Female),31.60111,74.3163,Female,Punjab,0,3,0,1215
245,Benazir Bhutto Shaheed Trust Model Higher Secondary School- Saddique Pura Badami Bagh- Lahore (PP-145/106) Combined,31.60111,74.31633,Combined,Punjab,2,2,933,782
58,Govt. Public Modle High School for Boys- Nain Sukh- Shahdara Lahore.  (Permanent),31.60112,74.24553,Female,Punjab,0,4,0,1623
60,Govt. Public Modle High School for Boys Nain  Sukh- Shahdara Lahore- Lahore.  (Permanent) (Male),31.60112,74.24556,Male,Punjab,3,0,1326,0
61,Govt. Public Modle High School for Boys Nain  Sukh- Shahdara - Lahore.  (Permanent) (PP 144/61) Male,31.60112,74.24559,Male,Punjab,4,0,1918,0
