PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 313 - Queen Marry College (School Wing)- Lahore. (Male),31.56215,74.34097,Male,Punjab,2,0,1159,0
 314 - Queen Marry College (School Wing)- Lahore. (Female),31.56215,74.341,Female,Punjab,0,2,0,1051
 315 - Queen Marry College (School Wing)- Lahore.  (Combined),31.56215,74.34103,Combined,Punjab,1,1,453,458
 320 - Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34106,Male,Punjab,2,0,674,0
 321 - Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.34109,Female,Punjab,0,2,0,615
 322 - Queen Marry College- (School Wing)- Lahore. (Male),31.56215,74.34112,Male,Punjab,2,0,1106,0
 323 - Queen Marry College (School Wing)- Lahore. (Female),31.56215,74.34115,Female,Punjab,0,2,0,991
 324 - Queen Marry College- (School Wingh)- Lahore (Male),31.56215,74.34118,Male,Punjab,2,0,1211,0
 325 - Queen Marry College- (School Wingh)- Lahore (Female),31.56215,74.34121,Female,Punjab,0,2,0,1059
 326 - Queen Marry College- Lahore (Male),31.56215,74.34124,Male,Punjab,3,0,1516,0
 327 - Queen Marry College- Lahore (Female),31.56215,74.34127,Female,Punjab,0,3,0,1360
 328 - Queen Marry College- Lahore (Male),31.56215,74.3413,Male,Punjab,3,0,1340,0
 329 - Queen Marry College- Lahore (Female),31.56215,74.34133,Female,Punjab,0,3,0,1115
 316 - Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore  (Combined),31.56346,74.34545,Combined,Punjab,2,1,804,662
 317 - Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore (Male),31.56346,74.34548,Male,Punjab,3,0,1311,0
 318 - Govt. Abu al Khair Girls Middle School- Garhi Shahu- Allama Iqbal Road- Lahore (Female),31.56346,74.34551,Female,Punjab,0,2,0,1154
 303 - Office of the EDO- Hall Road- Lahore   (Male),31.56554,74.31898,Male,Punjab,2,0,1004,0
 304 - Office of the EDO- Hall Road- Lahore    (Female),31.56554,74.31901,Female,Punjab,0,2,0,862
 144 - Don Basco High School- Empress Road- Lahore Permanent. (Male),31.56743,74.33546,Male,Punjab,1,0,754,0
 145 - Don Basco High School- Empress Road- Lahore Permanent. (Female),31.56743,74.33549,Female,Punjab,0,1,0,670
 142 - Govt Modern Girls High School Raheem St. No.33 Qila Gujjar Singh Lahore Permanent. ( Male),31.56764,74.33143,Male,Punjab,2,0,1063,0
 143 - Govt Modern Girls High School Raheem St. No.33 Qila Gujjar Singh Lahore Permanent. (Female),31.56764,74.33146,Female,Punjab,0,2,0,938
 151 - Govt. Dial Sing Colleges  Lahore Permanent. (Male),31.56773,74.32344,Male,Punjab,3,0,1641,0
 152 - Govt. Dial Sing Colleges Lahore Permanent. (Female),31.56773,74.32347,Female,Punjab,0,3,0,1345
 160 - Govt. Dial Singh College- Nisbat Road- Lahore Permanent. (Male),31.56773,74.3235,Male,Punjab,4,0,1735,0
 161 - Govt.Dial Singh College- Nisbat Road- Lahore Permanent. (Female),31.56773,74.32353,Female,Punjab,0,3,0,1358
 166 - Sir Syed Cambridge School Mecloroad Lahore (Male),31.56773,74.32356,Male,Punjab,3,0,1571,0
 167 - Sir Syed Cambridge School Mecloroad Lahore (Female),31.56773,74.32359,Female,Punjab,0,2,0,1291
 305 - Govt. Dial Singh College- Lahore Permanent (Combined),31.56773,74.32362,Combined,Punjab,2,1,888,719
 306 - Govt. Dial Singh College- Lahore Permanent (Male),31.56773,74.32365,Male,Punjab,4,0,1458,0
 253 - Taj Education Centre- Pak Nager Akram Road- Lahore (Combined),31.56852,74.3036,Combined,Punjab,2,1,914,706
 148 - Agahi Education System Street No.4- Abdul Karim Road- Lahore (Male),31.56858,74.32899,Male,Punjab,3,0,1356,0
 149 - Agahi Education System Street No.4- Abdul Karim Road- Lahore (Female),31.56858,74.32902,Female,Punjab,0,2,0,1171
 292 - Pakistan Railway- Supritendent Office- G.T Road- Lahore.(Male),31.56891,74.36014,Male,Punjab,2,0,1534,0
 150 - Farooqi Education Institute Jamia Street- Lahore Hotel- Flamming road- Lahore  (Combined),31.5694,74.32667,Combined,Punjab,2,1,744,595
 311 - Govt. Muslim League High School- Empress Road- Lahore (Combined),31.57053,74.33552,Combined,Punjab,1,1,251,213
 312 - Govt. Muslim Leage High School- Empress Road- Lahore (Combined),31.57053,74.33555,Combined,Punjab,2,2,966,748
 140 - Hazrat Ayesha Siddiquia Model Degree & Commerce College Nocholson Road- Lahore Permanent (Male),31.57106,74.33437,Male,Punjab,3,0,1826,0
