PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 361 - Govt.Girls Primary School RatneWala,30.957563013859566,74.3989997606346,Combined,Punjab,2,1,852,545
 362 - Govt.Girls Primary School RatneWala,30.957563013859566,74.3990297606346,Combined,Punjab,1,1,917,648
 360 - Govt. Boys Primary school Bhadian Usman Wala,30.975305000000002,74.43569333333333,Combined,Punjab,1,1,208,138
 354 - Govt. Girls Primary School Nuri Wala,30.98769399900936,74.42934343749859,Male,Punjab,3,0,1502,0
 355 - Govt Girls Primary School Nuri Wala,30.98769399900936,74.4293734374986,Female,Punjab,0,2,0,1204
 350 - Govt.Girls Primary School Kharaper,30.999983992987225,74.4518346779785,Combined,Punjab,2,2,784,583
 351 - Govt.Girls Primary School Kharapar,30.999983992987225,74.4518646779785,Combined,Punjab,1,1,338,251
 334 - Govt.Girls Primary School Basti Jummay Wala Moza Ullake,31.000384218776592,74.51722537171821,Combined,Punjab,1,1,364,266
 352 - Govt.Boys Elementry School Kharapar,31.000716086667946,74.45502914745995,Combined,Punjab,2,2,1447,1088
 358 - Govt. Girls High School Hussain Khan Wala,31.008463381618718,74.41436271843236,Male,Punjab,3,0,1520,0
 359 - Govt. Girls HighSchool Hussain Khan Wala,31.008463381618718,74.4143927184324,Female,Punjab,0,2,0,1244
 348 - Govt. Boys Primary School Bazid Pur,31.012028340397116,74.47153268067215,Combined,Punjab,1,1,421,315
 349 - Govt. Boys Primary School Bazid Pur,31.012028340397116,74.4715626806722,Combined,Punjab,1,1,299,300
 333 - Govt. Boys Primary School Singh Sahib Wala Kajjian wala,31.015310571585427,74.51633177452595,Combined,Punjab,1,1,624,472
 344 - Govt.Boys Elemantary School Rasool Nagar,31.01728254480013,74.49367915310259,Male,Punjab,2,0,1221,0
 345 - Govt.Boys Elementry Rasool Nagar,31.01728254480013,74.4937091531026,Female,Punjab,0,2,0,1331
 346 - Govt.boys Elementry School Rasool Nagar,31.01728254480013,74.4937391531026,Male,Punjab,2,0,735,0
 332 - Govt.Girls Elementry School Fattuhi Wala,31.025050215050097,74.52548170776198,Combined,Punjab,2,2,959,760
 338 - Govt.Boys Primary School Main Wala,31.02832437290087,74.47794890887997,Male,Punjab,2,0,853,0
 339 - Govt.Girls Primary School Main Wala,31.029195929928715,74.47752972036855,Female,Punjab,0,2,0,668
 336 - Govt.Girls elementry School Burj Kalan,31.03024422873056,74.49484584964785,Male,Punjab,2,0,1388,0
 337 - Govt.Girls Elementry School Burj Kalan,31.03024422873056,74.4948758496478,Female,Punjab,0,2,0,1133
 176 - Govt. Boys Primary School Nayke (Combined,31.033405372223704,74.42066773589605,Combined,Punjab,2,2,1066,765
 172 - Govt. Boys Primary School Bhuchke (Male,31.033658194215544,74.40383893103582,Male,Punjab,4,0,1331,0
 173 - Govt. Boys Primary School Bhuchke (Female,31.033658194215544,74.4038689310358,Female,Punjab,0,3,0,1018
