PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 322 - Govt. Model Primary School Tatra Kamal (Female),30.853231878196258,74.26846839133037,Female,Punjab,0,2,0,1058
 67 - Govt. Girls Elementary School Rao Khan Wala,31.01728254480013,74.49367915310259,Female,Punjab,0,3,0,1247
 267 - Govt.Girls Primary School Ahmad Abad (Female),31.036361680868975,74.22531278829406,Female,Punjab,0,2,0,1051
 160 - Govt. Boys Elementary School Maheen Mar,31.10097,74.16434,Combined,Punjab,2,2,958,697
 167 - Govt. Girls High School Nathoki,31.11423,74.12446,Female,Punjab,0,3,0,1485
 68 - Govt. Girls Elementary School Rao Khan Wala,31.1154488,74.4671408,Female,Punjab,0,2,0,1079
 86 - Govt. Boys Primary School Haveli Malkan Wali,31.1154488,74.4671708,Combined,Punjab,1,1,468,341
 180 - Govt. Girls Primary School Aulakh Utar,31.12613,74.21981,Combined,Punjab,2,2,956,609
 170 - Govt. Girls Community Model School Bohar,31.1284,74.11405,Female,Punjab,0,4,0,1627
 181 - Govt. Boys High School Aulakh Utar,31.13101,74.20902,Combined,Punjab,2,1,834,533
 71 - Govt Girls Primary School Atta Ullah Pur,31.16779,74.30738,Combined,Punjab,2,1,632,453
 154 - Govt Boys Primary school Havali sohan singh,31.16886,74.16416,Combined,Punjab,2,1,744,503
 134 - Govt. Girls Primary School Turk Wind,31.17162,74.12259,Combined,Punjab,1,1,241,172
 45 - Govt.Boys Primary School Chak No.58 (Male),31.1725778,74.0982102,Male,Punjab,3,0,1289,0
 144 - Govt Girls Primary School Haveli Malkan Wali,31.19228,74.17052,Male,Punjab,3,0,1228,0
 37 - Govt Girls p/s Baghiar Mar (Female),31.20972,74.07361,Female,Punjab,0,2,0,789
 38 - Govt Boys p/s  Baghiar Mar (Male),31.21167,74.07305,Male,Punjab,3,0,1182,0
 85 - Govt. Girls Primary School Haveli Ghatan wali,31.22132,74.224,Combined,Punjab,1,1,337,190
 78 - Govt Boys Elemantary school Mir Muhammad,31.2248,74.30125,Combined,Punjab,2,1,830,644
 79 - Govt Boys Elemantary school Mir Muhammad,31.2248,74.30128,Combined,Punjab,1,1,548,389
 55 - Govt. Girls Elementary School Mudkey (Combined),31.25028,74.06084,Combined,Punjab,1,1,309,190
 53 - Govt. Girls Primary School Chak No.65 (Combined),31.25222,74.15,Combined,Punjab,2,1,731,574
 89 - Govt. Boys Primary School Deeda Chak,31.25565,74.28898,Combined,Punjab,1,1,238,149
