StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
113,Government Primary School Gawandla (Improvised),34.35131,72.80202,Combined,KPK,1,1,747,530
103,Government Middle School Chund,34.37184,72.74986,Combined,KPK,1,1,540,385
111,Government Primary School Tetai (Improvised),34.38711,72.78751,Combined,KPK,1,1,362,263
107,Government Higher Secondary School Maira Mada Khail (PS-II),34.39476,72.78323,Combined,KPK,1,1,473,391
108,Government  Primary School Prinjal Mada Khali,34.39476,72.78326,Combined,KPK,1,1,262,208
106,Government Higher Secondary School Maira Mada Khail (PS-I),34.3952,72.78235,Combined,KPK,1,1,810,643
112,Government Primary School Badar,34.39713,72.78762,Combined,KPK,1,1,271,211
104,Government Primary School Garhi Zareen (Garhi Mada Khail),34.40184,72.77061,Combined,KPK,1,1,392,281
105,Government Primary School Maira Mada Khail (Improvised),34.40545,72.75008,Combined,KPK,1,1,387,312
11,Government Primary School Soral,34.40723,72.81253,Combined,KPK,1,1,385,285
102,Government Middle School Kalsoona,34.40927,72.77482,Combined,KPK,1,1,268,215
101,Government Primary School Sonia,34.41366,72.77042,Combined,KPK,1,1,264,224
109,Government Girls Primary School Mohabra (Improvised),34.42636,72.79273,Combined,KPK,1,1,129,114
97,Government Primary School Doba Bala,34.43383,72.75811,Combined,KPK,1,1,285,251
98,Government Middle School Dadum,34.43714,72.73991,Combined,KPK,1,1,216,177
95,Government Primary School Abu Mada Khail,34.44519,72.7737,Combined,KPK,1,1,172,176
92,Government Primary School Karor,34.44545,72.79187,Combined,KPK,1,1,324,318
93,Government Primary School Manjakot,34.4475,72.78944,Combined,KPK,1,1,725,605
80,Government Primary School Kunray  (Imrpovised),34.44837,72.82732,Combined,KPK,1,1,258,209
94,Government Girls Primary School Manjakot,34.45184,72.76916,Combined,KPK,1,1,347,249
90,Government Primary School Ambar Garhi,34.4597,72.80515,Combined,KPK,1,1,287,215
91,Government Middle School Karor,34.46107,72.80517,Combined,KPK,1,1,490,421
9,Government Primary School Halima Dada,34.46128,72.74705,Combined,KPK,1,1,517,422
78,Government Primary School Gangat,34.46271,72.86467,Combined,KPK,1,1,341,291
96,Government Primary School Shanai,34.46342,72.77234,Combined,KPK,1,1,264,271
77,Government High School Teli Sydan (PS-II),34.46671,72.87038,Combined,KPK,1,1,287,256
86,Government High School New Kalli,34.46761,72.82935,Combined,KPK,1,1,474,369
75,Government Primary School Saby Hassan Zai,34.474,72.86993,Combined,KPK,1,1,497,351
76,Government High School Teli Sydan (PS-I),34.474,72.86996,Combined,KPK,1,1,581,492
