PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 57 - (57) Govt. Boys High School- 8/I.L. -(Male),30.77851,73.57273,Male,Punjab,4,0,1409,0
 58 - (58) Govt. Girls Primary School- 8/I.L -(Female),30.78047,73.57452,Female,Punjab,0,3,0,1039
 47 - (47) Govt. Boys High School 28/2.L (Combined),30.78664,73.49557,Combined,Punjab,2,1,689,546
 59 - (59) Govt. Boys Middle School- 9/I.L - (Combined),30.78749,73.57898,Combined,Punjab,2,2,1279,1098
 48 - (48) (26) Govt. Girls Elementry School- 28/2.L  (Combined),30.79202,73.52357,Combined,Punjab,2,1,711,592
 70 - (70) (45) Govt. Girls Primary School- 7/I.L  (Combined),30.80018,73.61223,Combined,Punjab,2,1,501,375
 45 - (45) Govt. Boys Elementary School- 27/2.L -(Male),30.80164,73.49517,Male,Punjab,4,0,1556,0
 64 - (64) Govt. Boys High School- 12/I.L -(Female),30.80255,73.55671,Female,Punjab,0,4,0,1344
 63 - (63) Govt. Boys High School- 12/I.L - (Male),30.80257,73.55662,Male,Punjab,4,0,1487,0
 51 - (51) Govt. Girls Middle School- 13/I.L  (Combined),30.80392,73.53915,Combined,Punjab,2,2,1054,877
 66 - (66) (42) Govt. Girls Primary School- 5/I.L  (Combined),30.80429,73.64069,Combined,Punjab,2,1,473,361
 76 - (76) Govt.Girls Elementary  School- 4/I.L - (Combined),30.80899,73.65244,Combined,Punjab,2,1,561,452
 69 - (69) Govt Boys Elementary School 7/1.L (Combined),30.81098,73.59935,Combined,Punjab,2,2,770,569
 46 - (46) Govt. Girls Elementary School- 27/2.L(Female),30.81121,73.50829,Female,Punjab,0,4,0,1321
 50 - (50) Govt. Boys Primary School- 14/I.L - (Partly Improvised)(Male),30.81139,73.56167,Male,Punjab,4,0,2005,0
 49 - (49) Govt. Girls High School- 14/I.L -(Female),30.81152,73.56033,Female,Punjab,0,4,0,1605
 75 - (75) Govt. Boys High School- 4/I.L - (Combined),30.81222,73.65056,Combined,Punjab,2,1,622,480
 67 - (67) Govt. Boys Primary School- 6/I.L - (Partly Improvised) (Combined),30.81246,73.62566,Combined,Punjab,1,1,329,258
 68 - (68) Govt. Girls Primary School- 6/I.L - (Combined),30.81268,73.62415,Combined,Punjab,2,2,724,568
 62 - (62) Govt. Girls Elementary School- 11/I.L  (Partly Improvised)  (Combined),30.81282,73.57952,Combined,Punjab,2,2,1147,949
 182 - (182) Govt Boys Primary School No.1- Gashkori (P)* (Combined),30.81807,73.45113,Combined,Punjab,2,1,574,503
 166 - (166) Govt. Boys Elementary school- Chak No. 45/GD- (P)* (Male),30.82111,73.28472,Male,Punjab,4,0,2101,0
 79 - (79) Govt. Boys Primary School- 17/I.L - (Combined),30.8233,73.6208,Combined,Punjab,2,2,693,559
 44 - (44) Govt. Boys Primary School- 26/2.L - (Combined),30.82507,73.50684,Combined,Punjab,2,2,1220,987
 74 - (74) Govt. Girls Primary School- 3/I.L - (Combined),30.82962,73.64401,Combined,Punjab,2,2,1183,1036
 275 - (275) Govt. Girls Primary School 34/2.RA (P)* (Female),30.82976,73.50072,Female,Punjab,0,2,0,1063
 53 - (53) (30) Govt.Girls Community Modal School- 15/I.L  (Combined),30.8333,73.57408,Combined,Punjab,2,1,542,466
 52 - (52) Govt. Boys Primary School 15/1.L(Male),30.83333,73.57417,Male,Punjab,3,0,940,0
 55 - (55) Govt. Girls High School-16/I.L New Building (Female),30.83611,73.58816,Female,Punjab,0,3,0,1234
 273 - (273) Govt. Model Primary School- 27/2-R (P)* (Combined),30.83699,73.4939,Combined,Punjab,2,1,453,371
 56 - (56) Govt. Boys Primary School- 16/I.L - (Partly Improvised)(Male),30.83967,73.59187,Male,Punjab,4,0,1542,0
 41 - (41) Govt. Boys Primary School- 24/2.L (Male),30.83972,73.52824,Male,Punjab,4,0,1354,0
 43 - (43) Govt. Girls Middle School- 24/2.L - (Female),30.83977,73.52824,Female,Punjab,0,2,0,1024
 65 - (65) Govt. Boys Primary School- 5/I.L  (Combined),30.84069,73.63309,Combined,Punjab,2,1,657,488
 36 - (36) Govt. Boys Middle School 23/2.L East Side - (Partly Improvised) (Combined),30.84333,73.54972,Combined,Punjab,2,1,770,605
 39 - (39) Govt. Boys Middle School 23/2.L West Side - (Male),30.84333,73.54975,Male,Punjab,4,0,1133,0
 40 - (40) Govt. Girls High School- 23/2.L (Female),30.84376,73.55444,Female,Punjab,0,2,0,857
 37 - (37) (18)  Office of the Union Council 23/2.L  (Combined),30.84417,73.55028,Combined,Punjab,2,1,563,407
 71 - (71) Govt. Boys High School- 2/I.L -(Male),30.84509,73.6419,Male,Punjab,4,0,1984,0
 167 - (167) Govt. Girls Elementary school- Chak No. 45/GD- (P)* (Female),30.84556,73.26167,Female,Punjab,0,4,0,1587
 72 - (72) (46) Govt Girls High School- 2/I.L - (Combined),30.84696,73.63574,Combined,Punjab,1,1,459,408
 73 - (73) Govt. Girls Community Elementary School- 2/I.L -(Female),30.84696,73.63577,Female,Punjab,0,4,0,1618
 42 - (42) (21) University of Agriculture Faisalabad 24/2.L  (Combined),30.85102,73.53316,Combined,Punjab,2,2,720,557
 276 - (276) Govt. Girls Model Elementary School 33/2.RA (P)* (Combined),30.85173,73.45164,Combined,Punjab,2,2,724,593
