PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 166 - Girls Primary School 52/GD (Combined),0.0,0.0,Combined,Punjab,2,1,793,594
 421 - Boys High School 111/9-L (Male),30.559675378772717,73.1746364973417,Male,Punjab,3,0,1349,0
 422 - Boys High School 111/9-L (Female),30.559675378772717,73.1746664973417,Female,Punjab,0,2,0,1102
 419 - Boys Primary School 111/9 -L (Male),30.562222541261885,73.18159348501587,Male,Punjab,2,0,861,0
 44 - Boys primary School 75/5-L (Combined),30.566028791467126,73.221701493233,Combined,Punjab,2,1,881,631
 416 - Boys High School 78/5-L (Combined),30.586683153959967,73.19350248477213,Combined,Punjab,1,1,469,335
 417 - Boys High School 78/5 -L (Combined),30.586683153959967,73.1935324847721,Combined,Punjab,1,1,430,334
 418 - Boys High School 78/5-L II (Combined),30.586683153959967,73.1935624847721,Combined,Punjab,2,1,704,548
 46 - Boys primary School 77/5-L (Combined),30.59447012169032,73.19691561920799,Combined,Punjab,1,1,587,451
 414 - Boys primary School 79/5-L (Combined),30.59596989600078,73.17171164621006,Combined,Punjab,1,1,746,571
 45 - Boys primary School 76/5-L (Combined),30.597461661718004,73.22143834928049,Combined,Punjab,2,1,915,710
 415 - Boys Primary School 80/5-L (Combined),30.618115217458136,73.1747715684164,Combined,Punjab,2,1,788,709
 7 - Boys Primary School 85/5-L (Combined),30.642832925712156,73.18100673021583,Combined,Punjab,1,1,671,477
 6 - Boys Primary School 85/5-L (Female),30.642840166124966,73.18094367229911,Female,Punjab,0,2,0,731
 5 - Boys Primary School 85/5-L (Male),30.642841641934655,73.18097919339019,Male,Punjab,2,0,924,0
 371 - MC Girls Middle School No.12  Ghalla Mandi Swl (Male),30.65072,73.10381,Male,Punjab,3,0,1286,0
 372 - MC Girls Middle SchoolNo.12 Ghalla Mandi Swl (Female),30.65072,73.10384,Female,Punjab,0,2,0,1046
 373 - MC Girls Middle SchoolNo.12  Ghalla Mandi Swl (Male),30.65072,73.10387,Male,Punjab,2,0,1154,0
 374 - MC Girls Middle SchoolNo.12  Ghalla Mandi Swl (Female),30.65072,73.1039,Female,Punjab,0,2,0,923
 375 - MC Girls Middle SchoolNo.12  Ghalla Mandi Swl (Male),30.65072,73.10393,Male,Punjab,2,0,914,0
 376 - MC Girls Middle SchoolNo.12  Ghalla Mandi Swl   (Female),30.65072,73.10396,Female,Punjab,0,2,0,746
 381 - Govt Middle School Jamia Rashidia sahiwal (Male),30.65193,73.11008,Male,Punjab,2,0,1223,0
 382 - Govt Middle SchoolJamia Rashidia  Sahiwal (Female),30.65193,73.11011,Female,Punjab,0,2,0,1004
