StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
150,Government Boys Primary School- Hamid Pur Khas Kanora,29.9834582,71.4214188,Male,Punjab,3,0,1375,0
180,Government Boys Primary School- Hamid Pur Khas Kanora,29.9834582,71.4214488,Female,Punjab,0,2,0,1132
151,Government Girls Primary School- Manshi Wala,29.9834582,71.4214788,Male,Punjab,2,0,1590,0
152,Government Girls Primary School- Manshi Wala,29.9834582,71.4215088,Female,Punjab,0,2,0,1505
153,Government Model Primary School- Fatuhal Pur,29.9834582,71.4215388,Combined,Punjab,1,1,598,478
154,Government Model Primary School- Fatuhal Pur,29.9834582,71.4215688,Male,Punjab,4,0,1745,0
155,Government Model Primary School- Fatuhal Pur,29.9834582,71.4215988,Female,Punjab,0,3,0,1467
156,Government Model Primary School- Ambala,29.9834582,71.4216288,Male,Punjab,4,0,2050,0
157,Government Model Primary School- Ambala,29.9834582,71.4216588,Female,Punjab,0,3,0,1597
158,Government Boys High School- Ali Wala,29.9834582,71.4216888,Male,Punjab,2,0,1058,0
159,Government Boys High School- Ali Wala,29.9834582,71.4217188,Female,Punjab,0,2,0,818
161,Government Girls Primary School- Sultan Pur Hammar,29.9834582,71.4217488,Combined,Punjab,1,1,592,481
184,Government Girls Primary School- Sultan Pur Hammar,29.9834582,71.4217788,Combined,Punjab,2,1,685,529
162,Government Boys High School- Sultan Pur Hammar,29.9834582,71.4218088,Combined,Punjab,1,1,602,532
163,Government Boys High School- Sultan Pur Hammar(Primary Portion),29.9834582,71.4218388,Combined,Punjab,1,1,568,480
164,Government Girls Model Primary School- Gagra,29.9834582,71.4218688,Combined,Punjab,1,1,416,314
165,Government Girls Model Primary School- Kachoor (Ambala Gagra),29.9834582,71.4218988,Combined,Punjab,2,1,765,639
175,Government Boys Primary School- Javed Abad,29.9834582,71.4219288,Male,Punjab,4,0,1936,0
176,Government Boys Primary School- Javed Abad,29.9834582,71.4219588,Female,Punjab,0,3,0,1653
177,Government Boys Primary School- Mirzan Pur,29.9834582,71.4219888,Combined,Punjab,2,2,883,755
178,Government Boys Middle School- Buch,29.9834582,71.4220188,Male,Punjab,4,0,2314,0
179,Government Boys Middle School- Buch,29.9834582,71.4220488,Female,Punjab,0,4,0,1926
169,Government Girls Primary School- Adi Bagh,30.03259,71.36014,Combined,Punjab,2,2,928,758
170,Government Boys Middle School- Labar,30.05067,71.40759,Combined,Punjab,2,2,867,682
72,Government Girls Primary School- Khor Sajri Wahin,30.15426,71.36535,Combined,Punjab,2,2,872,707
114,Government Grils Primary School- Arjawain Sharif,30.19063,71.39079,Female,Punjab,0,2,0,1259
30,Government Girls Elementry School- Bodla Town,30.21335032504788,71.5135777912952,Combined,Punjab,2,1,745,604
31,Government Girls Elementry School- Bodla Town,30.21335032504788,71.5136077912952,Male,Punjab,2,0,1272,0
45,Government Girls Elementry School- Bodla Town,30.21335032504788,71.5136377912952,Female,Punjab,0,2,0,1001
272,Government Federal Boys High School No.2 Sher Shah Road / Orangzaib Road- Multan Cantt,30.2181031,71.4661143,Female,Punjab,0,4,0,1891
282,Government Federal Boys High School No.2 Sher Shah Road / Orangzaib Road- Multan Cantt,30.2181031,71.4661443,Male,Punjab,4,0,2036,0
286,Office of XEN Highway department near High Court (Provincial High Way),30.2181031,71.4661743,Male,Punjab,1,0,498,0
278,Government Federal Boys Public High School- Sher Shah Road- Multan Cantt,30.2181031,71.4662043,Male,Punjab,2,0,723,0
280,Government Boys Primary School- Airport No. 2- Kotla Waris Shah- Jamil Abad,30.2181031,71.4662343,Combined,Punjab,1,1,619,569
281,Government Boys Primary School- Airport No. 2- Kotla Waris Shah- Jamil Abad,30.2181031,71.4662643,Combined,Punjab,2,2,822,657
56,Office of the Union Council- Qasim Bela,30.2181031,71.4662943,Male,Punjab,3,0,1498,0
58,Government Girls Elementry School- Qasim Bela,30.2181031,71.4663243,Male,Punjab,4,0,1828,0
59,Government Girls Elementry School- Qasim Bela,30.2181031,71.4663543,Female,Punjab,0,3,0,1408
60,Government Boys Primary School- Langriyal,30.2181031,71.4663843,Male,Punjab,4,0,1886,0
61,Government Boys Primary School- Langriyal,30.2181031,71.4664143,Female,Punjab,0,3,0,1437
57,Govt. Boys High School- Qasim Bela,30.2181031,71.4664443,Female,Punjab,0,2,0,1259
62,Government Boys High School- Qasim Bela,30.2181031,71.4664743,Male,Punjab,4,0,1931,0
63,Government Boys High School- Qasim Bela,30.2181031,71.4665043,Female,Punjab,0,3,0,1622
64,Government Model Primary School- Muhammad Pur Ghota,30.2181031,71.4665343,Male,Punjab,2,0,985,0
65,Government Girls Primary School- Muhammad Pur Ghota,30.2181031,71.4665643,Female,Punjab,0,2,0,840
66,Government Boys Primary School- Basti Khair Pur Bhutta,30.2181031,71.4665943,Male,Punjab,3,0,1717,0
67,Government Boys Primary School- Basti Khair Pur Bhutta,30.2181031,71.4666243,Female,Punjab,0,4,0,2038
68,Government Girls Primary School- Basti Khair Pur Bhutta,30.2181031,71.4666543,Male,Punjab,2,0,1238,0
69,Government Girls Primary School- Basti Khair Pur Bhutta,30.2181031,71.4666843,Female,Punjab,0,2,0,974
283,Government Federal Boys High School No. 1- Qasim Road- Multan,30.2181031,71.4667143,Male,Punjab,3,0,1633,0
284,Government Federal Boys High School No. 1- Qasim Road- Multan,30.2181031,71.4667443,Female,Punjab,0,3,0,1339
70,Government Basic Health Centre- Qasim Bela,30.2181031,71.4667743,Male,Punjab,3,0,1587,0
121,Government Model Primary School- Bhakri,30.2181031,71.4668043,Combined,Punjab,2,1,774,641
115,Government Girls Middle School- Thathi Khawaran,30.2181031,71.4668343,Female,Punjab,0,2,0,1166
71,Government Girls Middle School- Thathi Khawaran,30.2181031,71.4668643,Male,Punjab,3,0,1383,0
73,Government Girls Primary School- Tibba Masood Pur (Chah Karari Wala) (Basti Khairu),30.2181031,71.4668943,Male,Punjab,2,0,1197,0
74,Government Girls Primary School- Tibba Masood Pur (Chah Karari Wala) (Basti Khairu),30.2181031,71.4669243,Female,Punjab,0,2,0,1076
79,Government Girls Primary School- Tibba Masood Pur (Mouza Jakhar Pur),30.2181031,71.4669543,Female,Punjab,0,2,0,1154
108,Government Girls Elementry School- Jalalabad,30.2181031,71.4669843,Combined,Punjab,2,2,1167,990
80,Government Girls Elementry School- Jalalabad,30.2181031,71.4670143,Combined,Punjab,1,1,211,216
273,Government Federal Boys High School No. 1- Qasim Road- Multan Cantt,30.2181031,71.4670443,Male,Punjab,2,0,949,0
274,Government Federal Boys High School No. 1- Qasim Road- Multan Cantt,30.2181031,71.4670743,Female,Punjab,0,2,0,944
276,Government Boys Nusrat-ul-Islam Higher Secondary School- Multan Cantt,30.2181031,71.4671043,Male,Punjab,2,0,796,0
279,Government Federal Boys Public High School- Sher Shah Road- Multan Cantt,30.2181031,71.4671343,Female,Punjab,0,2,0,679
285,Government Boys Nusrat-ul-Islam Higher Secondary School- Multan Cantt,30.2181031,71.4671643,Male,Punjab,2,0,851,0
109,Government Boys Elementary School- Muzaffarabad,30.2181031,71.4671943,Male,Punjab,3,0,1365,0
110,Government Boys Elementary School- Muzaffarabad,30.2181031,71.4672243,Female,Punjab,0,2,0,1255
103,Government Boys Elementary School- Muzaffarabad,30.2181031,71.4672543,Male,Punjab,1,0,644,0
111,Government Girls High School- Muzaffarabad,30.2181031,71.4672843,Female,Punjab,0,4,0,2054
106,Government Girls High School- Muzaffarabad,30.2181031,71.4673143,Male,Punjab,4,0,2378,0
275,Government Boys Primary School- Nusrat-ul-Islam- Multan Cantt,30.2181031,71.4673443,Female,Punjab,0,2,0,752
13,Government Girls Primary School- Alamdi Sura (Basti Tibbi),30.21826088735359,71.4316723170558,Female,Punjab,0,4,0,1743
75,Government Girls Primary School- Doulat Abad No1,30.2183282,71.4672937,Combined,Punjab,1,1,452,413
76,Government Boys Primary School- Tibba Masood Pur,30.2183282,71.4673237,Combined,Punjab,2,1,676,618
77,Government Boys Primary School- Jakhar Pur Ghota,30.2183282,71.4673537,Male,Punjab,3,0,1337,0
117,Government Boys Primary School- Jakhar Pur,30.2183282,71.4673837,Combined,Punjab,2,1,678,654
78,Government Model Primary School- Jakhar Pur,30.2183282,71.4674137,Combined,Punjab,1,1,511,416
81,Government Girls Middle School- Industrial Estate,30.2183282,71.4674437,Combined,Punjab,1,1,618,539
82,Government Model Al-Hussain Primary School- Haji Block Jungle Bhera,30.2183282,71.4674737,Combined,Punjab,2,2,1028,899
83,Government Model Primary School- Haji Block Jungle Bhera,30.2183282,71.4675037,Male,Punjab,2,0,921,0
84,Government Girls Primary School- Haji Block Jungle Bhera,30.2183282,71.4675337,Female,Punjab,0,2,0,819
86,Government Girls Middle School- Industry Area,30.2183282,71.4675637,Combined,Punjab,2,1,658,524
87,Government Girls Middle School- Industry Area,30.2183282,71.4675937,Combined,Punjab,2,2,845,704
88,Pasco Godown Industrial Estate,30.2183282,71.4676237,Male,Punjab,3,0,1545,0
89,Pasco Godown Industrial Estate,30.2183282,71.4676537,Female,Punjab,0,2,0,1316
113,Government Boys Elementry School- Ahmad Pur Bhutta,30.2183282,71.4676837,Male,Punjab,2,0,865,0
118,Government Boys Elementary School- Ahmed Pur Bhutta,30.2183282,71.4677137,Male,Punjab,3,0,1371,0
119,Government Boys Elementary School- Ahmed Pur Bhutta,30.2183282,71.4677437,Female,Punjab,0,2,0,1178
96,Government Girls Primary School- Chah Banan Wala near Aadhi Wala,30.2183282,71.4677737,Male,Punjab,3,0,1579,0
97,Government Girls Primary School- Chah Banan Wala near Aadhi Wala,30.2183282,71.4678037,Female,Punjab,0,2,0,1346
107,Government Girls Primary School- Thathi Lal Shah 1,30.2183282,71.4678337,Combined,Punjab,2,2,1073,962
124,Government Girls Primary School- Thathi Lal Shah 2,30.2183282,71.4678637,Combined,Punjab,2,2,1194,1034
134,Government Boys Primary School - Hammad Pur,30.2183282,71.4678937,Combined,Punjab,1,1,573,535
10,Government Boys Primary School- Feroz Colony (5-Marla Scheme Mohalla Mominabad),30.2183937,71.4666978,Combined,Punjab,2,2,872,726
14,Government Boys Elementry School- Islamia Jafria Suraj Miani,30.2183937,71.4667278,Male,Punjab,3,0,1612,0
15,Government Boys Elementry School- Islamia Jafria Suraj Miani,30.2183937,71.4667578,Female,Punjab,0,3,0,1386
16,Government Boys Elementry School- Islamia Jafria Suraj Miani,30.2183937,71.4667878,Male,Punjab,2,0,750,0
11,Govt. Girls Higher Secondary School Suraj Maini Higher Portion VIP Colony Gate Multan,30.2183937,71.4668178,Combined,Punjab,1,1,527,461
