PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 120 - Government Girls Primary School- Chishti Wala,29.849608699308703,71.34768357886819,Combined,Punjab,2,2,848,736
 121 - Government Boys Middle School Gajju Hatta,29.867162923600866,71.31725537420111,Combined,Punjab,2,2,823,695
 122 - Government Boys Middle School Gajju Hatta,29.867162923600866,71.3172853742011,Combined,Punjab,1,1,631,560
 123 - Government Girls Primary School Mazoor Abad No.1,29.867479738703366,71.31830140103341,Male,Punjab,3,0,1443,0
 118 - Government Boys Elementary School Railway Station Shujabad,29.87329637518808,71.3261730462011,Combined,Punjab,2,2,1021,924
 119 - Union Council Office Gajju Hatta,29.87337651185552,71.32626296429768,Combined,Punjab,2,2,925,797
 78 - Government Boys High School Pounta,29.8832768,71.2934066,Male,Punjab,3,0,1442,0
 79 - Government Boys Primary School Tahirpur,29.8832768,71.2934366,Combined,Punjab,2,2,1077,860
 80 - Government Boys Middle School Soman Qadeem,29.8832768,71.2934666,Combined,Punjab,2,2,1050,978
 81 - Government Girls Primary School Soman,29.8832768,71.2934966,Male,Punjab,3,0,1425,0
 82 - Government Boys Primary School- Khair Pur,29.8832768,71.2935266,Male,Punjab,4,0,1883,0
 83 - Government Girls Primary School- Khair Pur,29.8832768,71.2935566,Female,Punjab,0,3,0,1634
 72 - Government Boys Degree College Sbujabad,29.8879142,71.2971185,Combined,Punjab,2,2,775,680
 73 - Government Boys Degree College Sbujabad,29.8879142,71.2971485,Male,Punjab,4,0,1802,0
 74 - Government Boys Primary School Jawan Wala,29.8879142,71.2971785,Combined,Punjab,1,1,598,504
 92 - Government Boys Primary School Sanghari,29.8879142,71.2972085,Combined,Punjab,2,2,1036,889
 113 - Government Boys High School Khujah,29.8879142,71.2972385,Combined,Punjab,2,1,655,568
 114 - Government Boys High School Khujah,29.8879142,71.2972685,Combined,Punjab,2,2,1219,982
 115 - Government Boys High School Khujah,29.8879142,71.2972985,Combined,Punjab,1,1,453,365
 116 - Government Girls Primary School- Basti Khuja,29.8879142,71.2973285,Combined,Punjab,1,1,672,559
 117 - Government Boys Primary School- Lut Wala,29.8879142,71.2973585,Combined,Punjab,1,1,535,440
 85 - Government Girls Middle School- Toder Pur,29.92010987171045,71.2945249035492,Female,Punjab,0,3,0,1340
 86 - Government Boys High School- Toder Pur,29.92023741268728,71.2946675844223,Male,Punjab,2,0,1282,0
 84 - Government Boys High School- Toder Pur,29.92027673144887,71.29461195171959,Male,Punjab,3,0,1617,0
 75 - Government Boys Primary School Mochi pura,29.92585340311863,71.2653180448259,Combined,Punjab,1,1,582,492
 76 - Government Girls Primary School Mochi pura,29.92589,71.26511,Male,Punjab,3,0,1352,0
 91 - Government High School- Chak R.S,29.9408,71.32404,Combined,Punjab,2,1,678,590
 110 - Government Primary School- Jeenday Wala,29.941423852768075,71.37115141942976,Combined,Punjab,2,2,1084,904
 97 - Government Primary School Sher Pur at Jai,29.941859415723613,71.30011596520693,Combined,Punjab,2,2,801,743
 77 - Government Boys Primary School- Fateh Bela,29.946765365416688,71.25056149240898,Combined,Punjab,1,1,575,475
 96 - Government Primary School Khan pur Qazian,29.951593768789348,71.27442691600625,Combined,Punjab,2,2,1027,935
 109 - Government Boys Primary School Basti Jakhar,29.96008743226866,71.3651609696341,Combined,Punjab,2,1,779,660
 100 - Government Girls Primary School- Bagrain No. 2- Chah Naseer Bakhsh Wala Mouza Daira Pur,29.960337734686288,71.3070584944144,Combined,Punjab,2,2,1039,892
 103 - Government Veterinary Hospital- Sikandabad,29.96202423893186,71.3557214610055,Male,Punjab,3,0,1628,0
 107 - Government Veterinary Hospital- Sikandabad,29.962068127347493,71.35588611972308,Male,Punjab,3,0,1409,0
 104 - Government Girls High School- Sikandabad Gharbi,29.964172147832734,71.36208939183776,Female,Punjab,0,3,0,1384
