PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 89 - Govt Elementary School- Hasil Wala at Pai Wagna(P),29.509440498857707,71.82223383720218,Combined,Punjab,2,2,963,744
 62 - Govt Boys Primary School - Bahadi Wahin(P),29.512973173679224,71.79904995052526,Combined,Punjab,1,1,629,484
 69 - Govt Boys Primary School - Ain Wain Part-I (P),29.525428926779544,71.83934854434045,Combined,Punjab,1,1,555,409
 70 - Govt Boys Primary School - Ain Wain Part-II (P),29.525428926779544,71.8393785443404,Combined,Punjab,2,1,696,512
 76 - Govt Girls Primary School Goal.(P),29.532569360858318,71.92879543638307,Combined,Punjab,2,2,870,647
 67 - Govt Boys High School - Jhanbi Wahin Part-I Male(P),29.534770501755208,71.8271611534965,Male,Punjab,3,0,1342,0
 68 - Govt Boys High School - Jhanbi Wahin Part-II Female(P),29.534770501755208,71.8271911534965,Female,Punjab,0,2,0,1050
 74 - Govt Boys Primary School- Shahpur phull near Girls Elementary School (P),29.537435062547186,71.91945942591667,Combined,Punjab,1,1,553,473
 75 - Govt Girls Elementary Model School- Shahpur phull(P) (P),29.537435062547186,71.9194894259167,Combined,Punjab,2,1,617,423
 60 - Govt Girls Primary School - Chah Masjid Wala at Nagni(P),29.5403170039925,71.81804265710234,Combined,Punjab,2,1,750,585
 72 - Govt Boys Primary School - Peer Sukha(P),29.540405992126875,71.885395411346,Combined,Punjab,2,2,1134,812
 77 - Govt Girls Primary School - Basti Saidan.(P),29.549814415504144,71.93120714399765,Combined,Punjab,1,1,460,348
 61 - Govt Boys Primary School - Thalli(P),29.55269791873496,71.79859948768076,Combined,Punjab,2,2,930,658
 81 - Govt Boys Elementary School - Seekar(P),29.556672269583277,71.94002759173985,Combined,Punjab,2,1,789,577
 79 - Govt Boys Primary School- Basti Mud at Tibbi Waddan Part-I (P),29.55668028910534,71.96646722146089,Combined,Punjab,2,1,748,518
 80 - Govt Boys Primary School- Basti Mud at Tibbi Waddan Part-II (P),29.55668028910534,71.9664972214609,Combined,Punjab,1,1,519,332
 101 - Govt Girls High School- Tibbi Waddan at Wigha Mal.(P),29.557697317009705,72.00620452559181,Combined,Punjab,2,2,776,638
 100 - Govt Boys Primary School- Wigha Mal.(P),29.55996624405716,72.0040823798324,Combined,Punjab,2,2,961,753
 58 - Govt Boys Primary School - Basti Goth Bahar (Male)(P),29.563685512459255,71.86159164738032,Male,Punjab,3,0,1278,0
 59 - Govt Primary School- Goth Bahar (Female) (P),29.563685512459255,71.8616216473803,Female,Punjab,0,2,0,890
