PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 235 - Govt. Boys Primary School Kund Mahar (Combined),29.6374596,72.1140282,Combined,Punjab,1,1,455,360
 236 - Govt. Boys Primary School Kund Mahar (Combined),29.6646639,72.1614781,Combined,Punjab,2,2,1028,935
 237 - Govt. Boys Elementary School Jhok Jindu (Combined),29.6646639,72.1615081,Combined,Punjab,1,1,822,707
 270 - Govt. Boys Primary School Kotli Junaid (Male) (P),29.679721,72.1339613,Male,Punjab,2,0,1172,0
 271 - Govt. Girls Primary School Kotli Junaid (Female) (P),29.679721,72.1339913,Female,Punjab,0,1,0,809
 273 - Govt. Boys High School Aray Pur (Elementary Portion) Combined,29.679721,72.1340213,Combined,Punjab,2,1,693,465
 274 - Govt. Boys High School Aray Pur (Primary Portion) Combined,29.679721,72.1340513,Combined,Punjab,2,1,1190,659
 275 - Govt. Boys Primary School Kotla Behlol (Male) (P),29.679721,72.1340813,Male,Punjab,2,0,1159,0
 276 - Govt. Boys Primary School Kotla Behlol (Female) (P),29.679721,72.1341113,Female,Punjab,0,1,0,862
 240 - Govt. Boys Elementary School Bohar (P) Combined,29.6860729,72.1392632,Combined,Punjab,1,1,912,638
 241 - Govt. Girls Primary School Bohar (Combined),29.6860729,72.1392932,Combined,Punjab,1,1,667,521
 269 - Govt. Boys Primary School Kikri Khurd (P) Combined,29.6860729,72.1393232,Combined,Punjab,1,1,855,615
 238 - Govt. Boys Primary School Cheena (Combined),29.6861195,72.1393042,Combined,Punjab,1,1,847,645
 248 - Govt. Girls Primary School Chunjani (Combined),29.6861195,72.1393342,Combined,Punjab,1,1,567,413
 249 - Govt. Girls Primary School Nemat Ali Saifan (P) Combined,29.6861195,72.1393642,Combined,Punjab,1,1,754,597
 250 - Govt. Boys Elementary School Syphen (P) Combined,29.6861195,72.1393942,Combined,Punjab,1,1,688,567
 251 - Govt. Boys Primary School Ghous Pur (Combined),29.6861195,72.1394242,Combined,Punjab,1,1,469,347
 255 - Govt. Model Primary School Ghulam Sindhi (P) Combined,29.6861195,72.1394542,Combined,Punjab,1,1,545,406
 277 - Govt. Boys Primary School Mandan (Combined),29.6970523,72.1343472,Combined,Punjab,1,1,686,552
 272 - Govt. Boys Primary School Aray Wahin Rahim Kali Urf Ram Kali (Combined),29.7075975,72.0184914,Combined,Punjab,2,1,1019,742
 280 - Govt. Girls Elementary School Buland Pur (P) Combined,29.7075975,72.0185214,Combined,Punjab,2,1,963,726
 281 - Govt. Boys High School Buland Pur Primary Portion (Male) (P),29.7075975,72.0185514,Male,Punjab,2,0,1235,0
 282 - Govt. Boys High School Buland Pur High Portion (Female) (P),29.7075975,72.0185814,Female,Punjab,0,1,0,811
 289 - Govt. Girls Primary School Murad Pur (Female) (P),29.7075975,72.0186114,Female,Punjab,0,2,0,1032
 291 - Govt. Boys High School Daror Wahin (Male) (P),29.7075975,72.0186414,Male,Punjab,3,0,1784,0
 292 - Govt. Boys High School Daror Wahin (Female) (P),29.7075975,72.0186714,Female,Punjab,0,2,0,1358
 258 - Govt. Boys Higher Secondary School Jalla Jeem (Elementary Portion) Combined (P),29.7124816,72.1383273,Combined,Punjab,1,1,848,671
 259 - Govt. Boys Higher Secondary School Jalla Jeem (Elementary Portion) Male (P),29.7124816,72.1383573,Male,Punjab,2,0,1570,0
 260 - Govt. Boys Higher Secondary School Jalla Jeem Primary Portion (Female) (P),29.7124816,72.1383873,Female,Punjab,0,2,0,1278
 239 - Govt. Boys Primary School Chitt Wahin (Combined),29.7135546,72.1343934,Combined,Punjab,2,1,1054,729
 242 - Govt. Boys Primary School Fateh Pur (P) Combined,29.7135546,72.1344234,Combined,Punjab,1,1,524,455
 243 - Govt. Girls High School Fateh Pur (Elementary Portion) (Male) (P),29.7135546,72.1344534,Male,Punjab,2,0,1316,0
 244 - Govt. Girls High School Fateh Pur (Elementary Portion) (Male) (P),29.7135546,72.1344834,Male,Punjab,1,0,734,0
 245 - Govt. Girls High School Fateh Pur Primary Portion (Female) (P),29.7135546,72.1345134,Female,Punjab,0,2,0,1615
 246 - Govt. Boys High School Fateh Pur Elementary Portion (Male) (P),29.7135546,72.1345434,Male,Punjab,2,0,1794,0
 247 - Govt. Boys High School Fateh Pur Primary Portion (Female) (P),29.7135546,72.1345734,Female,Punjab,0,2,0,1506
 279 - Govt. Boys Primary School Ameer Pur (P) Combined,29.7149034,72.1340231,Combined,Punjab,1,1,651,490
 262 - Govt. Boys Primary School Jalla Jeem No. 2 (Male),29.7185456,72.1318943,Male,Punjab,3,0,1975,0
 232 - Govt. Boys High School Warsi Wahin (Combined) (P),29.7196299,72.1277288,Combined,Punjab,2,1,971,684
 233 - Govt. Girls Primary School Warsi Wahin (Combined) (P),29.7196299,72.1277588,Combined,Punjab,2,1,1059,827
 234 - Govt. Girls Primary School Qutab Pur (P) Combined,29.7196299,72.1277888,Combined,Punjab,1,1,649,501
 278 - Govt. Boys Primary School Gadai Shah (P) Combined,29.7196299,72.1278188,Combined,Punjab,2,1,1165,726
 284 - Govt. Girls Primary School Meeran Pur (P) Combined,29.7256402,72.0577418,Combined,Punjab,1,1,737,570
 285 - Govt. Boys Elementary School Meeran Pur (P) Combined,29.7256402,72.0577718,Combined,Punjab,1,1,814,676
 290 - Govt. Girls Primary School Basti Sultan (Combined),29.7256402,72.0578018,Combined,Punjab,2,1,1038,788
 288 - Govt. Boys Primary School Murad Pur (Male) (P),29.7265982,72.0595935,Male,Punjab,2,0,1606,0
 261 - Govt. Girls High School Jalla Jeem (P) Combined,29.741122,72.1666033,Combined,Punjab,2,1,1019,856
 263 - Govt. Boys Primary School Jalla Jeem No. 1 (Female) (P),29.741122,72.1666333,Female,Punjab,0,2,0,1588
 264 - Govt. Boys Primary School Jalla Jeem No.1 (P) Combined,29.741122,72.1666633,Combined,Punjab,1,1,535,417
 265 - Govt. Boys Primary School Jalla Jeem No. 1 (Combined),29.741122,72.1666933,Combined,Punjab,1,1,745,548
 210 - Govt. Boys High School Kot Muzaffar Primary. (Female) (P),29.7530655,72.0973199,Female,Punjab,0,2,0,1494
 208 - Govt. Boys High School Kot Muzaffar High Portion (Male) (P),29.7531272,72.0971347,Male,Punjab,1,0,849,0
 209 - Govt. Boys High School Kot Muzaffar Elementary Portion (Male) (P),29.7531272,72.0971647,Male,Punjab,2,0,1081,0
 266 - Govt. Boys Primary School Arain Wahin (P) Combined,29.753535,72.1299504,Combined,Punjab,1,1,654,537
 267 - Govt. Girls Primary School Arain Wahin (East Portion) (Male) (P),29.753535,72.1299804,Male,Punjab,3,0,1786,0
 268 - Govt. Girls Primary School Arain Wahin (West Portion) (Female) (P),29.753535,72.1300104,Female,Punjab,0,2,0,1308
 211 - Govt. Girls Primary School Kikri Kalan (Combined),29.7545412,72.0762644,Combined,Punjab,2,1,983,663
 204 - Govt. Boys Primary School Gulhari (P) Combined,29.7548419,72.1318016,Combined,Punjab,1,1,614,520
 200 - Govt. Boys Primary School Shah Sattar East Side (Male) (P),29.7620047,72.1085949,Male,Punjab,3,0,1827,0
 201 - Govt. Boys Primary School Shah Sattar West Side (Female) (P),29.7620047,72.1086249,Female,Punjab,0,2,0,1167
 206 - Govt. Boys Primary School Chak Bassi (Combined),29.7620047,72.1086549,Combined,Punjab,1,1,651,490
 125 - Govt. Boys Elementary School Ali Wah(P) Combined,29.7628475,72.1088451,Combined,Punjab,1,1,602,398
 126 - Govt. Boys Elementary School Ali Wah(P) Combined,29.7628475,72.1088751,Combined,Punjab,1,1,508,351
 202 - Govt. Boys Primary School Niaz Pur (P) (Male),29.7628475,72.1089051,Male,Punjab,2,0,1203,0
 203 - Govt. Boys Primary School Niaz Pur (P) (Female),29.7628475,72.1089351,Female,Punjab,0,1,0,895
 207 - Govt. Boys Primary School Ashraf Shah (Combined),29.7746495,72.1165052,Combined,Punjab,1,1,617,494
 123 - Govt.Girls Primary School Ali Wah (Male)(P),29.7766671,72.1115737,Male,Punjab,2,0,1356,0
 124 - Govt.Girls Primary School Ali Wah (Female)(P),29.7766671,72.1116037,Female,Punjab,0,2,0,1013
 256 - Govt. Boys Primary School Kund Azeem (Male),29.784768,72.181041,Male,Punjab,2,0,1226,0
 257 - Govt. Boys Primary School Kund Azeem Female,29.784768,72.181071,Combined,Punjab,2,1,0,829
 182 - Govt. Girls High School Ward No. 8 Mailsi (Male) (P),29.7935668,72.1718773,Male,Punjab,2,0,1365,0
 183 - Govt. Girls High School Ward No. 8 Mailsi (Combined) (P),29.7935668,72.1719073,Combined,Punjab,1,1,856,557
 184 - Govt. Girls Primary School Dharam Pura (Female) (P),29.7935668,72.1719373,Female,Punjab,0,2,0,1421
 169 - Govt. Institute of Commerce Mailsi (Left Portion) Female,29.79568,72.1714159,Female,Punjab,0,2,0,1225
 181 - Govt. Boys Primary School Dharam Pura (Male) (P),29.7962179,72.1710884,Male,Punjab,2,0,1813,0
 218 - U.C. Office Fadda (P) Combined,29.7962179,72.1711184,Combined,Punjab,2,1,1060,787
 219 - U.C. Office Fadda (P) Combined,29.7962179,72.1711484,Combined,Punjab,1,1,487,346
 220 - Govt. Boys Elementary School Fadda. Elementary Portion (Male) (P),29.7962179,72.1711784,Male,Punjab,3,0,2245,0
 221 - Govt. Boys Elementary School Fadda. Primary Portion (Female) (P),29.7962179,72.1712084,Female,Punjab,0,2,0,1641
 1 - Govt. Boys Elementry School Jahan Pur (Combined)P,29.7962773,72.1711517,Combined,Punjab,1,1,887,659
 205 - Govt. Boys Primary School Kot Atta Muhammad (Combined),29.7962773,72.1711817,Combined,Punjab,1,1,775,556
 214 - Canal Rest House Mailsi (P) Combined,29.7962773,72.1712117,Combined,Punjab,1,1,1037,710
 283 - Govt. Boys Primary School Sardar Pur Jhandir (P) Combined,29.7962773,72.1712417,Combined,Punjab,1,1,805,646
 286 - Govt. Boys Primary School Norabba (East Portion) (Male) (P),29.7962773,72.1712717,Male,Punjab,3,0,1869,0
 287 - Govt. Boys Primary School Norabba West Portion (Female),29.7962773,72.1713017,Female,Punjab,0,2,0,1238
 293 - Govt. Boys Elementary School Budhu (Combined) (P),29.7962773,72.1713317,Combined,Punjab,2,1,1096,782
 294 - Govt. Girls Elementary School Budu (Combined),29.7962773,72.1713617,Combined,Punjab,1,1,606,421
 295 - Govt. Girls High School Kot Haroo (P) Combined,29.7962773,72.1713917,Combined,Punjab,1,1,890,589
 296 - Govt. Girls Primary School Gumbada (Combined),29.7962773,72.1714217,Combined,Punjab,1,1,862,543
 297 - Govt. Girls Elementary School Mahboob Shah (P) Combined,29.7962773,72.1714517,Combined,Punjab,1,1,865,731
 3 - Govt Girls Primary School Mirali Combined,29.7962773,72.1714817,Combined,Punjab,1,1,396,315
