StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
28,Govt. Primary School- Dera Masti- Bahawalpur (Male),29.32648,71.56556,Male,Punjab,3,0,1599,0
30,Govt. Girls Community Model School Dera Masti (New Building) (Male),29.3265,71.56566,Male,Punjab,3,0,1832,0
31,Govt. Girls Community Model School Dera Masti (Old Building) (Female),29.3265,71.56569,Female,Punjab,0,3,0,1472
29,Govt. Primary School- Ghullam Muhammad Baloch- Markaz Dera Masti- Bahawalpur  (Female),29.33747,71.56926,Female,Punjab,0,3,0,1344
5,Govt. Girls Primary School Basti Agha Pur (Combinedd),29.34618,71.61781,Combined,Punjab,2,2,1309,1114
23,Office of Union Council No. 21- Basti Raman Bahawalpur (Female),29.34913,71.60777,Female,Punjab,0,4,0,1623
22,Govt. Girls Elementary School- Raman (Male),29.3495,71.60749,Male,Punjab,4,0,1958,0
119,Govt Elementary School Hote Wala Bahawalpur (Combined),29.35114,71.6423,Combined,Punjab,2,2,1109,996
192,Govt. Girls Primary School- Chah Sheeren Wala- BWP (Combined),29.35882,71.62692,Combined,Punjab,1,1,362,297
27,Govt. Model Primary School Peer Allah Ditta Shah (Combined),29.36383,71.53072,Combined,Punjab,2,2,944,747
130,Govt. High School- Dera Izzat- BWP (Middle Portion) (Male),29.36591,71.65005,Male,Punjab,3,0,1536,0
131,Govt. High School- Dera Izzat- BWP (Primary Portion) (Female),29.36591,71.65008,Female,Punjab,0,3,0,1283
133,Govt High School- Dera Izzat- BWP (Primary Portion) (Female),29.36591,71.65011,Female,Punjab,0,3,0,1405
230,Govt. Arabic Elementary School- Islami Colony- Street No. 3/4- Bahawalpur (Elementary Section) (Female),29.36644,71.69608,Female,Punjab,0,2,0,1061
232,Govt. Arabic Elementary School- Islami Colony- Street No. 3/4- Bahawalpur (Elementary Section) (Female),29.36644,71.69611,Female,Punjab,0,3,0,1447
116,Govt Primary School Chak No.8/BC Bahawalpur (Combined),29.36766,71.76821,Combined,Punjab,1,1,385,328
233,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Combined),29.36832,71.69923,Combined,Punjab,2,2,828,824
235,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Female),29.36832,71.69926,Female,Punjab,0,2,0,1136
237,Govt. Dar-ul-Atfal Male Apna Ghar- Opposite Islami Colony- Bahawalpur (Female),29.36832,71.69929,Female,Punjab,0,1,0,665
229,Govt. Girls High School- Islami Colony- Street No. 3/4 Bahawalpur (Male).,29.37031,71.69726,Male,Punjab,2,0,1211,0
231,Govt. Girls High School- Islami Colony- Street No. 3/4 Bahawalpur  (Male).,29.37031,71.69729,Male,Punjab,3,0,1700,0
24,Govt. Primary School Goth Gehna (Combined),29.37172,71.55891,Combined,Punjab,2,1,1081,882
190,Office of Agricultural Engineering- Bahawalpur- Ahmedpur East Road near Zakhira (Male),29.37236,71.64185,Male,Punjab,3,0,1150,0
193,Office of Agricultural Engineering- Bahawalpur- Ahmedpur East Road near Zakhira (Male),29.37236,71.64188,Male,Punjab,3,0,1401,0
132,Govt. Primary School Mamoon Abad- BWP (Male),29.37246,71.64366,Male,Punjab,3,0,1676,0
191,Govt. Model Primary School- Bhatta No.4- Ahmadpur Road- Bahawalpur (Female),29.37246,71.64369,Female,Punjab,0,3,0,929
194,Govt. Model Primary School- Bhatta No.4- Bahawalpur (Female),29.37246,71.64372,Female,Punjab,0,2,0,1140
126,Govt Elementary School- Malook Shah- BWP (Male),29.37399,71.67205,Male,Punjab,3,0,1541,0
127,Govt Girls Primary School- Malook Shah- BWP (Female),29.37399,71.67208,Female,Punjab,0,3,0,1322
128,Govt Elementary School- Malook Shah- BWP (Male),29.37399,71.67211,Male,Punjab,3,0,1313,0
129,Govt Girls Primary School- Malook Shah- BWP (Female),29.37399,71.67214,Female,Punjab,0,2,0,992
234,Govt. Primary School- Basti Banga- Islami Colony- Street No. 1- Opposite NBP- Bahawalpur (Male),29.37468,71.6936,Male,Punjab,3,0,1405,0
236,Govt. Primary School- Basti Banga- Islami Colony- Street No. 1- Opposite NBP- Bahawalpur (Male),29.37468,71.69363,Male,Punjab,2,0,830,0
32,Govt. High School- Fattu Wali (Front Side) (Male),29.37481,71.59963,Male,Punjab,4,0,2521,0
33,Govt. High School- Fattu Wali (Back Side) (Female),29.37481,71.59966,Female,Punjab,0,4,0,1992
34,Govt. Girls Primary School Maqbool Colony Bahawalpur- (Male),29.37563,71.71701,Male,Punjab,3,0,1312,0
35,Govt. Girls Primary School Maqbool Colony Bahawalpur- (Female),29.37563,71.71704,Female,Punjab,0,2,0,1208
118,Govt. Model Primary School- Chak No.10/BC Bahawalpur (Female),29.37879,71.72647,Female,Punjab,0,2,0,1664
117,Govt. Model Primary School- Chak No.10/BC Bahawalpur (Girls Portion)  (Male),29.37929,71.72569,Male,Punjab,2,0,2134,0
124,Sadiq Public School (Secondary Section) (Male),29.37946,71.65424,Male,Punjab,4,0,2802,0
125,Sadiq Public School (High Section) (Female),29.37946,71.65427,Female,Punjab,0,4,0,2344
212,Govt. Degree College for Women- Satellite Town- BWP (Male).,29.38063,71.71988,Male,Punjab,2,0,1077,0
240,Govt. Degree College for Women- Satellite Town- Bahawalpur (Male).,29.38063,71.71991,Male,Punjab,3,0,1346,0
209,Govt. Girls Elementary School- Chak No.9/BC (Female),29.38072,71.72522,Female,Punjab,0,3,0,1420
208,Govt. English Medium Boys Primary School- Chak No.9/BC (Male),29.38077,71.72521,Male,Punjab,3,0,1558,0
179,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female).,29.381,71.65591,Female,Punjab,0,2,0,1465
181,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female).,29.381,71.65594,Female,Punjab,0,2,0,809
183,Govt. Girls Elementary School- Bhatta No.1- Ahmedpur East Road- BWP (Female),29.381,71.65597,Female,Punjab,0,2,0,831
180,Govt. Boys Primary School- Bhatta No.1- Ahmedpur East Road- BWP (Male),29.38108,71.65573,Male,Punjab,2,0,841,0
182,Govt. Boys Primary School- Bhatta No.1- Ahmedpur East Road - BWP (Male),29.38108,71.65576,Male,Punjab,2,0,931,0
168,F.G Public School No.1 Boys- Trust Colony- Bahawalpur (Male),29.3811,71.67255,Male,Punjab,3,0,1306,0
213,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (Middle Section) (Female),29.38152,71.7229,Female,Punjab,0,2,0,939
214,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (Primary Section)  (Male),29.38152,71.72293,Male,Punjab,4,0,1950,0
215,Govt. Girls High School- Mohajir Colony- near Tanki wali gali No. 7- BWP (High Section) (Female),29.38152,71.72296,Female,Punjab,0,4,0,1753
206,Govt. Elementary School- Islami Madrassah- Hamatian- Mailay Wali Gali- BWP (Male).,29.38238,71.7192,Male,Punjab,4,0,2073,0
207,Govt. Elementary School- Islami Madrassah- Hamatian- Mailay Wali Gali- BWP (Female).,29.38238,71.71923,Female,Punjab,0,4,0,1913
172,Regional Office Employees- Old Age Benefits Institution- Dubai Mahal Road- New Sadiq Colony- Bahawalpur (Male).,29.38259,71.66434,Male,Punjab,3,0,1506,0
173,Regional Office Employees- Old Age Benefits Institution- Dubai Mahal Road- New Sadiq Colony- Bahawalpur (Female),29.38259,71.66437,Female,Punjab,0,2,0,1172
174,Govt. Girls Degree College- Dubai Mahal Road- BWP (Intermediate Portion) (Eastern Side)  (Male),29.38259,71.6644,Male,Punjab,2,0,863,0
175,Govt. Girls Degree College- Dubai Mahal Road- BWP  (Degree Portion) (Western Side) (Female),29.38259,71.66443,Female,Punjab,0,2,0,858
