PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 239 - Govt Boys Middle School Lalo Nich .(Combined) (P)*,29.049091635867146,70.99367624456391,Combined,Punjab,1,1,705,547
 240 - Govt Boys Middle School Basti Laloo Naich. (Combined)(P)*,29.049091635867146,70.9937062445639,Combined,Punjab,2,2,1011,888
 228 - Govt Girls Primary School Basti Abdul Ullah khoji . (Combined)(P)*,29.056795669746993,71.0000315142497,Combined,Punjab,1,1,628,479
 90 - Govt Boys Primary School Khamisa Pakhiwar.(Combined) (P)*,29.066570311404394,71.17669325853439,Combined,Punjab,2,2,1009,815
 116 - Govt Boys Primary School Therri Zabti Basti Drala. (Combined) (P)*,29.071589333552946,71.23044623238641,Combined,Punjab,2,2,902,748
 246 - Govt Boys Primary School Hasil Laar(P)*(Combined),29.072601507856266,71.00380504829857,Combined,Punjab,2,2,1057,800
 61 - Govt Boys Primary School Chak Wahni.(Combined) (P)*,29.079542457825365,71.08748403291237,Combined,Punjab,1,1,534,439
 118 - Govt Girls Primary School Basti Pathana Therri Zabti (Female). (P)*,29.086063011271555,71.25203166086354,Female,Punjab,0,2,0,1191
 117 - Govt Girls Model Primary School Basti Pathana (Male). (P)*,29.086417546423665,71.25269265010041,Male,Punjab,2,0,1448,0
 230 - Govt Boys Higher secondary School Channi Goth. (Combined) (P)*,29.086760674915357,71.00928218497556,Combined,Punjab,2,2,921,773
 231 - Govt Boys Elementary Shool Chak No. 160-NP (New Building).(Combined) (P)*,29.088900137147313,71.03338590379086,Combined,Punjab,2,2,784,627
 232 - Govt Boys Elementary Shool Chak No. 160-NP (Old Building).(Combined) (P)*,29.088900137147313,71.0334159037909,Combined,Punjab,2,1,664,525
 234 - Govt Boys Primmary School Chak no 157 NP. (Combined)(P)*,29.08896768380719,71.03330989775687,Combined,Punjab,2,2,938,692
 119 - Govt  Primary School Saeth Abdul Razzaq kotla naichan (Male). (P)*,29.092137484606187,71.26399802349731,Male,Punjab,2,0,1001,0
 120 - Govt Girls Primary School Kolta Naichan (Female). (P)*,29.093819823226408,71.26272658349767,Female,Punjab,0,2,0,956
 235 - Govt Boys Middle School Channi Goth. (Male)(P)*,29.09509843416331,71.01154534178788,Male,Punjab,2,0,1334,0
 236 - Govt Boys Middle School Channi Goth. (Female)(P)*,29.09509843416331,71.0115753417879,Female,Punjab,0,2,0,1118
 238 - Govt Girls Primary School Fazal Ahmad Uch Road Channi Goth. (Combined)(P)*,29.09525509721782,71.02928540704258,Combined,Punjab,2,2,1248,943
 237 - Govt Girls High School Channi Goth .(Combined)(P)*,29.09819910403174,71.01049208899572,Combined,Punjab,2,2,949,920
 243 - Office Basic Health Unit Ahmed Niach. (Combined)(P)*,29.098465702353902,70.97214391720938,Combined,Punjab,2,2,1029,770
 241 - Govt Girls High School Mahand Ahmedpur .(Male) (P)*,29.100271868470436,70.96720237729268,Male,Punjab,2,0,1425,0
 242 - Govt Girls High School Mahand Ahmedpur .(Female) (P)*,29.100271868470436,70.9672323772927,Female,Punjab,0,2,0,1109
 244 - Govt Boys Midddle School Ahmad Naich. (Combined)(P)*,29.10096799179833,70.97319298798428,Combined,Punjab,2,2,901,683
 245 - Govt Boys middle School Ahmed Naich. (Combined)(P)*,29.10103871886443,70.97320832465662,Combined,Punjab,1,1,650,455
 62 - Govt Girls Elementary School Anayatpur. (Combined) (P)*,29.102439258075286,71.13513422202175,Combined,Punjab,2,2,1307,1088
 55 - Govt Girls High School Dera Nawab Sahib (Male). (P)*,29.103953860643674,71.27364245112703,Male,Punjab,2,0,1010,0
 56 - Govt Girls High School Dera Nawab Sahib (Female). (P)*,29.103953860643674,71.273672451127,Female,Punjab,0,2,0,878
 53 - Govt Boys High School Dera Nawab Sahib (Male). (P)*,29.104495223299963,71.27287946797036,Male,Punjab,2,0,1052,0
 54 - Govt Boys High School Dera Nawab Sahib (Female).(P)*,29.104495223299963,71.2729094679704,Female,Punjab,0,2,0,869
 65 - Govt. Boys Primary school Mehmoodabad (Combined),29.10512407537948,71.12199510621227,Combined,Punjab,2,2,1029,829
 94 - Govt Girls Primary School Sukhail. (Combined) (P)*,29.105939314107687,71.24169084344682,Combined,Punjab,2,2,764,677
 2 - Govt Boys Elementary School Baildaran. (Male)(P)*,29.106613645552727,71.06008392100632,Male,Punjab,2,0,1404,0
 3 - Govt Boys Elementary School Baildaran. (Female)(P)*,29.106613645552727,71.0601139210063,Female,Punjab,0,2,0,1170
 92 - Govt Boys High School Sukhail (New Building) Part-I (Male) . (P)*,29.10671104039229,71.24138959113506,Male,Punjab,2,0,1153,0
 93 - Govt Boys High  School Sukhail Old Building Part-II (Female). (P)*,29.10671104039229,71.2414195911351,Female,Punjab,0,2,0,974
 91 - Govt Boys Priamary School Gujjar Wala  (Combined) (P)*,29.107333636010896,71.1907999245698,Combined,Punjab,2,2,1276,1039
 57 - F.G Public School Dera Nawab Sabib (Male). (T)**,29.110967414979456,71.27124797214952,Male,Punjab,2,0,1099,0
 58 - F.G Public School Dera Nawab Sabib (Female). (T)**,29.110967414979456,71.2712779721495,Female,Punjab,0,2,0,975
 101 - Govt Boys Primary School Sheikh Roshan.(Combined) (P)*,29.115436633808475,71.24708454527197,Combined,Punjab,1,1,584,487
 59 - Govt Sadiq Abbas Degree College Dera Nawab Sahib- (Male). (P)*,29.117571227652785,71.2707117287692,Male,Punjab,2,0,1048,0
 60 - Govt Sadiq Abbas Degree College Dera Nawab Sahib- (Female). (P)*,29.117571227652785,71.2707417287692,Female,Punjab,0,2,0,834
 229 - Govt Boys Primary School Chak No. 147/NP. (Combined)(P)*,29.118942751209374,70.97313319072023,Combined,Punjab,2,2,819,641
 121 - Govt Girls Primary School Chachran. (Combined)  (P)*,29.124796568931647,71.18335650044762,Combined,Punjab,2,2,1032,771
 97 - Govt Boys Primary School Goth Raza. (Combined) (P)*,29.125163040961453,71.27727921170253,Combined,Punjab,2,2,1001,867
 98 - Govt Girls Primary School Goth Raza.(Combined) (P)*,29.125163040961453,71.2773092117025,Combined,Punjab,2,2,871,764
 100 - Govt Boys Primary School Marri Ghusian. (Combined) (P)*,29.129901254770182,71.2559171756524,Combined,Punjab,1,1,545,463
