PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 311 - Govt.Girls Primary School Arif Baloch,-7.013678,32.81249,Combined,Punjab,2,1,939,582
 125 - Govt. Girls Primary School Basti  Mian Khurshid Ali (Male),0,0,Male,Punjab,2,0,1252,0
 131 - Govt. Girls Primary School Uttera,0,3E-05,Combined,Punjab,2,1,920,488
 320 - Veterinary Hospital Hayat Laar,28.76278,70.81334,Combined,Punjab,2,1,794,606
 321 - Veterinary Hospital Hayat Laar,28.76278,70.81337,Combined,Punjab,1,1,670,481
 322 - Govt. Boys Primary School Feroza Town,28.76417,70.81056,Combined,Punjab,1,1,724,551
 318 - Govt.Girls Primary School Bhuto Colony Feroza(Hayat Lar).   (Male),28.7725,70.81694,Male,Punjab,3,0,1478,0
 319 - Govt.Girls Primary School Bhuto Colony Feroza(Hayat Lar).  (Female),28.7725,70.81697,Female,Punjab,0,2,0,1093
 312 - Govt. Girls Community Model School- Chak No. 123/NP,28.78472,70.78917,Combined,Punjab,1,1,543,348
 313 - Govt. Girls Community Model School- Chak No. 123/NP,28.78472,70.7892,Combined,Punjab,2,1,756,527
 315 - Govt.Boys Primary School Chak No. 122/NP,28.78778,70.78972,Combined,Punjab,1,1,728,517
 310 - Govt. Boys Primary School Hussain Abad Basti Shair Muhammad Mouza Ghareeb Shah,28.80167,70.72817,Combined,Punjab,2,1,1047,630
 317 - Govt. Girls Primary School Jam Aziz,28.81695,70.78139,Combined,Punjab,2,1,1118,732
 309 - Govt. Moadib Primary School Thair Fazil Muhammad,28.82026,70.74231,Combined,Punjab,2,2,1190,803
 302 - Govt. Girls Elementary School Kandani (Female),28.82253,70.76467,Female,Punjab,0,2,0,998
 303 - Govt. Girls Elementary School- Kandani (Male),28.82253,70.7647,Male,Punjab,3,0,1414,0
 305 - Govt. Boys High School Kandani High Portion (Female),28.82602,70.76302,Female,Punjab,0,2,0,1015
 308 - Govt. Boys Secondary School Basti Nazir Khan (Chak No.119/NP),28.83441,70.72115,Combined,Punjab,1,1,562,390
 186 - Govt. Girls Primary School Said Pur,28.83476,70.68201,Combined,Punjab,1,1,658,469
 300 - Govt. Boys Primary School Basti Samanay Khan,28.83559,70.73615,Combined,Punjab,2,2,874,653
 286 - Govt. Boys Primary School Haroon Abad,28.84389,70.86444,Combined,Punjab,1,1,593,478
 304 - Govt. Boys P/S Basti Sunat Abad (Male),28.84461,70.81173,Male,Punjab,3,0,1363,0
 314 - Govt.Girls Elementary School Chak No. 125/NP,28.84497,70.80737,Combined,Punjab,2,1,950,571
 306 - Govt. Rafique Elementary School Jageer Chhanaili,28.85194,70.85166,Combined,Punjab,2,2,890,653
 301 - Govt. Boys Primary School Malik Hameed Basti Jurani,28.85611,70.75806,Combined,Punjab,2,1,871,646
 298 - Govt. Boys High School Pacca Laaran Primary Portion (Male),28.85917,70.78167,Male,Punjab,3,0,1744,0
 299 - Govt. Boys High School Pacca Laaran Middle Portion (Female),28.85917,70.7817,Female,Punjab,0,2,0,1350
 323 - Govt. Girls Primary School Basti Araian- Rasheed Abad,28.86222,70.83194,Combined,Punjab,2,1,923,545
 295 - Govt. Girls E/School Basti Lal Pacca Laaran,28.86361,70.76917,Combined,Punjab,2,1,838,602
 296 - Govt. Girls High School Pacca Laaran High Portion (Male),28.86513,70.75216,Male,Punjab,3,0,1578,0
 297 - Govt. Girls High School Pacca Laaran Middle Portion (Female),28.86513,70.75219,Female,Punjab,0,2,0,1239
 288 - Govt. Boys Primary School Basti Maghrani (Male),28.86834,70.75279,Male,Punjab,2,0,1230,0
 289 - Govt. Boys Primary School Basti Maghrani (Female),28.86834,70.75282,Female,Punjab,0,2,0,994
 137 - Govt. Boys Primary School Bahan Wala (Female),28.86972,70.84722,Female,Punjab,0,2,0,1140
 138 - Govt. Boys Primary School Bahan Wala (Male),28.86972,70.84725,Male,Punjab,3,0,1511,0
 195 - Govt. Boys Elementary School Noor Muhammad Batwani (Male),28.87027,70.74109,Male,Punjab,3,0,1419,0
 181 - Govt. Girls Model School Shehbaz Pur Gharbi,28.87597,70.62893,Combined,Punjab,2,1,1075,773
 136 - Govt. Girls Primary School- Chiragh Hussain Shah,28.87667,70.85083,Combined,Punjab,2,2,1018,780
 185 - Govt. Boys High School Said Pur,28.8772,70.68675,Combined,Punjab,2,1,919,691
 134 - Govt. Boys High School Talbani (Male),28.88194,70.82305,Male,Punjab,2,0,1408,0
 135 - Govt. Boys High School Talbani (Female),28.88194,70.82308,Female,Punjab,0,2,0,1051
 139 - Govt. Boys High School Metla,28.8825,70.87056,Combined,Punjab,2,1,1096,699
 128 - Govt. Girls Primary School Shamasabad Bangla Talbani,28.88333,70.82361,Combined,Punjab,1,1,670,481
 126 - Govt. Girls Primary School Basti  Mian Khurshid Ali (Female),28.88472,70.89722,Female,Punjab,0,2,0,943
 283 - Govt. Boys Elementary School Nalla Mosani (Male),28.887,70.76964,Male,Punjab,2,0,1263,0
 284 - Govt. Girls Primary School Nalla Mosani (Female),28.88712,70.7692,Female,Punjab,0,2,0,991
 161 - Govt. Boys High School Zafarabad (Male),28.88783,70.65331,Male,Punjab,2,0,1240,0
 163 - Govt. Boys High School- Zafar Abad (Male),28.88783,70.65334,Male,Punjab,3,0,1608,0
 196 - Govt. Boys Primary School Ashraf Shah Basti Ramzan (Female),28.88919,70.71974,Female,Punjab,0,2,0,984
 287 - Govt. Boys Primary School Kotla Daulat,28.89055,70.74818,Combined,Punjab,1,1,755,545
 184 - Govt. Girls Elementary School  Taranda Mir Khan,28.89078,70.68118,Combined,Punjab,2,1,910,727
 183 - Govt. Boys Elementary School Taranda Mir Khan,28.89083,70.67962,Combined,Punjab,2,1,773,536
 194 - Govt. Boys Primary School Basti Qazian,28.89452,70.75202,Combined,Punjab,2,1,1058,729
 162 - Govt. Girls Community Model School Zafarabad (Female),28.89537,70.6583,Female,Punjab,0,2,0,845
 164 - Govt. Girls Community Model School Zafarabad (Female),28.89537,70.65833,Female,Punjab,0,3,0,1169
 165 - Govt. Boys Primary School Basti Malik Peer Bux Tibbi Saidan (Male),28.89537,70.65836,Male,Punjab,3,0,1344,0
 166 - Govt. Boys Primary School Basti Malik Peer Bux Tibbi Saidan (Female),28.89537,70.65839,Female,Punjab,0,2,0,823
 182 - Govt. Boys Primary School Saeedia (Kalay Di Wasti),28.89583,70.65904,Combined,Punjab,1,1,526,303
 127 - Govt. Boys Primary School Shamasabad,28.89861,70.82916,Combined,Punjab,1,1,624,429
 290 - Govt. Girls Primary School Basti Gasoora (Male),28.90346,70.78145,Male,Punjab,3,0,1468,0
 291 - Govt. Girls Primary School Basti Gasoora (Female),28.90346,70.78148,Female,Punjab,0,2,0,996
 316 - Govt. Boys Primary School Chak No. 116/NP,28.9039,70.67664,Combined,Punjab,1,1,382,222
 193 - Govt. Boys Primary School Gabran,28.90495,70.70831,Combined,Punjab,2,1,801,537
 192 - Govt. Girls Primary School Aziz Muhammad Numberdar Mouza Chanjni (Female),28.90825,70.68295,Female,Punjab,0,2,0,941
 281 - Govt. Girls Primary School Ramzan Khan (Jong Bilawal),28.91187,70.78869,Combined,Punjab,1,1,724,532
 123 - Govt. Girls Primary School Basti  Jam Khuda Bux Laar Goth Mahi (Female),28.91257,70.88235,Female,Punjab,0,2,0,949
 190 - Govt. Girls Primary School Malik Bakhat Ali,28.91543,70.7128,Combined,Punjab,2,1,805,475
 294 - Govt. Girls Primary School Basti Kotla Niazi,28.91777,70.77484,Combined,Punjab,1,1,715,548
 282 - Govt. Boys Primary School Jong Bilawal,28.91822,70.78912,Combined,Punjab,2,1,842,631
 124 - Basic Health Unit Goth Mahi Basti  Mian Karam,28.92021,70.9004,Combined,Punjab,2,1,734,623
 121 - Govt. Boys Primary School Farzand Ali Basti  Mian Karam (Female),28.92039,70.90348,Female,Punjab,0,2,0,1267
 191 - Govt. Boys Primary School Pati Shair Muhammad  (Male),28.92223,70.69655,Male,Punjab,2,0,1231,0
 7 - Govt. Girls Primary School- Meharabad- LQP,28.92376,70.9409,Combined,Punjab,2,2,1296,1038
 132 - Govt. Boys Primary School Pakhiwar (Female),28.92639,70.81223,Female,Punjab,0,2,0,899
 133 - Govt. Boys Primary School Pakhiwar (Male),28.92639,70.81226,Male,Punjab,2,0,1350,0
 169 - Govt. Boys Elementary School Bahar Khakhi (Primary Portion),28.92725,70.70068,Combined,Punjab,2,1,1052,704
 152 - Govt. Boys Primary School Sanghar,28.92761,70.60861,Combined,Punjab,2,1,913,615
 160 - Govt. Girls Primary School Malook Shah Basti Muhammad Ramzan Arain,28.92917,70.66972,Combined,Punjab,2,2,924,741
 16 - Govt.Post Graduate College For Women Liaquatpur (Female),28.92957,70.94678,Female,Punjab,0,2,0,1034
 292 - Govt. Boys High School Kotla Niazi (Male),28.93022,70.7653,Male,Punjab,2,0,1161,0
 293 - Govt. Boys High School Kotla Niazi (Female),28.93022,70.76533,Female,Punjab,0,2,0,927
 168 - Govt. Boys Moadib Primary School Bahar Khakhi,28.93107,70.69181,Combined,Punjab,2,2,788,553
 158 - Govt. Boys Primary School Bagh Arain (Basti Malook Shah),28.93139,70.66778,Combined,Punjab,2,1,752,395
 19 - Govt.Boys Model High School Liaquatpur (Male),28.93145,70.95402,Male,Punjab,2,0,1268,0
 18 - Govt. Girls Primary School Fauji Colony Near Masjid Khizra LQP (Female),28.93185,70.9583,Female,Punjab,0,2,0,1015
 55 - Govt. Boys Primary School Fakhar Abad Fazal Elahi Basti Shah Nawaz Near Qudratabad Khanbela,28.93188,70.94714,Combined,Punjab,1,1,670,514
 285 - Rural Health Center Haroon Abad (P)*,28.93305,70.95277,Combined,Punjab,2,1,782,592
 14 - Govt. Girls Primary School Rashidabad LQP,28.93325,70.95957,Combined,Punjab,2,1,711,572
 272 - Govt. Girls Primary School Chak No.47/A,28.93393,70.9544,Combined,Punjab,1,1,714,596
