PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 287 - Govt. Boys Primary School Chak No. 228/P,28.17672,70.30251,Combined,Punjab,1,1,589,437
 280 - Govt. Boys Elementary School Chak No. 144/P Rahim Yar Khan  (Male),28.178680772333202,70.24052962837571,Male,Punjab,3,0,1409,0
 281 - Govt.Girls Elementary School Chak No. 144/P Rahim Yar Khan  (Female),28.17871,70.24059,Female,Punjab,0,2,0,1047
 286 - Govt. Boys Primary School Chak No. 229/P Rahim Yar Khan  (P)*,28.180139650117265,70.2757169190319,Combined,Punjab,2,1,932,665
 288 - Govt. Boys Primary School Chak No. 222/P Rahim Yar Khan  (P)*,28.183705418220462,70.31199614322473,Combined,Punjab,2,1,825,678
 290 - Govt. Boys Primary School- Chak No. 227/P,28.18374,70.34527,Combined,Punjab,1,1,555,373
 289 - Govt. Boys Elementary School Chak No. 223/P Rahim Yar Khan  (P)*,28.19439202936936,70.33653528487511,Combined,Punjab,2,1,862,590
 279 - Govt. Girls Elementary School Chak No. 143/P Rahim Yar Khan  (P)*,28.198813644539264,70.22279720348736,Combined,Punjab,2,2,1011,808
 284 - Govt. Girls High School Chak No. 140/P,28.19978,70.26763,Combined,Punjab,2,1,843,645
 282 - Govt. Boys High School Chak No.140/P Rahim Yar Khan (Male)  (P)*,28.200861805721964,70.27136661395689,Male,Punjab,3,0,1585,0
 283 - Govt. Boys High School Chak No.140/P Rahim Yar Khan (Female)  (P)*,28.200861805721964,70.2713966139569,Female,Punjab,0,2,0,1251
 277 - Govt. Boys Primary School Chak No.142/P Rahim Yar Khan (Male)  (P)*,28.20165391006533,70.23387487404356,Male,Punjab,3,0,1454,0
 278 - Govt. Girls Elementary School Chak No. 142/P (Female),28.20536,70.23715,Female,Punjab,0,2,0,1187
 276 - Govt. Boys High School- Chak No. 141/P,28.21259,70.23139,Combined,Punjab,1,1,636,490
 285 - Govt. Boys Primary School Chak No. 139/P Rahim Yar Khan,28.21856820794872,70.27386824329318,Combined,Punjab,2,2,1069,809
 210 - Govt. Boys Primary School Chak No.249/P Rahim Yar Khan  (P)*,28.225006270060515,70.4385704346081,Combined,Punjab,1,1,522,385
 275 - Govt. Girls Elementary School Chak No. 131/P Rahim Yar Khan  (P)*,28.229236025346104,70.22994026722807,Combined,Punjab,1,1,628,503
 270 - Govt. Boys Primary School Chak No.138/P Rahim Yar Khan  (P)*,28.23264400200975,70.30517789154045,Combined,Punjab,2,2,1005,734
 274 - Govt. Boys Primary School Chak No. 129/P,28.23788,70.25034,Combined,Punjab,1,1,552,426
 269 - Govt. Girls Elementary School Chak No.137/P Rahim Yar Khan (P)*,28.23869482566582,70.28440696824204,Combined,Punjab,2,1,726,637
