PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 137 - Govt. Primary School Chak No. 185/P,28.02720191860556,69.98943933694478,Combined,Punjab,2,2,1272,773
 19 - Govt. Girls Primary School Mehmood Colony (Mujahid Colony)- Sadiqabad (Male)  (P)*,28.055094511687507,70.00825862161443,Male,Punjab,2,0,1243,0
 191 - Govt. Boys Elementary School Dhandi Sadiq Abad  (P)*,28.070099933841295,69.96111886045377,Combined,Punjab,2,2,994,685
 190 - Govt. Boys Primary School Basti Imtiaz  (Gunji) (P)*,28.07076391486141,69.97542282320849,Combined,Punjab,1,1,760,587
 188 - Govt. Boys Primary School Chak No. 216/P (Male),28.076031764598785,70.01768060896252,Male,Punjab,2,0,1281,0
 194 - Govt. Girls Elementary School Chak No. 205/P Sadiq Abad (P)*,28.08951245932517,69.93951551357387,Combined,Punjab,1,1,559,472
 136 - Govt. Boys High School Chak No.  186/P (Female),28.08960061860451,70.16834833442817,Female,Punjab,0,2,0,966
 186 - Govt. Boys Elementary School Chak No. 264/P (P)*,28.091766016185424,70.02283640937533,Combined,Punjab,2,1,609,389
 189 - Govt. Boys Primary School Chak No. 214/P (Female),28.09267042853758,70.03711011011706,Female,Punjab,0,2,0,1033
 198 - Govt. Primary School Chak No.  203/P (P)*,28.093749471738,69.96478257675616,Combined,Punjab,2,1,631,452
 138 - Govt.Girls Primary School Chak No. 194/P (Male),28.0941936874627,70.12903488759972,Male,Punjab,3,0,1463,0
 199 - Govt. Boys Primary School Basti Adhoja Goth Dargahi (Male),28.103965431189263,69.93899106862892,Male,Punjab,2,0,1137,0
 200 - Govt. Boys Primary School Basti Adhoja Goth Dargahi (Female),28.11127249008502,69.98562941156081,Female,Punjab,0,2,0,794
 178 - Govt. Girls Primary School Chak No. 180/P (P)*,28.117625187298984,70.04693910866193,Combined,Punjab,1,1,550,312
 185 - Govt. Boys Primary School Chak No.  220/P (P)*,28.119691264667832,70.01853433006539,Combined,Punjab,1,1,570,487
 184 - Govt. Boys Elementary School Chak No. 211/P (P)*,28.121236916603028,70.01683129015953,Combined,Punjab,2,1,788,546
 179 - Govt. Girls Primary School Chak No. 200/P,28.12785294850653,70.0466146488156,Combined,Punjab,2,2,948,650
 182 - Govt. Girls Primary School Chak No.  212/P (Male),28.135310791691282,70.00406994534933,Male,Punjab,3,0,1422,0
 177 - Govt. Boys Primary School Chak No. 198/P (P)*,28.139880992839032,70.07450176873716,Combined,Punjab,2,1,986,644
 196 - Govt. Boys Primary School Gheemi (Male),28.14173635492637,69.91984304954045,Male,Punjab,2,0,1009,0
 197 - Govt. Girls Primary School Faiz Mohana Mauza Gheemi (Female),28.14173635492637,69.9198730495404,Female,Punjab,0,2,0,687
 208 - Govt. Girls Primary School Makan Shah  Sadiq Abad (Ahata Laghari) (P)*,28.145588876800563,69.87574523989112,Combined,Punjab,2,1,724,466
