PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 1 - Basic Health Unit Chak 531 TDA,30.0592734,71.1901781,Combined,Punjab,1,1,694,447
 10 - Government Girls Primary School Chak 628 TDA,30.0592734,71.1902081,Combined,Punjab,1,1,579,442
 2 - Government Girls Elementry School Chak 533 TDA,30.0592734,71.1902381,Combined,Punjab,1,1,664,463
 100 - Government Girls High School Basti Pattal KotAddu Mustaqil Sharqi,30.0592734,71.1902681,Combined,Punjab,1,1,384,310
 3 - Government Girls Primary School Chak 536 TDA,30.0592734,71.1902981,Combined,Punjab,1,1,455,302
 101 - Government Girls High School Basti Pattal KotAddu Mustaqil Sharqi,30.0592734,71.1903281,Combined,Punjab,2,1,869,694
 4 - Government boys Elementry school Zubair Abad Chak 617 TDA,30.0592734,71.1903581,Combined,Punjab,2,1,1007,675
 104 - Government Boys Primary School Chak Rodi,30.0592734,71.1903881,Combined,Punjab,1,1,776,567
 5 - Government Model Primary School Chak 619 TDA,30.0592734,71.1904181,Combined,Punjab,1,1,623,474
 105 - Government Boys Primary School Basti Pattal Kot Addu (Female),30.0592734,71.1904481,Female,Punjab,0,2,0,773
 6 - Government Boys Primary School Mumtaz Wala Chak 624 TDA,30.0592734,71.1904781,Combined,Punjab,2,1,950,686
 106 - Government Boys Primary School Chak 153 ML (Waloo Wala),30.0592734,71.1905081,Combined,Punjab,2,1,821,669
 7 - Government Boys Primary School  Chak 620 TDA,30.0592734,71.1905381,Combined,Punjab,1,1,766,511
 107 - Goverment Boys Primary School Chak 526 TDA,30.0592734,71.1905681,Combined,Punjab,1,1,547,474
 8 - Government Boys Primary School 578/B Chak 622 TDA,30.0592734,71.1905981,Combined,Punjab,1,1,757,446
 108 - Government Boys English Medium School Chak 528 TDA,30.0592734,71.1906281,Combined,Punjab,1,1,724,558
 9 - Government Boys Elementry School Chak 626 TDA,30.0592734,71.1906581,Combined,Punjab,1,1,629,414
 10 - Government Girls Primary School Chak 628 TDA,30.0592734,71.1906881,Combined,Punjab,1,1,579,442
 102 - Government Boys Primary School Sultan Wala,30.0592734,71.1907181,Female,Punjab,0,2,0,890
 109 - Government Boys Elementary School Chak 530 TDA,30.0592734,71.1907481,Combined,Punjab,1,1,795,627
 197 - Government Boys High School Sheikh Umer,30.0592734,71.1907781,Combined,Punjab,2,1,904,721
 103 - Government Boys Primary School Basti Pattal Kot Addu (Male),30.0592734,71.1908081,Male,Punjab,2,0,934,0
 11 - Government Girls Community Model School Chak 633 TDA,30.0592734,71.1908381,Combined,Punjab,2,1,928,659
 110 - Govt Maktab School Ghulam Hussain Ghaoon Wala,30.0592734,71.1908681,Combined,Punjab,2,1,825,688
 14 - Government Model Primary School Chak 541 TDA,30.0592734,71.1908981,Combined,Punjab,1,1,822,545
 113 - Government Boys Primary School Chak 151 ML,30.0592734,71.1909281,Combined,Punjab,2,1,853,632
 17 - Government Model Primary School Chak 543 TDA,30.0592734,71.1909581,Combined,Punjab,1,1,538,389
 114 - Government Boys Elementary  School Chak 521 TDA,30.0592734,71.1909881,Combined,Punjab,2,1,837,628
 18 - Government Girls Primary School Chak 544/TDA,30.0592734,71.1910181,Combined,Punjab,1,1,352,259
 115 - Government Girls Elementary School Chak 146 ML (Male),30.0592734,71.1910481,Male,Punjab,2,0,968,0
 19 - Government High School Chak 550/TDA,30.0592734,71.1910781,Combined,Punjab,1,1,415,356
 118 - Government Boys Primary School Chak 149 ML (Male),30.0592734,71.1911081,Male,Punjab,2,0,1031,0
 22 - Government Girls Primary School Chak 546 TDA,30.0592734,71.1911381,Combined,Punjab,1,1,710,448
 12 - Government Girls Primary School Chak 537/TDA,30.0592734,71.1911681,Combined,Punjab,1,1,656,464
 24 - Government Girls Primary School Chak 559 TDA,30.0592734,71.1911981,Combined,Punjab,2,1,841,490
 121 - Government  Boys Primary School Chak 143 ML,30.0592734,71.1912281,Combined,Punjab,2,1,830,569
 26 - Government Girls Primary School Chak 649 TDA,30.0592734,71.1912581,Combined,Punjab,1,1,489,411
 122 - Government Boys Elementary School Habib Wala-Chak 145 ML,30.0592734,71.1912881,Combined,Punjab,1,1,670,475
 27 - Government Boys High School Ghulam Hussain Wala,30.0592734,71.1913181,Combined,Punjab,1,1,478,391
 127 - Government Model Primary School Chak 512 TDA,30.0592734,71.1913481,Combined,Punjab,1,1,699,549
 32 - Government Boys Primary School Surmay Dani,30.0592734,71.1913781,Combined,Punjab,2,1,914,594
 133 - Government Boys High School Chak 518 TDA (Male),30.0592734,71.1914081,Male,Punjab,2,0,1003,0
 39 - Government Model Primary School Chak 582 TDA,30.0592734,71.1914381,Combined,Punjab,1,1,496,362
 134 - Government Girls High School Chak 518 TDA,30.0592734,71.1914681,Combined,Punjab,1,1,677,564
 40 - Government Boys Primary School Chak 583 TDA,30.0592734,71.1914981,Combined,Punjab,1,1,738,558
 251 - Government Girls Primary School Gaji Wala (Male),30.0592734,71.1915281,Male,Punjab,2,0,955,0
 65 - Government Boys Primary School More Wala,30.0592734,71.1915581,Combined,Punjab,1,1,408,363
 253 - Government Girls Primary School Gaji Wala (Male),30.0592734,71.1915881,Male,Punjab,2,0,770,0
 67 - Government Boys Primary School Lombar Wala,30.0592734,71.1916181,Combined,Punjab,1,1,491,435
 161 - Government Boys Primary School Tarandin Wala,30.0592734,71.1916481,Combined,Punjab,1,1,529,376
 243 - Govt. Boys High School Kot Addu New Block Western Side (Male),30.0592734,71.1916781,Male,Punjab,2,0,1646,0
 174 - Government Boys Elementary School Hussain Wala (Male),30.0592734,71.1917081,Male,Punjab,2,0,1289,0
 255 - Government Girls High School Mochi Wala (Female),30.0592734,71.1917381,Female,Punjab,0,2,0,861
 176 - Government Boys Elementary School Hussain Wala (Female),30.0592734,71.1917681,Female,Punjab,0,3,0,1037
 257 - Government Girls High School Mochi Wala (Male),30.0592734,71.1917981,Male,Punjab,2,0,1072,0
 175 - Government Boys Primary School Fazil Wala,30.0592734,71.1918281,Combined,Punjab,1,1,880,654
 256 - Government Girls High School Mochi Wala (Male),30.0592734,71.1918581,Male,Punjab,2,0,891,0
