StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
24,Government Girls Primary school Kamal Korai,29.980685,70.94746833333333,Combined,Punjab,2,2,1020,793
25,Government Boys Primary School Yara Joya  (Male),29.98513833333333,70.91015833333333,Male,Punjab,2,0,957,0
27,Government Boys Primary School Yara Joya (Female),29.98513833333333,70.9101883333333,Female,Punjab,0,2,0,746
20,Government Primary school Bitharay Wala(Male),29.993524999999998,70.942965,Male,Punjab,2,0,1242,0
22,Government Boys School Bitharay Wala (Female),29.993524999999998,70.942995,Female,Punjab,0,2,0,990
30,Government Boys Primary School Bhadar Mahara,29.993834999999997,70.99518166666667,Combined,Punjab,1,1,229,193
63,Government Boys Primary School Maher Shah,29.99603833333333,71.016265,Combined,Punjab,1,1,685,652
31,Government Boys Primary School Sonhara shah,30.00031,71.02731,Combined,Punjab,2,2,673,562
23,Government Primary school Khulang Shumali,30.002563333333335,70.90484666666666,Combined,Punjab,2,1,881,686
67,Government Girls Primary School Sonhara Shah,30.0036,71.01405,Female,Punjab,0,2,0,978
13,Government Boys Primary School Patti Sikhani,30.013494999999995,70.85788,Combined,Punjab,1,1,181,112
32,Government Boys High School Jhangra,30.01368847193748,71.00677452893522,Combined,Punjab,2,1,532,406
62,Government Girls Primary school Barah sadat,30.01507549,71.02088625,Combined,Punjab,1,1,650,579
60,Government Boys Primary School Nawan Akhter Abad (Chack Jhamboo),30.021466666666665,71.03599666666668,Combined,Punjab,1,1,370,304
64,Government Boys Primary School Nawan Akhter Abad (Chack Jhamboo),30.021466666666665,71.0360266666667,Combined,Punjab,1,1,226,191
61,Government Boys Middle school Barah Saddat,30.0215312,71.02005602,Combined,Punjab,2,1,786,687
33,Government Girls Middle School Aali Daha  (Male),30.022572092558807,70.9937237658755,Male,Punjab,2,0,812,0
35,Government Girls Middle School Aali Daha (Female),30.022572092558807,70.9937537658755,Female,Punjab,0,2,0,704
34,Government Boys Primary School Bakhsh Wala,30.028576371088544,70.99440517355788,Male,Punjab,2,0,1055,0
36,Government Boys Primary School Bakhsh Wala (Female),30.028576371088544,70.9944351735579,Female,Punjab,0,2,0,817
68,Government Girls Primary School Kalar Perhar,30.03742326860245,71.00290880135219,Combined,Punjab,1,1,474,413
15,Government Boys Primary School Wali Dad Khulang,30.037913333333336,70.91554333333333,Combined,Punjab,2,1,647,490
16,Government Girls Primary school Bait Wali daad Khulang,30.03844333333333,70.92265166666667,Combined,Punjab,2,1,781,679
41,Government Boys Middle school Kot Lashari,30.05446298596712,70.982112402448,Combined,Punjab,2,1,821,695
