StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
104,Government BOYS PRIMARY SCHOOL SHAKIR BELA (IMPROVISED) (Combined),29.5115168,70.8485997,Combined,Punjab,1,1,343,262
17,Basic Health Unit- Qadir Pur (Combined),29.65882,71.18892,Combined,Punjab,1,1,1530,1229
16,Government  Girls Primary School Saleh (Female),29.66029,71.19631,Female,Punjab,0,2,0,640
15,Government  Boys Primary School Saleh (MALE),29.66039,71.19621,Male,Punjab,2,0,766,0
40,Government  Boys Primary School Mahal Khakhi Junubi  (Male),29.703329999999998,71.09221166666666,Male,Punjab,2,0,1403,0
42,Government  Boys Primary School Mahal Khakhi Junubi  (Female),29.703329999999998,71.0922416666667,Female,Punjab,0,2,0,1173
44,Government  Girls Primary School Mahal Khakhi Janubi (Combined),29.703329999999998,71.0922716666667,Combined,Punjab,1,1,450,407
43,Government  Girls Primary School Mahal Khakhi Janubi (Combined),29.703329999999998,71.0923016666667,Combined,Punjab,1,1,658,549
18,Government  Boys Primary School Gangha (Combined),29.70925666666667,71.13289,Combined,Punjab,1,1,915,754
19,Government  Boys Primary School Mahal Khakhi (Combined),29.71458,71.09273666666667,Combined,Punjab,1,1,673,543
22,Government Girls Primary School Mahal Khakhi (Combined),29.71458,71.0927666666667,Combined,Punjab,1,1,772,630
20,Government  Boys High School Bangal Wali- Mahal Khakhi (Combined),29.723155,71.111785,Combined,Punjab,2,2,1099,918
21,Government  Boys High School Bangal Wali-Mahal Khakhi  (Combined),29.723155,71.111815,Combined,Punjab,1,1,936,715
56,Basic Health Unit- Mochi Wala (Male),29.73459666666667,71.12940666666667,Male,Punjab,2,0,1156,0
53,Government  Girls Primary School Mochi Wala  (Male),29.734615,71.12874000000001,Male,Punjab,2,0,1372,0
55,Government  Girls Primary School Mochi Wala  (Female),29.734615,71.12875333333334,Female,Punjab,0,2,0,1078
52,Government  Boys Primary School Mochi wala (Male),29.734618333333334,71.12873333333333,Male,Punjab,2,0,1470,0
57,Government Boys Primary School Mochi Wala (Female),29.734618333333334,71.1287633333333,Female,Punjab,0,1,0,928
51,Government  Girls Primary School Makhan Bela (Korai wala) (Combined),29.73762166666667,71.10760499999999,Combined,Punjab,1,1,619,480
1,Government  Girls Primary School Patti Dereg (Combined),29.74688,71.07994,Combined,Punjab,1,1,714,600
2,Government  Girls Primary School Patti Dereg (Combined),29.74688,71.07997,Combined,Punjab,1,1,833,676
3,Government  Boys Primary School Patti Dereg (Combined),29.74688,71.08,Combined,Punjab,1,1,755,591
48,Government  Girls Primary School Makhan Bela (Male),29.75094,71.10758,Male,Punjab,2,0,1079,0
49,Government  Girls Primary School Makhan Bela  (Female),29.75094,71.10761,Female,Punjab,0,1,0,816
46,Government  Girls Primary School Makhan Bela (Combined),29.75095666666667,71.107665,Combined,Punjab,1,1,625,485
47,Government  Boys Primary School Makhan Bela (Combined),29.75095666666667,71.107695,Combined,Punjab,1,1,1133,907
50,Government  Girls Primary School Makhan Bela (Combined),29.75095666666667,71.107725,Combined,Punjab,1,1,857,682
5,Government  Boys Higher Secondary School Rohilan wali (Male),29.75847,71.06583,Male,Punjab,2,0,1348,0
6,Government  Boys Higher Secondary School Rohilan wali (Female),29.75847,71.06586,Female,Punjab,0,2,0,1090
4,Government  Boys Higher Secondary School Rohilan Wali (Combined),29.75847,71.06589,Combined,Punjab,1,1,545,441
7,Government  Boys Higher Secondary School Rohilan wali (Combined),29.75847,71.06592,Combined,Punjab,1,1,888,775
8,Government  Girls High School Rohilan Wali  (Combined),29.75951,71.06707,Combined,Punjab,1,1,1338,1083
9,Government  Girls High school Rohilan Wali  (Combined),29.75951,71.0671,Combined,Punjab,2,2,596,476
23,Government  Boys Primary School Jhandy Wali (Adam Khakhi)  (Male),29.7651423,71.0685916,Male,Punjab,2,0,702,0
24,Government  Boys Primary School Jhandy wali (Adam Khakhi)  (Female),29.7651423,71.0686216,Female,Punjab,0,2,0,525
25,Government  Girls Primary School Jhandy Wali (Combined),29.7651423,71.0686516,Combined,Punjab,3,3,1531,1161
26,Government  Boys Primary School Kandi Balochan (Combined) Order#136 (13.6.18),29.7651423,71.0686816,Combined,Punjab,2,2,1443,1184
39,Government  Boys High School Barahim Wali  (Male),29.766901998675767,71.12993105755311,Male,Punjab,1,0,817,0
38,Government  boys High School Barahim Wali (Combined),29.766901998675767,71.1299610575531,Combined,Punjab,1,1,891,648
41,Government  Boys High School Barahim Wali   (Female),29.766901998675767,71.1299910575531,Female,Punjab,0,1,0,613
10,Government  boys Primary School Chatwahin(Male),29.7707167,71.0696775,Male,Punjab,2,0,1733,0
