PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 83 - Girls Middle School  Basti Kalaray (Combined),30.10087123629275,70.58855979055372,Combined,Punjab,2,2,1107,823
 98 - Middle School Bela.(Combined),30.103628497516617,70.49934738331926,Combined,Punjab,1,1,446,336
 119 - Girls Primary School- Saddat (Basti Solani) (Combined),30.25653703,70.30584444,Combined,Punjab,1,1,243,166
 113 - Boys Primary School- Dab Jehanani (Combined),30.26511008,70.20094366,Combined,Punjab,1,1,558,199
 45 - BOYS PRIMARY SCHOOL MURAD DASTI(COMBINED),30.28993356,70.6422172,Combined,Punjab,2,1,696,407
 114 - Improvised Polling Station Basti Dezo (Combined),30.30791924,70.24760078,Combined,Punjab,1,1,403,172
 112 - Boys Primary School- Johand Thal (Basti Haji Sharbat) (Combined),30.3165625,70.18269876,Combined,Punjab,1,1,640,322
 104 - Boys Primary School Basti Rahim Bakhash (Combined),30.32070803,70.047132,Combined,Punjab,1,1,510,357
 118 - Boys Primary School- Lophani Duf (Combined),30.37058394,70.29055248,Combined,Punjab,1,1,315,164
 105 - Veternery Dispencery Puwa (Combined),30.54654753,70.11102939,Combined,Punjab,1,1,324,177
