PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 100 - GPS Dakrai Jeha,27.730445161338206,68.43474032526235,Combined,Sindh,2,2,783,787
 120 - GPS Village Drigpur,27.732554478500454,68.57029667190216,Combined,Sindh,2,2,717,670
 98 - GPS Tajo Dero,27.738539321085792,68.4583153152448,Combined,Sindh,2,2,694,542
 99 - GPS Chango Rahooja,27.745685315727535,68.43694837530413,Combined,Sindh,2,2,933,869
 12 - GGHS Madeji,27.751447319077048,68.44836010403574,Combined,Sindh,2,2,962,774
 13 - GGPS Madeji-II,27.75168328927496,68.44813457135037,Combined,Sindh,2,2,1022,814
 14 - GPS Main Madeji,27.75175721811473,68.4477730787532,Combined,Sindh,2,1,648,600
 96 - GPS Panhwar Bhutta,27.753829900891397,68.48427597048664,Combined,Sindh,1,1,449,393
 15 - GGPS Madeji near Bazaar,27.754969621561603,68.45391811294532,Combined,Sindh,1,1,441,281
 92 - GMS Tarai,27.755381615320573,68.42457553566676,Combined,Sindh,2,2,1073,785
 9 - GPHS Madeji (Male),27.75576403245491,68.45357849975503,Male,Sindh,3,0,1228,0
 10 - GPHS Madeji (Female),27.75580311837147,68.45360630043125,Female,Sindh,0,3,0,1106
 87 - GMS Aachar Sadhayo (Male),27.75713942712073,68.36669091447487,Male,Sindh,2,0,1061,0
 88 - GMS Aachar Sadhayo (Female),27.75713942712073,68.3667209144749,Female,Sindh,0,2,0,971
 85 - GHS Chatto Mangi (Male),27.76075675525591,68.38485990219252,Male,Sindh,4,0,1889,0
 86 - GHS Chatto Mangi (Female),27.76076838512477,68.38481275084713,Female,Sindh,0,4,0,1700
 119 - GPS Rab Nawaz Khan Mangnejo,27.76539,68.60632,Combined,Sindh,1,1,527,374
 93 - GBPS Jindo Dero,27.768403991138747,68.46506449264841,Combined,Sindh,2,2,546,491
 94 - GGPS Jindo Dero,27.768403991138747,68.4650944926484,Combined,Sindh,2,2,548,456
 117 - GPS Unar,27.771264455501843,68.56094504340102,Combined,Sindh,2,2,952,818
 95 - Channa Juneja,27.77416,68.45128,Combined,Sindh,2,2,737,622
 116 - GPS Munam Abad,27.77723467187432,68.56519521282549,Combined,Sindh,2,2,855,758
 103 - GPS Allah Dadani,27.78031032775238,68.53679785706058,Combined,Sindh,1,1,476,392
 89 - GPS Jaro Hajam,27.78295054412314,68.39250498023121,Combined,Sindh,2,1,549,457
 110 - GPS Sher Muhammad Ji Wandh,27.78473409964031,68.53473015426712,Combined,Sindh,2,2,743,592
 118 - GPS Chaneeh Ji Wandh,27.785741878708038,68.60102854857257,Combined,Sindh,2,1,659,555
 106 - GPS Gaheja-1,27.789474045668037,68.50041989705686,Combined,Sindh,2,1,610,535
 104 - GHS Gaheja  (Male),27.79284507322269,68.50332886164863,Male,Sindh,3,0,1178,0
 105 - GHS Gaheja (Female),27.79284507322269,68.5033588616486,Female,Sindh,0,3,0,1038
 194 - GPS (B) Jahan Khan (Male),27.794625504987238,68.76550300751211,Male,Sindh,4,0,1207,0
 195 - GPS (G) Jahan Khan (Female),27.794625504987238,68.7655330075121,Female,Sindh,0,3,0,936
 112 - GGPS Arain (Female),27.79656,68.47836,Female,Sindh,0,3,0,1072
 77 - GPS Dakhan  (Female),27.79666398008307,68.40449375291415,Female,Sindh,0,4,0,1346
 76 - GPS Dakhan  (Male),27.796705857808174,68.40444243292278,Male,Sindh,4,0,1567,0
 91 - GGES Pir Chandam (Female),27.79787,68.42067,Female,Sindh,0,4,0,1430
 101 - GBPS Salar Jakhro (Male),27.79858,68.44681,Male,Sindh,4,0,1389,0
 102 - GGPS Salaar Jakhro (Female),27.79868,68.44685,Female,Sindh,0,4,0,1271
 74 - GPS Loungani  (Male),27.80061673900803,68.39296246278656,Male,Sindh,3,0,1233,0
 75 - GPS Loungani  (Female),27.800653745519906,68.39311951440331,Female,Sindh,0,3,0,1129
 196 - GPS (B) Qasim,27.802123694391092,68.77893162723007,Combined,Sindh,2,2,668,556
 197 - GPS (G) Qasim,27.80342589441113,68.77879111397966,Combined,Sindh,2,2,663,634
 193 - GPS (B) Loung Labano,27.80572,68.69626,Combined,Sindh,1,1,356,309
 27 - GMS Dodo Detho,27.8077,68.75298,Combined,Sindh,2,2,1055,809
 191 - GMS (B) Dodo,27.807703115550094,68.7529800149058,Combined,Sindh,2,2,968,797
 113 - GHS Mirzanpur (Male),27.808443405425937,68.573038080842,Male,Sindh,4,0,1417,0
 51 - GMS (B)  Daud Ji Wandh (Female),27.808535953444885,68.54325361449403,Female,Sindh,0,4,0,1387
 50 - GMS (B)  Daud Ji Wandh (Male),27.808589025565233,68.54326706387201,Male,Sindh,4,0,1408,0
 49 - GPS Allah Warayo Buriro,27.80905,68.51867,Combined,Sindh,2,1,642,565
 70 - GPS Koreja,27.80929,68.37193,Combined,Sindh,1,1,431,377
 199 - GPS (B) Aghan Mahar,27.810352964932616,68.80405312529305,Combined,Sindh,2,2,766,601
 52 - GPS Daro,27.810498747024933,68.56346340602718,Combined,Sindh,1,1,467,400
 198 - GPS (B) Beechanji,27.810682726953083,68.79254632216227,Combined,Sindh,2,1,680,470
 114 - GPS Mirzanpur (Female),27.811209353757494,68.57316383361915,Female,Sindh,0,3,0,1123
 115 - GGPS Mirzanpur,27.811209353757494,68.5731938336191,Combined,Sindh,2,2,518,499
 72 - GPS Photo,27.816037415722565,68.3323690340603,Combined,Sindh,2,2,883,761
 58 - GPS New Amrote (Female),27.818165519903864,68.59777864006323,Female,Sindh,0,3,0,1165
 57 - GPS New Amrote (Male),27.81817,68.59778,Male,Sindh,3,0,1274,0
 69 - GPMS Sangi,27.81967421311866,68.37460815382897,Combined,Sindh,2,2,710,533
 109 - GMS Dari Jakhri,27.82226,68.45194,Combined,Sindh,2,2,1038,747
 145 - GPS Naper (Male),27.822416766752703,68.7825773128807,Male,Sindh,2,0,1071,0
 146 - GPS (B) Naper (Female),27.822442197842097,68.78262073802769,Female,Sindh,0,2,0,839
 56 - GPS Phohyari,27.82527,68.63003,Combined,Sindh,2,2,998,849
 147 - GPS (B) Nooro (Male),27.82564964083858,68.76333366671679,Male,Sindh,4,0,1365,0
 148 - GPS (B) Nooro (Female),27.825709504956976,68.76332045894398,Female,Sindh,0,3,0,1148
 153 - GPS (B) Bud Goth,27.82695233864044,68.7975536227106,Combined,Sindh,1,1,411,360
 73 - GPS Amir Bux Jeho,27.827575412386107,68.3958305678788,Combined,Sindh,2,2,754,665
 68 - BHU Ali Khan (Female),27.82854,68.42265,Female,Sindh,0,3,0,984
 143 - GHS Boys Abdu (Male),27.830550903648028,68.77603681425147,Male,Sindh,3,0,1237,0
 144 - GHS (B) Abdu (Female),27.830580904112004,68.77603716925368,Female,Sindh,0,3,0,1043
 71 - GPS Markhiani,27.83214241422941,68.34086553364104,Combined,Sindh,2,1,654,557
 67 - GPS Ali Khan (Male),27.832993950384218,68.42396596784415,Male,Sindh,4,0,1142,0
 152 - GPS (B) Morani,27.83697,68.79679,Combined,Sindh,2,1,462,411
 161 - GBPS Nimoro (Female),27.83837,68.79169,Female,Sindh,0,3,0,911
 45 - GPS Ishaque Dero,27.839242006918344,68.5019840808696,Combined,Sindh,1,1,420,388
