PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 150 - Govt: Primary/Middle School Koo Malam Jabba (Combined),34.8099,72.56672,Combined,KPK,2,1,859,650
 119 - Govt: Primary School Kot Charbagh (Male),34.81688,72.42668,Male,KPK,3,0,1819,0
 120 - Govt: Girls Primary School Kot Charbagh (Female),34.8172,72.42699,Female,KPK,0,2,0,1398
 139 - Govt: High School Sair (Male),34.82291,72.50897,Male,KPK,3,0,2072,0
 142 - Govt: Girls Middle School Taligram (Female),34.8232,72.49397,Female,KPK,0,2,0,1440
 141 - Govt: Girls Primary School Taligram (Male),34.82606,72.49556,Male,KPK,3,0,1884,0
 140 - Govt: Primary School No.2 Sair (Female),34.82803,72.52397,Female,KPK,0,2,0,1546
 122 - Govt: Primary School No.1 Charbagh (Male),34.83147,72.44064,Male,KPK,2,0,1321,0
 113 - Govt: Higher Secondary School Charbagh Right Side (Male),34.83178,72.44094,Male,KPK,3,0,1895,0
 115 - Govt: Higher Secondary School Charbagh Left Side (Male),34.83178,72.44097,Male,KPK,2,0,1344,0
 118 - Govt: Girls Primary School No.2 Charbagh (Female),34.83395,72.43553,Female,KPK,0,2,0,1761
 114 - Govt: Girls Higher Secondary School Charbagh Secondary Section (Female),34.83401,72.43562,Female,KPK,0,2,0,1546
 116 - Govt: Girls Higher Secondary School Charbagh Higher Section (Female),34.83401,72.43565,Female,KPK,0,2,0,1094
 121 - Govt: Darul Uloom Islamia Charbagh  (Combined),34.83425,72.44195,Combined,KPK,2,1,1049,874
 123 - Govt: Middle School Charbagh (Female),34.83432,72.44204,Female,KPK,0,2,0,1039
 117 - Govt: Primary School No.2 Charbagh (Male),34.83515,72.44373,Male,KPK,3,0,2229,0
 148 - Govt: Girls Primary School Speni Oba  (Combined),34.8372,72.57075,Combined,KPK,2,1,928,696
 147 - Govt: Higher Secondary School Kishawra  (Combined),34.84439,72.54707,Combined,KPK,2,1,1085,777
 135 - Govt: Girls Middle Primary School Alabad (Female),34.84756,72.44729,Female,KPK,0,2,0,1630
 124 - Govt: Primary School Mangwaltan  (Combined),34.84939,72.48346,Combined,KPK,1,1,767,613
 134 - Govt: Primary School Alabad  (Male),34.85031,72.44413,Male,KPK,3,0,2233,0
 126 - Govt: Girls Primary School Zangay (Combined),34.85229,72.49167,Combined,KPK,1,1,601,484
 136 - Govt: Girls Primary School Tetai Wala  (Combined),34.85507,72.46169,Combined,KPK,1,1,689,522
 144 - Govt: Primary School No.1 Toha  (Combined),34.85512,72.52422,Combined,KPK,1,1,591,489
 146 - Govt: Girls Primary School Shaltaloo  (Combined),34.86061,72.55627,Combined,KPK,1,1,858,673
 125 - Govt: Primary School Ashar Banr  (Combined),34.86102,72.49245,Combined,KPK,2,1,845,666
 143 - Govt: High School Toha (Combined),34.8634,72.52293,Combined,KPK,1,1,718,604
 133 - Govt: Primary School Dakorak  (Combined),34.86425,72.43804,Combined,KPK,2,1,870,637
 132 - Govt: Middle School Dakorak  (Combined),34.86435,72.43864,Combined,KPK,2,1,925,702
 138 - Govt: Girls Primary School Rorya (Female),34.87234,72.47552,Female,KPK,0,2,0,985
 137 - Govt: Primary School Rorya (Male),34.87365,72.47549,Male,KPK,2,0,1281,0
 129 - Govt: High School Gulibagh (Male),34.8757,72.43764,Male,KPK,2,0,1656,0
 131 - Govt: Primary School Gulibagh  (Combined),34.87587,72.43783,Combined,KPK,1,1,552,410
 130 - Govt: Girls Primary School Gulibagh (Female),34.87635,72.43814,Female,KPK,0,2,0,1237
 153 - Govt: Primary School Mangar Kot  (Combined),34.87691,72.57172,Combined,KPK,2,1,884,752
 151 - Govt: Middle School Ganajir  (Combined),34.88134,72.54981,Combined,KPK,2,1,1140,944
 152 - Govt: Primary School  Serai  (Combined),34.88412,72.57666,Combined,KPK,1,1,566,507
 183 - Govt: Primary School Ordam  (Combined),34.89668,72.57287,Combined,KPK,2,1,926,730
 182 - Govt: Girls High School Chamtalai (Female),34.90044,72.57096,Female,KPK,0,2,0,1026
 127 - Govt: Middle School Alamganj (Male),34.90394,72.44831,Male,KPK,4,0,2346,0
 128 - Govt: Primary School Alamganj (Female),34.90394,72.44834,Female,KPK,0,3,0,1812
 178 - Govt: Girls Primary School Baboo (Female),34.9045,72.51955,Female,KPK,0,2,0,1086
 179 - Govt: Primary School Dandy (Male),34.90499,72.51714,Male,KPK,2,0,1440,0
 184 - Govt: High School Topsin  (Combined),34.91008,72.53436,Combined,KPK,2,1,856,664
 162 - Govt: Girls Primary School Gashkor (Combined),34.91375,72.45158,Combined,KPK,2,2,1282,1002
 217 - Govt: High School Tarogay (Combined),34.91985,72.56353,Combined,KPK,2,2,1118,984
 181 - Govt: Higher Secondary School Chamtalai (Male),34.92177,72.52533,Male,KPK,2,0,1288,0
 161 - Govt: Girls Primary School Bandai Khwazakhela (Female),34.92546,72.4627,Female,KPK,0,2,0,1643
 160 - Govt: Primary School Bandai Khwazakhela (Male),34.92553,72.46273,Male,KPK,3,0,2056,0
 216 - Govt: Girls Primary School Jeshar Semi Improvised (Female),34.92599,72.54836,Female,KPK,0,2,0,798
 180 - Govt: Girls Primary School Dandy Improvised (Female),34.92616,72.51205,Female,KPK,0,2,0,1153
 177 - Govt: Primary School Baboo (Male),34.92777,72.50357,Male,KPK,2,0,1372,0
 176 - Govt. Primary School Mashkomai (Female),34.92826,72.50364,Female,KPK,0,2,0,1015
 155 - Govt: Girls Primary School  Bhatai- Khwaza khela (Female),34.92933,72.464,Female,KPK,0,2,0,1790
 156 - Govt: High School Bhatai Khwazakhela  (Male),34.92992,72.46547,Male,KPK,2,0,1247,0
 175 - Govt: Girls Primary School Mashkomai  (Male),34.93061,72.52961,Male,KPK,2,0,1165,0
 174 - Govt: Primary School Shaloon (Combined),34.93566,72.54641,Combined,KPK,2,1,893,677
 154 - Govt: Primary School Khwazakhela (Male),34.93645,72.47459,Male,KPK,4,0,2256,0
 157 - Govt: Primary School  Kuz Kelay Khwazakhela Left Side (Female),34.93749,72.46522,Female,KPK,0,2,0,1000
 159 - Govt: Primary School  Kuz Kalay Khwazakhela Right Side (Female),34.93749,72.46525,Female,KPK,0,2,0,1393
 163 - Govt: Primary School Landay Kass Khwazakhela (Male),34.93781,72.47873,Male,KPK,3,0,2524,0
 168 - Govt: Girls High School Langar (Male),34.93912,72.47858,Male,KPK,3,0,2034,0
 169 - Govt: Girls Primary School Langar (Female),34.93919,72.47839,Female,KPK,0,2,0,1636
 171 - Govt: Girls Middle School Janoo (Female),34.94058,72.48587,Female,KPK,0,2,0,1619
 170 - Govt: High School Janoo (Male),34.94093,72.48656,Male,KPK,3,0,1930,0
 158 - Govt: Higher Secondary School Khwazakhela (Male),34.94111,72.46967,Male,KPK,2,0,1750,0
 164 - Govt: Girls Primary School Khwazakhela (Female),34.94153,72.46857,Female,KPK,0,2,0,1893
 165 - Govt: Primary School Tekdarai (Male),34.94522,72.46682,Male,KPK,2,0,1671,0
 212 - Govt: High School Shalpin (Male),34.94594,72.52152,Male,KPK,3,0,2011,0
 211 - Govt: Primary School Borray   (Combined),34.94614,72.52183,Combined,KPK,1,1,636,506
 213 - Govt: Girls High School Shalpin (Female),34.94724,72.52589,Female,KPK,0,2,0,1721
 166 - Govt: Girls Primary School Tekdarai (Female),34.94902,72.46468,Female,KPK,0,2,0,1309
 215 - Govt: Primary School Jeshar (Male),34.94928,72.5638,Male,KPK,2,0,997,0
 209 - Govt: Middle School Faqira (Male),34.95555,72.54933,Male,KPK,2,0,1648,0
 208 - Govt: Primary/Middle School Jaray (Combined),34.95556,72.54933,Combined,KPK,2,1,1187,779
 232 - Govt: Degree College Khwazakhela at Dop (Combined),34.95624,72.46653,Combined,KPK,2,2,1009,805
 167 - Govt: Primary School Dambara  (Combined),34.95626,72.4863,Combined,KPK,2,2,1413,1051
 233 - Govt: Primary School Chalyar (Male),34.95652,72.46648,Male,KPK,4,0,1695,0
 210 - Govt: Primary School Faqira (Female),34.95981,72.5096,Female,KPK,0,2,0,1307
 173 - Govt: Primary School Chinkolai (Female),34.96252,72.52527,Female,KPK,0,2,0,1459
 172 - Govt: Middle School Chinkolai (Male),34.96272,72.52583,Male,KPK,3,0,1806,0
 229 - Govt:  Primary School Kuza Asala (Female),34.97454,72.49482,Female,KPK,0,2,0,1239
 228 - Govt: High School Asala (Male),34.98032,72.46977,Male,KPK,2,0,1446,0
 227 - Govt: Girls Primary School Shin (Female),34.98347,72.47086,Female,KPK,0,3,0,1835
 234 - Govt: Girls Primary School Chalyar (Female),34.98806,72.47019,Female,KPK,0,3,0,1331
 236 - Govt: Primary School Kotanai (Male),34.99013,72.47017,Male,KPK,2,0,1316,0
 235 - Basic Health Unit Kotanai (Combined),34.99183,72.47378,Combined,KPK,2,1,1025,871
 237 - Govt: Girls Primary School Kotanai (Female),34.99584,72.47105,Female,KPK,0,2,0,993
 218 - Govt: Middle School Dad (Combined),35.00294,72.52406,Combined,KPK,2,1,1111,914
 219 - Govt: Middle School Bar Bargain (Male),35.0031,72.52396,Male,KPK,3,0,2103,0
 225 - Govt: Primary School Degan Lakhar (Combined),35.01796,72.47047,Combined,KPK,1,1,649,528
 29 - Govt: Primary School Serai Lalkoo (Female),35.0204,72.45873,Female,KPK,0,2,0,1437
 1 - Govt: Primary School Asharay (Male),35.02058,72.45911,Male,KPK,2,0,1168,0
 2 - Govt: Middle School Asharay (Male),35.02058,72.45914,Male,KPK,2,0,1173,0
 224 - Govt: Middle School Lakhar (Combined),35.02332,72.51622,Combined,KPK,2,2,1118,893
 39 - Govt: Middle School Ramait Improvised (Male),35.02393,72.45789,Male,KPK,2,0,1700,0
 223 - Govt: Girls Primary School Naway Kalay Ghar Shin (Combined),35.02497,72.50754,Combined,KPK,2,2,1179,973
 226 - Govt: Primary School Shin (Male),35.02523,72.47286,Male,KPK,4,0,2286,0
 49 - Govt: Primary School Areen (Rented) Improvised (Combined),35.02591,72.44463,Combined,KPK,1,1,789,633
 222 - Govt: Primary School No.2 Naway Kalay Shin  (Combined),35.0282,72.47526,Combined,KPK,2,1,1148,885
 220 - Govt: Primary School Bar Bargain Semi Improvised (Female),35.04064,72.47629,Female,KPK,0,3,0,1672
 221 - Govt: Primary School No.1 Naway Kalay Shin   (Combined),35.04199,72.48195,Combined,KPK,1,1,716,603
