PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 218 - Government Primary School  Muhammad Punhal Mugheri Male  First Portion,27.364323,67.8095906,Male,Sindh,2,0,1068,0
 219 - Government Primary School  Muhammad Punhal Mugheri Female  Second Portion,27.364323,67.8096206,Female,Sindh,0,2,0,849
 179 - Government Primary School Soharo Khoso Male  First Portion,27.364323,67.8096506,Male,Sindh,2,0,1062,0
 180 - Government Primary School Soharo Khoso Female Second Portion,27.364323,67.8096806,Female,Sindh,0,2,0,779
 198 - Government Primary School Moladino Khoso Combined,27.364323,67.8097106,Combined,Sindh,2,2,1081,746
 204 - Government Primary School Wali Dino Khoso First Portion Combined,27.364323,67.8097406,Combined,Sindh,1,1,565,411
 205 - Government Primary School Wali Dino Khoso Second Portion Combined,27.364323,67.8097706,Combined,Sindh,1,1,501,340
 202 - Government Middle School  Miran Machi Combined,27.364323,67.8098006,Combined,Sindh,2,2,769,713
 201 - Government Primary School Jamal Khan Magsi Combined,27.364323,67.8098306,Combined,Sindh,2,2,789,693
 200 - Government Girls Primary School New Khabar Combined,27.364323,67.8098606,Combined,Sindh,2,2,980,712
 203 - Government Primary School Manjhi Gopang Combined,27.364323,67.8098906,Combined,Sindh,2,2,702,410
 188 - Government Primary School Miskeen Pur Combined,27.364323,67.8099206,Combined,Sindh,1,1,577,460
 191 - Government Primary School Bharmee Combined,27.364323,67.8099506,Combined,Sindh,1,1,719,684
 194 - Government Primary School Usman Brohi Combined,27.364323,67.8099806,Combined,Sindh,2,2,813,593
 192 - Government Primary School Jam Khoso Combined,27.364323,67.8100106,Combined,Sindh,2,2,886,695
 193 - Government Primary School Ghulam Ali Magsi Combined,27.364323,67.8100406,Combined,Sindh,2,2,853,645
 195 - Government Primary School Fida Hussain Brohi Combined,27.364323,67.8100706,Combined,Sindh,2,2,806,555
 178 - Government Middle School Ali Ji Wand Combined,27.364323,67.8101006,Combined,Sindh,2,2,758,570
 177 - Government Primary School Mubark Kalhoro  Combined,27.364323,67.8101306,Combined,Sindh,2,2,881,784
 131 - Government Primary School Chakar Sultan Combined,27.364323,67.8101606,Combined,Sindh,2,2,681,543
 129 - Government Primary School Shah jo Lao Combined,27.364323,67.8101906,Combined,Sindh,2,2,853,663
 125 - Government Primary School Lukman Siyal Combined,27.5661698,68.2063015,Combined,Sindh,2,2,810,678
