PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 134 - GPS Muhammad Nawaz Shambhani (Com)  (already shifted to this school from GPS Shoukat Abad during local bodies election),27.23202706,69.10102796,Combined,Sindh,2,2,927,685
 131 - GPS Lal Dino Bhambro (Male) (P),27.24308334,69.03187421,Male,Sindh,3,0,1345,0
 132 - GPS Lal Dino Bhambro (Female) (P),27.24308334,69.03190421,Female,Sindh,0,2,0,834
 128 - GPS Shahbaz Dino Khorkhani (Com) (P),27.24462569,68.98908957,Combined,Sindh,2,1,869,689
 127 - GPS Bakhshan Khan Chakrani (Com) (P),27.26768576,69.00328741,Combined,Sindh,2,2,786,630
 124 - GPS Toryoon (Com) (P),27.2772232,68.9962527,Combined,Sindh,2,2,739,650
 135 - GPS Muhammad Nawaz Shambani (Com),27.2932525,69.07050862,Combined,Sindh,1,1,587,419
 125 - GPS Haji Khan Shambhani (Male) (P),27.30177787,68.9981973,Male,Sindh,2,0,1067,0
 126 - GPS Haji Khan Shambhani (Female) (P),27.30177787,68.9982273,Female,Sindh,0,2,0,945
 133 - GPS Ghulam Sarwar Shambani (Com) (P),27.31995017,69.05976588,Combined,Sindh,2,1,623,433
 141 - GPS Garhar (Com) (P),27.32329914,69.33822471,Combined,Sindh,1,1,377,212
 129 - GPS Soonahro Faqeer (Com) (P),27.32527082,69.02053698,Combined,Sindh,2,2,794,596
 123 - GPS Januji (Male) (P),27.34257319,68.98434226,Male,Sindh,3,0,1379,0
 122 - GHS Januji (Female) (P),27.34507671,68.98604103,Female,Sindh,0,2,0,1022
 130 - GPS Khabri Bhitt(Com) (P),27.35428688,69.02390893,Combined,Sindh,2,1,645,550
 139 - GPS Allah Warayo Bhambro (Com) (P),27.37639336,69.03371399,Combined,Sindh,2,2,921,763
 119 - BHU Himmat Shah (Male) (P),27.39063063,69.00371288,Male,Sindh,2,0,1108,0
 120 - BHU Himmat Shah (Female) (P),27.39063063,69.00374288,Female,Sindh,0,2,0,1020
 142 - GPS Wahid Dino Jhundo (Com),27.40617149,69.08135143,Combined,Sindh,2,2,888,713
 118 - GPS Muhammad Bux Bhambro (Com) (P),27.42243219,69.0076739,Combined,Sindh,2,2,865,786
 138 - GPS Ghulam Hussain Bhambro (Com) (P),27.44259814,69.07122399,Combined,Sindh,2,1,740,579
 117 - Govt: Ring Sirangwaro (Partly) (Imp) (Com) (P),27.46155081,69.3449762,Combined,Sindh,1,1,183,115
 140 - GPS Ali Murad Mangrio (Com) (P),27.46661963,69.08353241,Combined,Sindh,2,2,790,642
 136 - GBPS Kot Sraiko (Male) (P),27.46795556,69.02260277,Male,Sindh,2,0,1115,0
 137 - GBPS Kot Sraiko (Female) (P),27.46795556,69.02263277,Female,Sindh,0,2,0,953
 121 - GMS Wadhyal Shah (Com) (P),27.47785788,68.99977341,Combined,Sindh,2,2,949,721
 112 - GPS Saddique Ali Shah(Male) (P),27.48653133,69.03045107,Male,Sindh,4,0,1512,0
 108 - Govt: Inspection Benglow Bargah. (Com) (P) (Improvised),27.49039253,69.02009703,Combined,Sindh,2,1,648,492
 107 - GPS Abu Bakar Mahar at Sahi Pat (Com),27.49192597,69.09375293,Combined,Sindh,2,2,947,716
 109 - GPS Riazabad (com) (P),27.49709947,69.02358137,Combined,Sindh,2,1,661,494
 116 - GPS Raja Ghous Bux at Khosan Jo kumb (Com),27.50361107,69.17426253,Combined,Sindh,1,1,392,253
 113 - GPS Qaim Behan (Female) (P),27.50478629,69.04090464,Female,Sindh,0,3,0,1267
 110 - GHS Salehpat (Male) (P),27.52117813,69.04739469,Male,Sindh,3,0,1354,0
 111 - GGHS Salehpat (Female) (P),27.52117813,69.04742469,Female,Sindh,0,2,0,1091
 217 - GPS Ali Nawaz Khoso (Male) (P),27.5232317,69.0412745,Male,Sindh,4,0,1563,0
 218 - GPS Ali Nawaz Khoso (Female) (P),27.5232317,69.0413045,Female,Sindh,0,3,0,1202
 234 - GPS Ariz Muhammad Mahar (Partly) (imp) (com) (P),27.52505207,69.10077402,Combined,Sindh,1,1,420,289
 235 - GPS Khoori (Partly) (imp) (com) (P),27.54139534,69.11815737,Combined,Sindh,1,1,397,372
 211 - BHU Thariri (Com) (P),27.5466218,69.0281485,Combined,Sindh,2,2,634,447
 233 - GPS Dakhano ( Talib phulpoto) (Com) (P),27.55204237,69.08576586,Combined,Sindh,2,2,783,562
 231 - GPS Fazal Abad (Com) (P),27.55761489,69.04847655,Combined,Sindh,2,2,635,557
 232 - GPS Thore (Com) (P),27.56416018,69.11639882,Combined,Sindh,1,1,273,172
 115 - GBPS Wass (Com) (P),27.56480727,69.19131349,Combined,Sindh,2,1,596,467
 230 - GPS Hussain Abad (Com) (P),27.56565334,69.04706565,Combined,Sindh,2,2,651,562
 213 - GPS Fatoo Mahar (Male) (P),27.56568754,69.03282903,Male,Sindh,2,0,985,0
