PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 194 - Govt: Primary School Arab Shaikh Sukkur (Combined)(P),26.4286467,67.8622865,Combined,Sindh,2,2,601,542
 197 - Govt: Primary School Gosarji Sukkur (Male)(P),26.4286467,67.8623165,Male,Sindh,3,0,1375,0
 198 - Govt: Primary School Gosarji Sukkur (Female)(P),26.4286467,67.8623465,Female,Sindh,0,3,0,1199
 202 - Govt: Girls Primary School Tamachani (Female) (P),26.4286467,67.8623765,Female,Sindh,0,3,0,1372
 201 - Govt: Boys Primary School Tamachani (Male)(P),26.4286467,67.8624065,Male,Sindh,4,0,1519,0
 218 - Govt: Girls Primary School Maindad Khoso Sukkur (Female)(P),26.4286467,67.8624365,Female,Sindh,0,3,0,1204
 217 - Govt: boys Primary School Maindad Khoso Sukkur (Male)(P),26.4286467,67.8624665,Male,Sindh,3,0,1392,0
 231 - Govt: primary Girls School Nasirabad (Female) (P),26.4286467,67.8624965,Female,Sindh,0,3,0,1275
 230 - Govt: Middle School Nasirabad  (Male) (P),26.4286467,67.8625265,Male,Sindh,4,0,1592,0
 240 - Govt: Primary School Lal Mashaik Sukkur (Combined)(P),26.4286467,67.8625565,Combined,Sindh,2,2,780,694
 266 - Govt: boys Primary School New Yard Colony Rohri (Male)(P),27.6659149,68.9045922,Male,Sindh,2,0,985,0
 267 - Govt: boys Primary School New Yard Colony Rohri (Female)(P),27.6659149,68.9046222,Female,Sindh,0,2,0,821
 264 - Union Council Office Long Bhatti (Male)(P),27.6811775,68.9239989,Male,Sindh,3,0,1126,0
 265 - Union Council Office Long Bhatti (Female)(P),27.6811775,68.9240289,Female,Sindh,0,2,0,923
 272 - Vetenory Hospital Rajib Ali Dayo (Com)(P),27.6811775,68.9240589,Combined,Sindh,2,2,837,688
 246 - Badminton Hall Rohri (Com) (P) (Imrovised),27.6840507,68.8889435,Combined,Sindh,2,2,722,562
 248 - Town Hall Rohri (Male)(P),27.6840507,68.8889735,Male,Sindh,3,0,1286,0
 249 - Town Hall Rohri (Female)(P),27.6840507,68.8890035,Female,Sindh,0,3,0,1178
 250 - Taluka Maternity Hopital Near MC office Rohri (Male)(P),27.6840507,68.8890335,Male,Sindh,4,0,1905,0
 251 - Taluka Maternity Hopital Near MC office Rohri (Female)(P),27.6840507,68.8890635,Female,Sindh,0,4,0,1512
 263 - Govt: High School Long Bhatti (Com)(P),27.6849601,68.9034744,Combined,Sindh,2,2,762,577
 260 - Govt: Boys High School Badal Bakus Rohri (Com)(P),27.6856364,68.8774261,Combined,Sindh,1,1,464,283
 270 - Govt. Boys High School Badal Bakus Rohri (Male)(P),27.6856364,68.8774561,Male,Sindh,2,0,946,0
 271 - Govt: Boys High School Badal Bakus Rohri (Female)(P),27.6856364,68.8774861,Female,Sindh,0,2,0,704
 268 - Govt: Food Lab Rohri (Male)(P),27.6877172,68.8878258,Male,Sindh,3,0,1082,0
 269 - Govt: Food Lab Rohri (Female)(P),27.6877172,68.8878558,Female,Sindh,0,2,0,897
 273 - Govt: boys Primary School Loco Shed Rohri (Male)(P),27.6877172,68.8878858,Male,Sindh,3,0,1059,0
 274 - Govt. Boys High School  Loco Shed Rohri (Female)(P),27.6877172,68.8879158,Female,Sindh,0,3,0,896
 275 - Govt: Girls Elementary /Primary School Loco Shed After Railway Crosing Rohri (Male)(P),27.6877172,68.8879458,Male,Sindh,3,0,1303,0
 276 - Govt: Girls Elementary /Primary School Loco Shed After Railway Crosing Rohri (Female)(P),27.6877172,68.8879758,Female,Sindh,0,2,0,1080
 68 - Ghaznavi Park Maine Road Sukkur (Male) (P),27.6883595,68.8657863,Male,Sindh,4,0,1709,0
 73 - SMA Girls School Allah Wali Street Sukkur (Male) (P),27.6883595,68.8658163,Male,Sindh,3,0,1230,0
 74 - SMA Girls School Allah Wali Street Sukkur (Female) (P),27.6883595,68.8658463,Female,Sindh,0,3,0,1024
 143 - Govt RHC Bachal Shah Hopital Sukkur (Male) (P),27.68851465,68.83805946,Male,Sindh,3,0,1356,0
 144 - Govt RHC Bachal Shah Hopital Sukkur(Female) (P),27.68851465,68.83808946,Female,Sindh,0,3,0,1080
 145 - Govt: Boys Primary School- Dinpur Bachal Shah Maini (Male)(P),27.68865,68.83977,Male,Sindh,4,0,1636,0
 146 - Govt: Girls High School- Bachal Shah Maini (Female)(P),27.6887,68.83909,Female,Sindh,0,2,0,1357
 148 - Govt: Girls Primary School Bachal Shah Maini Sukkur (Combined) (P),27.6887,68.83912,Combined,Sindh,2,2,813,627
 101 - Govt: Girls Higher Secondary School Berrage Colony Sukkur (Female) (P),27.6887935,68.8550377,Female,Sindh,0,3,0,1440
