StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
262,GMS Naseer Fakeer Jalalani (Male),27.19218,68.66868,Male,Sindh,4,0,1265,0
263,GMS Naseer Fakeer Jalalani (Female),27.19219,68.66866,Female,Sindh,0,3,0,1033
272,GHS Talpur Wada (Male),27.19303,68.58714,Male,Sindh,4,0,1747,0
273,GHS Talpur Wada (Female),27.19303,68.58717,Female,Sindh,0,4,0,1441
267,GPS Baqir Bozdar,27.19584,68.66378,Combined,Sindh,2,2,981,848
266,BHU Bago Daro,27.19712,68.64347,Combined,Sindh,1,1,496,439
271,GPS Sohrab Fakeer,27.19714,68.59028,Combined,Sindh,2,2,860,619
264,GHS Noor Bozdar (Male),27.20603,68.66634,Male,Sindh,4,0,1769,0
265,GHS Noor Bozdar (Female),27.20603,68.66637,Female,Sindh,0,4,0,1572
253,GPS Nangreja,27.22553,68.56831,Combined,Sindh,2,2,867,619
268,BHU Babar-I,27.23248,68.63153,Combined,Sindh,2,2,865,747
269,BHU Babar-II,27.23251,68.63156,Combined,Sindh,2,2,1033,890
270,GHS Babar Wada,27.23357,68.63885,Combined,Sindh,2,2,645,556
257,GHS Malhir Pato-I,27.24363,68.67397,Combined,Sindh,2,2,836,613
258,GHS Malhir Pato-II,27.24365,68.67396,Combined,Sindh,2,1,607,424
260,GBPS Ahmed Abad,27.24441,68.65216,Combined,Sindh,1,1,396,333
245,GPS Rahim Bakhsh Wassan (Male),27.24759,68.55016,Male,Sindh,3,0,1118,0
246,GPS Rahim Bakhsh Wassan-II (Female),27.24759,68.55019,Female,Sindh,0,3,0,957
248,GPS Haji Tayyab Wassan,27.24884,68.53336,Combined,Sindh,1,1,599,528
249,GPS Jamra-I (Male),27.24912,68.51929,Male,Sindh,3,0,1292,0
250,GPS Jamra-II (Female),27.24912,68.51932,Female,Sindh,0,3,0,1160
247,GPS Goth Ghullam Raza Rajpar,27.25792,68.51254,Combined,Sindh,1,1,555,508
252,GPS Gous Bakhsh Gaho (Female),27.25868,68.58093,Female,Sindh,0,3,0,1112
251,GPS Gous Bakhsh Gaho (Male),27.25869,68.58092,Male,Sindh,4,0,1380,0
293,GPS Jhnago (Female),27.25933,68.5891,Female,Sindh,0,4,0,1500
292,GPS Jhnago (Male),27.25933,68.58911,Male,Sindh,4,0,1830,0
261,GPS Muhammad Bakhsh Brohi,27.26159,68.64037,Combined,Sindh,2,2,904,766
259,GES Bungul Khan Chandio,27.26707,68.66464,Combined,Sindh,2,2,830,784
243,GPS Dhani Bakhsh Brohi,27.26709,68.52069,Combined,Sindh,1,1,496,414
244,GHS Jan Muhammad Wnadiar,27.26995,68.55293,Combined,Sindh,2,2,725,537
255,GPS Bakho Lashari,27.27693,68.65743,Combined,Sindh,2,2,708,610
239,GPS Khan Muhammad Gaho,27.27806,68.56361,Combined,Sindh,1,1,610,487
256,GPS Gul Muhammad Soomro,27.28063,68.6449,Combined,Sindh,2,2,768,632
254,GPS Lal Bakhsh Shanbani,27.28096,68.62021,Combined,Sindh,2,2,703,607
242,GPS Paro Khan Pato,27.28659,68.52668,Combined,Sindh,2,2,989,860
235,GHS Sarai Piyaro Khan,27.29421,68.54784,Combined,Sindh,2,2,971,817
240,GPS Hamzo Solangi (Male),27.2973,68.59769,Male,Sindh,3,0,1184,0
241,GPS Hamzo Solangi (Female),27.2973,68.59772,Female,Sindh,0,2,0,962
236,GPS Girls Laiq Rajpar,27.29804,68.54988,Combined,Sindh,1,1,506,436
237,GPS Laiq Rajper-I (Male),27.29811,68.55018,Male,Sindh,3,0,882,0
238,GPS Laiq Rajper-II (Female),27.29811,68.55021,Female,Sindh,0,2,0,754
288,GHS Kumb,27.30032,68.6125,Combined,Sindh,2,2,956,756
289,GHS Kumb,27.30032,68.61253,Combined,Sindh,2,2,885,667
286,GPS Kumb-I (Male),27.30143,68.61259,Male,Sindh,4,0,1414,0
287,GGPS Kumb (Female),27.30169,68.61381,Female,Sindh,0,3,0,1121
233,GPS Qaim Din Solangi,27.30258,68.59576,Combined,Sindh,2,1,618,556
290,GPS Nawab Solangi,27.31078,68.62382,Combined,Sindh,2,2,559,509
285,GHS Arab Machi,27.31188,68.6353,Combined,Sindh,2,2,546,506
232,GPS Wali Muhammad Bhatti-II (Female),27.31465,68.60683,Female,Sindh,0,3,0,1011
234,GES Qaim Khan Chandio,27.31544,68.56314,Combined,Sindh,2,2,771,657
225,GMS Jiskani,27.31895,68.65012,Combined,Sindh,2,2,1042,921
224,GPS Jiskani,27.31899,68.65012,Combined,Sindh,2,1,610,526
291,GPS Ishaq Ujjan,27.32134,68.61324,Combined,Sindh,2,1,702,568
227,GPS Rahim Bakhsh Wassan (Female),27.33542,68.67427,Female,Sindh,0,3,0,1135
226,GPS Rahim Bakhsh Wassan (Male),27.33557,68.67227,Male,Sindh,4,0,1421,0
228,GPS Dhukar-I (Male),27.33615,68.56152,Male,Sindh,4,0,1557,0
229,GPS Dhukar-II (Female),27.33615,68.56155,Female,Sindh,0,4,0,1211
230,GPS Fakeer Abad,27.33977,68.5472,Combined,Sindh,2,2,741,509
180,GHS Girls Kotdiji-I,27.34041,68.70497,Combined,Sindh,2,2,922,754
181,GHS Girls Kotdiji-II (Female),27.34043,68.70496,Female,Sindh,0,4,0,1216
183,GHS Girls Kotdiji-III,27.34044,68.70496,Combined,Sindh,2,2,968,733
