PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 292 - GPS Mangna Pata,27.18117,68.4035,Combined,Sindh,2,2,886,678
 297 - GHS Hingorja-I (Male),27.20629,68.41899,Male,Sindh,3,0,1398,0
 298 - GHS Hingorja-II (Female),27.20629,68.41902,Female,Sindh,0,2,0,1129
 295 - GHS Girls Hingorja (Male),27.20893,68.41262,Male,Sindh,4,0,1519,0
 296 - GPS Hingroja (Female),27.20897,68.41304,Female,Sindh,0,3,0,1105
 293 - GPS Gadd,27.21162,68.4586,Combined,Sindh,2,2,904,710
 299 - RHC Hingorja-I (Male),27.21178,68.41881,Male,Sindh,3,0,989,0
 300 - RHC Hingorja-II (Female),27.21178,68.41884,Female,Sindh,0,2,0,785
 301 - UC Office Hingorja,27.21183,68.41829,Combined,Sindh,2,2,907,779
 294 - GPS Watia,27.21761,68.43526,Combined,Sindh,2,2,987,720
 289 - GPS Ali Nawaz Sahto,27.22054,68.37366,Combined,Sindh,2,2,913,629
 288 - GPS Khalifa Huriah,27.22437,68.3224,Combined,Sindh,1,1,760,473
 281 - GPS Nehal Mashori,27.22892,68.31569,Combined,Sindh,2,1,645,463
 280 - GPS Bakshal Bambhro,27.23094,68.29044,Combined,Sindh,2,2,869,707
 302 - GPS Machar,27.2378,68.41283,Combined,Sindh,2,1,528,427
 283 - GMS Girls Sami (Female),27.24592,68.34994,Female,Sindh,0,3,0,1317
 282 - GHS Sami (Male),27.24689,68.34898,Male,Sindh,4,0,1701,0
 278 - GPS Dew Kalhoro (Male),27.25045,68.26843,Male,Sindh,4,0,1467,0
 304 - GPS Girls Malhirani (Female),27.25119,68.44167,Female,Sindh,0,4,0,1777
 269 - GPS Gahno Bhagat,27.25262,68.31235,Combined,Sindh,2,2,692,527
 273 - GPS Sagyoon (Female),27.25426,68.30112,Female,Sindh,0,2,0,795
 303 - GPS Malhirani (Male),27.25476,68.4449,Male,Sindh,4,0,1996,0
 270 - Irregation Rest House Sagyoon (Male),27.25541,68.29908,Male,Sindh,3,0,1048,0
 271 - GHS Sagyoon-I,27.25542,68.3008,Combined,Sindh,2,2,686,531
 272 - GHS Sagyoon-II,27.25542,68.30083,Combined,Sindh,2,1,615,431
 290 - GPS Bachal Shah (Male),27.25545,68.38853,Male,Sindh,4,0,1490,0
 291 - GPS Bachal Shah (Female),27.25545,68.38856,Female,Sindh,0,3,0,1104
 274 - BHU Sagyoon-I (Male),27.25628,68.29215,Male,Sindh,3,0,1091,0
 275 - BHU Sagyoon-II (Female),27.25628,68.29218,Female,Sindh,0,2,0,806
 284 - GPS Meerak,27.25775,68.35199,Combined,Sindh,2,2,987,820
 268 - GPS Girls Qazi Bhutta,27.26492,68.3208,Combined,Sindh,2,2,775,567
 276 - GPS Mehmood Channa (Male),27.27039,68.22897,Male,Sindh,4,0,1476,0
 287 - GPS Darban,27.27055,68.33697,Combined,Sindh,2,2,898,657
 242 - GPS Habibullah Mangnejo (Male),27.27067,68.38505,Male,Sindh,3,0,1133,0
 243 - GPS Habibullah Mangnejo (Female),27.27067,68.38508,Female,Sindh,0,2,0,932
 286 - GGPS Niwaro (Female),27.2739,68.3496,Female,Sindh,0,2,0,840
