StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
258,GMS Malhar Khan Rajper,26.80758,68.23495,Combined,Sindh,2,2,682,543
348,GHS Kalhora Station   (Male),26.81207,68.1918,Male,Sindh,3,0,1018,0
349,GHS Kalhora Station   (Female),26.81207,68.19183,Female,Sindh,0,3,0,849
344,GGPS Abdul Raheem Abbasi (Male),26.81258,68.19823,Male,Sindh,3,0,917,0
345,GGPS Abdul Raheem Abbasi (Female),26.81258,68.19826,Female,Sindh,0,2,0,822
347,GGPS Dilawar Solangi,26.81326,68.15801,Combined,Sindh,2,1,788,614
346,GPS Dilawar Solangi,26.81331,68.15786,Combined,Sindh,1,1,475,348
256,GPS Fakir Muhammad Punjabi (Male),26.81906,68.26032,Male,Sindh,4,0,1307,0
342,GPS Gher Gaju (Male),26.82056,68.21518,Male,Sindh,3,0,1169,0
343,GMS Gher Gaju (Female),26.82104,68.21515,Female,Sindh,0,3,0,953
340,GHS Yakoob Tunia (Male),26.83392,68.19389,Male,Sindh,2,0,810,0
341,GHS Yakoob Tunia (Female),26.83392,68.19392,Female,Sindh,0,2,0,692
269,GPS Muhammad Ismail Arain,26.84332,68.26097,Combined,Sindh,1,1,616,442
311,GMS Wali Dino Tunio,26.8463,68.1851,Combined,Sindh,2,1,689,462
255,GPS Fateh Muhammad Punjabi,26.84833,68.23135,Combined,Sindh,2,2,622,475
253,GPS Jat Khan Rajper,26.85117,68.25997,Combined,Sindh,2,2,609,429
251,GPS Chaheen Manomal (Male),26.86156,68.26801,Male,Sindh,3,0,1082,0
252,GPS Chaheen Manomal (Female),26.86156,68.26804,Female,Sindh,0,2,0,833
270,GPS Chaheen Sulleman  (Male),26.86225,68.29964,Male,Sindh,3,0,1036,0
271,GPS Chaheen Sulleman  (Female),26.86225,68.29967,Female,Sindh,0,2,0,821
273,BHU Chaheen Sulleman (Female),26.86371,68.30077,Female,Sindh,0,2,0,809
310,BHU Kundha Khahi,26.86846,68.15192,Combined,Sindh,1,1,565,456
321,GPS Alam Khan Vistro,26.8705,68.12554,Combined,Sindh,2,2,873,668
300,GHS Khahi Rahu  ( Male ),26.87057,68.14702,Male,Sindh,3,0,1008,0
301,GHS Khahi Rahu  (Female),26.87057,68.14705,Female,Sindh,0,2,0,836
267,GPS Ali Bux Lashari (Male),26.87338,68.23475,Male,Sindh,3,0,1047,0
268,GPS Ali Bux Lashari (Female),26.87338,68.23478,Female,Sindh,0,2,0,823
248,GPS Usman Solangi,26.8734,68.23465,Combined,Sindh,2,2,729,641
250,GPS Jumo Khan Solangi,26.87484,68.2278,Combined,Sindh,2,2,651,537
254,GPS Jalal Maher,26.87513,68.25869,Combined,Sindh,2,2,826,616
314,GPS Sharif Hakro ( Female),26.87804,68.201,Female,Sindh,0,3,0,1132
249,GPS Dhani Bux Kanyal,26.87888,68.23532,Combined,Sindh,2,2,770,570
308,GPS Khahi Qassim (Male),26.88201,68.16662,Male,Sindh,3,0,1113,0
309,GPS Khahi Qassim (Female),26.88201,68.16665,Female,Sindh,0,3,0,992
313,GPS Haji Muhammad Uris Solangi( Male),26.88277,68.19831,Male,Sindh,3,0,1374,0
303,GPS Khahi Memon (Male),26.88321,68.15262,Male,Sindh,2,0,869,0
304,GPS Khahi Memon (Female),26.88321,68.15265,Female,Sindh,0,2,0,777
239,GGHS Bhiria Road (Male),26.8852,68.28105,Male,Sindh,4,0,1574,0
240,GGHS Bhiria Road (Female),26.8852,68.28108,Female,Sindh,0,3,0,1176
305,GPS Gul Muhammad Bullar,26.88526,68.14117,Combined,Sindh,1,1,487,464
312,GPS Rab Rakhio Solangi,26.88554,68.21027,Combined,Sindh,2,2,867,798
245,GPS (Urdu ) Bhiria Road,26.88707,68.2759,Combined,Sindh,2,2,747,511
246,GPS (Urdu) Bhiria Road ( Male ),26.88707,68.27593,Male,Sindh,3,0,1040,0
247,GPS (Urdu) Bhiria Road ( Female),26.88707,68.27596,Female,Sindh,0,2,0,693
243,GGPS Bhiria Road (Male),26.88781,68.27931,Male,Sindh,4,0,1423,0
244,GGPS Bhiria Road (Female),26.88781,68.27934,Female,Sindh,0,2,0,964
306,GPS Kouro Memon ( Male),26.89199,68.16288,Male,Sindh,3,0,1005,0
307,GPS Kouro Memon  (Female),26.89199,68.16291,Female,Sindh,0,2,0,893
320,GHS Machur,26.89315,68.11274,Combined,Sindh,2,2,895,743
319,GPS Sanwal Bhutto,26.89321,68.11243,Combined,Sindh,2,2,708,615
241,GHS Bhiria Road (Male ),26.89395,68.28651,Male,Sindh,4,0,1307,0
242,GHS Bhiria Road (Female ),26.89395,68.28654,Female,Sindh,0,3,0,1047
259,GPS Abdul Razak Shar,26.89809,68.32919,Combined,Sindh,2,2,747,564
262,GPS Mehar Ali Keerio ( Male),26.89849,68.26451,Male,Sindh,3,0,1152,0
263,GPS Mehar Ali Keerio (Female),26.89849,68.26454,Female,Sindh,0,2,0,815
315,GPS Jalbani  (Male),26.90019,68.21198,Male,Sindh,3,0,1081,0
316,GPS Jalbani  (Female),26.90019,68.21201,Female,Sindh,0,2,0,890
286,GPS Imdad Ali Shah (Male),26.90381,68.16927,Male,Sindh,4,0,1642,0
260,GPS Abdul  Raheem Keerio (male),26.9056,68.32807,Male,Sindh,3,0,984,0
261,GPS Abdul  Raheem Keerio   ( Female),26.9056,68.3281,Female,Sindh,0,2,0,777
232,GGPS Bhiria City,26.90952,68.19642,Combined,Sindh,2,2,691,525
233,GGPS Bhiria City,26.90952,68.19645,Combined,Sindh,2,2,864,787
234,GPS Main Sindhi Bhiria (Male),26.91037,68.19641,Male,Sindh,3,0,1210,0
235,GPS Main Sindhi Bhiria (Female),26.91037,68.19644,Female,Sindh,0,2,0,934
230,GHS Bhiria City,26.91146,68.19925,Combined,Sindh,2,2,1067,927
231,GHS Bhiria City,26.91146,68.19928,Combined,Sindh,2,2,675,482
317,GPS Alee Memon (male),26.9132,68.22375,Male,Sindh,3,0,1009,0
318,GGPS Alee Memon (Female),26.91343,68.2233,Female,Sindh,0,2,0,749
198,GPS Muhammad Nawaz Punjabi  (Male),26.91843,68.34395,Male,Sindh,3,0,1086,0
199,GPS Muhammad Nawaz Punjabi  Female,26.91843,68.34398,Female,Sindh,0,2,0,821
238,GPS Shah Baig Chandio,26.92038,68.16637,Combined,Sindh,1,1,556,400
237,GPS Pinjal Memon,26.92089,68.23289,Combined,Sindh,2,2,1059,741
339,GPS Fazul Muhammad Motmal,26.92435,68.08417,Combined,Sindh,1,1,514,504
338,GHS Sakhi Dad Wahi (Female),26.92606,68.06336,Female,Sindh,0,3,0,1025
337,GGPS Sakhi Dad Wahi (Male),26.92619,68.06326,Male,Sindh,3,0,1228,0
266,GPS Muhbat Dakhan,26.93137,68.27834,Combined,Sindh,2,2,776,606
278,GPS Tharushah (Sindhi) Male,26.9389,68.11883,Male,Sindh,3,0,1059,0
279,GPS Tharushah (Sindhi) Female,26.9389,68.11886,Female,Sindh,0,3,0,875
276,GHS Tharushah   (Male),26.93935,68.11793,Male,Sindh,2,0,893,0
277,GHS Tharushah   (Female),26.93935,68.11796,Female,Sindh,0,2,0,765
282,GHS Tharushah,26.93935,68.11799,Combined,Sindh,2,2,925,707
280,GGPS Tharushah,26.93962,68.11722,Combined,Sindh,2,2,614,529
281,GGPS Tharushah,26.93962,68.11725,Combined,Sindh,2,2,688,516
335,GPS Muhammad Usman Tunio,26.93994,68.07401,Combined,Sindh,1,1,533,394
285,GHS Jan Muhammad Sand,26.94001,68.14308,Combined,Sindh,2,2,831,667
