StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
408,408 Government Primary School S.Mai Bakhtawar,24.92225305842271,69.5095660566025,Combined,Sindh,1,1,637,551
407,407 Government Primary School Mesayo Bheel,24.939355255693773,69.49184737141329,Combined,Sindh,1,1,557,426
400,400 Government High School Mehmood Abad (Female),24.964150949279613,69.48353805150231,Female,Sindh,0,2,0,1257
399,399 Government High School Mehmood Abad (Male),24.964215721146555,69.48356386711949,Male,Sindh,3,0,1522,0
402,402 Government Primary School Talhi Old (Male),24.96986703608339,69.5328947852306,Male,Sindh,2,0,980,0
401,401 Union Council Office Talhi,24.975778365803066,69.48612195035717,Combined,Sindh,1,1,652,644
409,409 Government Primary School Naseer Chandio,24.982952757928672,69.50391650353286,Combined,Sindh,1,1,396,366
410,410 Government Primary School Haroon Memon,24.9885941720946,69.56250879087415,Combined,Sindh,2,2,861,665
95,95 Government Primary School Abdul Ghafor Khaskheli (Male),25,22791,69,3914,Male,Sindh,2,0,788,0
96,96 Government Primary School Abdul Ghafoor Khaskheli (Female),25,22791,693914.00003,Female,Sindh,0,2,0,796
219,219 Government Primary School Umeed Ali Lashari,25,33077,69,70387,Combined,Sindh,1,1,251,211
206,206 Government Boys Primary School Qasim Soomro,25,36835,69,71663,Combined,Sindh,2,2,1066,813
27,27 Government Primary School Ali Palli,25,5049,69,5739,Combined,Sindh,1,1,328,275
391,391 Government Primary School Syed Bachal Shah (Male),25.023435658269896,69.49675527874336,Male,Sindh,2,0,921,0
392,392 Government Primary School Syed Bachal Shah (Female),25.023435658269896,69.4967852787434,Female,Sindh,0,2,0,781
384,384 Basic Health Unit Shah Farm,25.024077086019002,69.46817598031967,Combined,Sindh,2,2,828,683
385,385 Government Primary School Pyaro Kolachi,25.030141507739987,69.44837736921784,Combined,Sindh,1,1,607,470
393,393 Rural Health Centre Nabisar Road,25.033102018323408,69.52124901246704,Combined,Sindh,1,1,158,129
382,382 Government Primary School Fakhurdin Shah (Male),25.038848214323238,69.48583327230781,Male,Sindh,1,0,516,0
383,383 Government Primary School Fakhurdin Shah (Female),25.038848214323238,69.4858632723078,Female,Sindh,0,1,0,469
404,404 Government Girls Middle School Ishaqe Chandio (Male),25.03893,69.56497,Male,Sindh,2,0,846,0
405,405 Government Girls Middle School Ishaqe Chandio (Female),25.03893,69.565,Female,Sindh,0,2,0,712
389,389 Government Primary School Nabisar Road Sindhi Section,25.03948245145642,69.51731244705573,Combined,Sindh,1,1,522,473
406,406 Government Primary School Hamid Gashkori,25.040153130656975,69.59169622244531,Combined,Sindh,1,1,592,543
387,387 Government Primary School Nabisar,25.04015457667412,69.52117747850114,Combined,Sindh,2,2,864,731
388,388 Government Boys Primary Campus School Nabisar Road,25.040223973983167,69.52117976326701,Combined,Sindh,1,1,577,485
390,390 Govt Cattle Farm Nabisar,25.04420153794191,69.54283561134399,Combined,Sindh,1,1,555,520
378,378 Government Primary School Chatto Chandio,25.05164434170953,69.42190754736015,Combined,Sindh,1,1,384,319
396,396 Government Primary School Dainisar Form,25.052072069936983,69.58347020913325,Combined,Sindh,1,1,287,294
398,398 Government Primary School Khan Muhammad Rind,25.059006197582054,69.57566358306563,Combined,Sindh,1,1,441,428
308,308 Government Primary School Baied Khan Khaskheli,25.06429391668917,69.64672402973663,Combined,Sindh,1,1,736,584
381,381 Government Primary School Haji Ismail Chandio,25.07043229186752,69.48790811592644,Combined,Sindh,2,2,671,620
394,394 Government High School Nabisar Pat (Male),25.071853869063638,69.64240241355134,Male,Sindh,2,0,1439,0
395,395 Government High School Nabisar Pat (Female),25.071853869063638,69.6424324135513,Female,Sindh,0,2,0,1181
386,386 Basic Health Unit Sher Khan Chandio,25.073626328424858,69.45513259780951,Combined,Sindh,2,2,742,736
377,377 Government  Boys Primary School Varand Khan Chandio,25.0754,69.43449,Combined,Sindh,1,1,633,571
359,359 Government Middle School Dolat Khan Chandio,25.080326340412643,69.59867564557153,Combined,Sindh,1,1,614,634
358,358 Government Primary School Dolat Khan Chandio,25.080590037896062,69.59850228635838,Combined,Sindh,1,1,522,517
355,355 Government Primary School Ibbrahim Rind,25.084290735887304,69.53170390325681,Combined,Sindh,1,1,646,587
357,357  Government Girls Primary School Saleh Soomro,25.08474,69.57128,Combined,Sindh,1,1,462,466
379,379 Government Primary School Abdul Sattar Lashari (Male),25.090676806751457,69.43220529544595,Male,Sindh,3,0,1803,0
380,380 Government Primary School Abdul Sattar Lashari (Female),25.09070292084196,69.43221298268615,Female,Sindh,0,3,0,1612
397,397 Government Primary School Sado Khan Chandio,25.092742249278377,69.62099488740282,Combined,Sindh,1,1,252,226
306,306 Government High School Hashim Dars Sinhoi Thar (Male),25.099933417693478,69.67375138617403,Male,Sindh,2,0,856,0
307,307 Government High School Hashim Dars Sinhoi Thar (Female),25.099933417693478,69.673781386174,Female,Sindh,0,2,0,787
305,305 Government Boys Primary School Haji Tahir Shah,25.102238267244108,69.6779613334259,Combined,Sindh,1,1,328,240
374,374 Government Primary School Sher Khan Rind (Male),25.11462385966149,69.52111134170903,Male,Sindh,2,0,1023,0
375,375 Government Primary School Sher Khan Rind (Female),25.11462385966149,69.521141341709,Female,Sindh,0,2,0,986
356,356 Government Primary School Shakeel Bajwa,25.115611423094073,69.56781317334253,Combined,Sindh,1,1,443,408
376,376 Government Primary School Shamsdin Jonejo,25.11770069944607,69.54522666330028,Combined,Sindh,1,1,445,380
368,368 Government Primary School Ghano Chandio,25.121903210255276,69.45235838108994,Combined,Sindh,2,2,726,614
367,367 Government Primary School Choudry Muhammad Amin,25.131536705978842,69.42859201359816,Combined,Sindh,1,1,402,407
354,354 Government Primary School Shahi Khan Rind,25.134433039490638,69.63690032520198,Combined,Sindh,2,1,718,630
365,365 Government High School Sajan Khan Chandio,25.1346,69.44664,Combined,Sindh,1,1,365,366
366,366 Government Primary School Ali Khan Char @ Sajan Khan Chandio,25.13492,69.44677,Combined,Sindh,1,1,567,502
335,335 Government Primary School Sarmast Rind (Male),25.137187884997203,69.56636455394472,Male,Sindh,3,0,1370,0
336,336 Government Primary School Sarmast Rind (Female),25.137429305881653,69.5665526266935,Female,Sindh,0,3,0,1230
339,339 Government Primary School Rasool Abad (Male),25.140534827781014,69.58751979747824,Male,Sindh,3,0,1520,0
340,340 Government Primary School Rasool Abad (Female),25.140534827781014,69.5875497974782,Female,Sindh,0,3,0,1289
373,373 Government Primary School Muhammad Hussain Gujrati,25.14278,69.49554,Combined,Sindh,1,1,700,606
370,370 Government Primary School Mir Muhammad Kapri,25.150730452372347,69.42377241365747,Combined,Sindh,1,1,416,321
363,363 Government Primary School Mataro Chandio (Male),25.152092733668468,69.54466123490674,Male,Sindh,2,0,855,0
364,364 Government Primary School Mataro Chandio (Female),25.152092733668468,69.5446912349067,Female,Sindh,0,2,0,776
286,286 Government Primary School Cheelah Ali Akbar Shah (Male),25.15456741589988,69.6792970071706,Male,Sindh,2,0,1094,0
287,287 Government Primary School Cheelah Ali Akbar Shah (Female),25.15456741589988,69.6793270071706,Female,Sindh,0,2,0,898
338,338 Government Girls High School Kunri Memon (Female),25.15624,69.58117,Female,Sindh,0,2,0,1106
353,353 Government Primary School Mehmood Abad,25.15795906952132,69.63784597434343,Combined,Sindh,1,1,625,516
372,372 Government Primary School Nawababd,25.162797923515406,69.47744081477707,Combined,Sindh,1,1,815,652
351,351 Government Primary School Dadhro (Male),25.165036781062746,69.61697059137069,Male,Sindh,2,0,1214,0
352,352 Government Middle School Faqir Ahmed Ali (Female),25.165036781062746,69.6170005913707,Female,Sindh,0,2,0,1258
341,341 Government Primary School Haji Babu Iqbal Arain (Male),25.16533063753914,69.57692364412307,Male,Sindh,2,0,1045,0
342,342 Government Primary School Haji Babu Iqbal Arain (Female),25.16533063753914,69.5769536441231,Female,Sindh,0,2,0,874
369,369 Government Primary School Rehamtullah Janhji,25.16574712090568,69.41412594786853,Combined,Sindh,1,1,338,314
94,94 Government Primary School Majnu Khaskheli,25.17304,69.40525,Combined,Sindh,2,2,723,701
348,348 Government Primary School Bachal Memon,25.173043385105085,69.59117733554292,Combined,Sindh,2,2,960,912
371,371 Government Primary School Ghulam Hussain Bakhar,25.173051896553904,69.51807659898166,Combined,Sindh,1,1,227,207
