PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 119 - Baldia workshop near Al Wahid Plaza FEMALE (Permanent),25.383721763562534,68.37058850344383,Female,Sindh,0,1,0,395
 141 - GBPS Raza Memorial MALE (Permanent),25.38496550812636,68.36879106651223,Male,Sindh,2,0,1127,0
 144 - Model School  MALE (Permanent),25.385521283721857,68.36520469255058,Male,Sindh,4,0,1434,0
 187 - Model School Gate No.2 Part-I FEMALE  (Permanent),25.385521283721857,68.3652346925506,Female,Sindh,0,3,0,1485
 188 - Model School  Gate No. 2  Part-II FEMALE  (Permanent),25.385521283721857,68.3652646925506,Female,Sindh,0,3,0,1220
 117 - Office of the Director Arcology Deptt. MALE (Permanent),25.38559360563624,68.37427646345706,Male,Sindh,3,0,1497,0
 125 - Mukhi House Part-I FEMALE (Permanent),25.38605687866219,68.37081492240819,Female,Sindh,0,2,0,994
 131 - Mukhi House Part-II FEMALE (Permanent),25.386066249936224,68.37081811826776,Female,Sindh,0,2,0,1012
 114 - GGPS Raees Pacca Qilla Part-II MALE (Permanent),25.38607569991617,68.37385288345232,Male,Sindh,3,0,1411,0
 112 - GGPS Raees Pacca Qilla Part-I MALE (Permanent),25.386096489589264,68.37389085685945,Male,Sindh,4,0,1650,0
 127 - Office Hindu Okaf Resham Bazar FEMALE (Temporary),25.387621346845197,68.36946416925684,Female,Sindh,0,2,0,923
 142 - GBHS Society No-1 Part-IV FEMALE (Permanent),25.388386160791306,68.36635669853884,Female,Sindh,0,2,0,531
 143 - GBHS Society No -1 Part-III FEMALE (Permanent),25.388386160791306,68.3663866985388,Female,Sindh,0,2,0,819
 126 - G.D.F Lady Differen Hospital Kohinoor Chowk MALE (Permanent),25.38839732391514,68.36874584865889,Male,Sindh,2,0,1059,0
 110 - GBPS Moinia Yateem Khana MALE (Permanent),25.38841754007473,68.37375980856211,Male,Sindh,2,0,992,0
 137 - GBHS Society No 1 Part-I FEMALE (Permanent),25.388422691696267,68.36655865906712,Female,Sindh,0,2,0,616
 140 - GBHS Society No 1 Part-II FEMALE (Permanent),25.38847112877353,68.36653417561917,Female,Sindh,0,2,0,1040
 106 - GPS Naseem Muslim Fakir Ka Pir Part-I MALE (Permanent),25.388685959862165,68.37868516775944,Male,Sindh,4,0,1557,0
 121 - GBHS Al Farooque Part-II MALE (Permanent),25.389157305233017,68.3701864134161,Male,Sindh,4,0,1876,0
 100 - GHS Al Farooq Resham Bazar Part-I MALE (Permanent),25.389157305233017,68.3702164134161,Male,Sindh,2,0,872,0
 136 - Govt. Sindh Law College Part-I MALE (Permanent),25.38925991640441,68.36628055660897,Male,Sindh,2,0,931,0
 139 - Govt. Sindh Law College Part-II MALE (Permanent),25.38928701826119,68.36621415035485,Male,Sindh,2,0,1179,0
 138 - Govt. Sindh Law College Part-III MALE (Permanent),25.38931374668929,68.36621352078942,Male,Sindh,2,0,859,0
 107 - GGHS S.K Raheem  FEMALE (Permanent),25.389682213585537,68.37590285450717,Female,Sindh,0,2,0,974
 120 - Govt. Hopefull Boys High School MALE (Permanent),25.38969110477898,68.3684887042315,Male,Sindh,2,0,1122,0
 103 - GGLSS Pishori Fakir Ka Pir Part-I FEMALE (Permanent),25.39152200455532,68.37513062832396,Female,Sindh,0,2,0,896
 105 - GGLSS Pishori Fakir Ka Pir Part-II FEMALE (Permanent),25.39152200455532,68.375160628324,Female,Sindh,0,2,0,891
 134 - GBHS Khalid Memorial MALE (Permanent),25.392604513697805,68.36657399723266,Male,Sindh,2,0,932,0
 135 - Khalid Memorial Girls High School FEMALE (Permanent),25.392678282407044,68.3665352412172,Female,Sindh,0,2,0,1153
 74 - ST. Bonaventure High School Part-I MALE (Permanent),25.392839023453384,68.36682732283481,Male,Sindh,4,0,1435,0
 76 - Saint Bonaventure High School Part-II MALE  (Permanent),25.392839023453384,68.3668573228348,Male,Sindh,3,0,1201,0
 79 - Memon High School Aqal Bongalane Part0I FEMALE (Temporary),25.392900414606324,68.36851814502772,Female,Sindh,0,2,0,992
 75 - St. Mary School Part-I FEMALE (Permanent),25.392903478105552,68.36695176068375,Female,Sindh,0,2,0,1074
 77 - Saint Mary School Part-II FEMALE (Permanent),25.392903478105552,68.3669817606837,Female,Sindh,0,2,0,992
