PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 213 - Government Primary School Walidad Jokhio (Combined),25.0469104712829,67.56745914928615,Combined,Sindh,2,2,673,517
 212 - Government Primary School Ghulam Muhammad Khaskeli (Combined),25.113289360888302,67.5621569249779,Combined,Sindh,1,1,322,208
 211 - Government Primary School Dost Muhammad Palari (Combined),25.11639594566077,67.61736650951207,Combined,Sindh,2,1,479,294
 207 - Government Boys High School Kallo Khoohar Part-1 (Male),25.133739109151065,67.77333755046129,Male,Sindh,3,0,1034,0
 208 - Government Boys High School Kallo Khoohar Part-2 (Female),25.133739109151065,67.7733675504613,Female,Sindh,0,2,0,719
 209 - Government Boys High School Kallo Khoohar Part-3 (Combined),25.133739109151065,67.7733975504613,Combined,Sindh,2,1,496,273
 205 - Government Primary School Gulab Palari (Combined),25.152159640565515,67.66341785900295,Combined,Sindh,2,1,721,461
 210 - Union Council Building Sarri Nooriabad (Combined),25.16558807808906,67.78106465935707,Combined,Sindh,1,1,353,280
 204 - Government Boys Primary School Darya Khan Khurero (Combined),25.18943266477436,67.62312990613282,Combined,Sindh,2,1,666,423
 206 - Government Boys Primary School Qaisar Jakharo (Combined),25.21658005658537,67.79628301039338,Combined,Sindh,1,1,402,257
 173 - Government Boys Primary School Fazul Palari (Combined),25.2196429297328,67.67614024691284,Combined,Sindh,2,1,755,378
 221 - Government Boys Primary School Hafiz Ibrahim Ghazi Burro (Male),25.25748265441507,67.34399425797164,Male,Sindh,4,0,1231,0
 222 - Government Boys Middle School Hafiz Ibrahim Ghazi Burro (Female),25.261914879083633,67.34349947422743,Female,Sindh,0,3,0,1043
 172 - Government Boys Primary School Kapat (Combined),25.274710818193853,67.71165596321225,Combined,Sindh,1,1,464,392
 198 - Government Boys High School Sarri Block-1 Part-1 (Male),25.292304307222366,67.57335481233895,Male,Sindh,2,0,298,0
 199 - Government Boys High School Sarri Block-1 Part-2 (Male),25.292304307222366,67.5733848123389,Male,Sindh,4,0,1522,0
 200 - Government Girls Primary School Sarri (Female),25.293159764260054,67.57384498603642,Female,Sindh,0,4,0,1392
 171 - Government Girls Primary School Abdullah Khaskheli Dhamach (Combined),25.296858111396432,67.75746867991984,Combined,Sindh,1,1,334,321
 444 - Government Boys Primary School Abu Talib Shoro Part-1 (Male),25.30211311980885,68.3144683323076,Male,Sindh,3,0,1106,0
 445 - Government Boys Primary School Abu Talib Shoro Part-2 (Female),25.30211311980885,68.3144983323076,Female,Sindh,0,2,0,821
 449 - Government Hospital- Karo Khaho (Male),25.30704213951803,68.3397575361196,Male,Sindh,4,0,1153,0
 450 - Government Hospital- Karo Khaho (Female),25.30704213951803,68.3397875361196,Female,Sindh,0,3,0,938
 170 - Government Boys Primary School Bahdi Khan (Combined),25.309941046871245,67.76531238108873,Combined,Sindh,1,1,337,292
 259 - Government Dispensary Khado Goth (Combined),25.318523995146133,68.1982826807294,Combined,Sindh,2,2,458,425
 451 - Government Primary School Muhammad Khan Shoro (Combined),25.31948,68.33247,Combined,Sindh,2,2,682,509
 227 - Government Primary School Ali Murad Shoro (Combined),25.321281285908753,68.2378031144652,Combined,Sindh,1,1,290,444
 447 - Government Boys High School A.B.Shoro (Male),25.324890259185874,68.33070078253589,Male,Sindh,2,0,831,0
 448 - Government Boys High School A.B.Shoro (Female),25.324890259185874,68.3307307825359,Female,Sindh,0,2,0,788
 219 - Government Primary School Moosa Chhoro Part-1 (Male),25.33151573035866,67.44904071092606,Male,Sindh,3,0,910,0
 220 - Government Primary School Moosa Chhoro Part-2 (Female),25.33151573035866,67.4490707109261,Female,Sindh,0,3,0,876
 446 - Government Boys Primary School Ch. Karam Din (Combined),25.33740015682086,68.32052273256245,Combined,Sindh,2,2,558,516
 229 - Government Boys Primary School Qadan Shoro (Male),25.33842935061315,68.28213013394681,Male,Sindh,3,0,1014,0
 230 - Government Primary School Qadan Shoro (Female),25.33844525518254,68.28211411181361,Female,Sindh,0,2,0,817
 201 - Government Middle School Soomar Khaskheli Sarri (Combined),25.344366235658526,67.55519256927073,Combined,Sindh,2,2,666,646
 202 - Government Middle School Soomar Khaskheli Sarri Part-2 (Combined),25.344366235658526,67.5552225692707,Combined,Sindh,1,1,236,169
 228 - Government Boys Primary School Labour Square (Male),25.34497993216296,68.28488363696235,Male,Sindh,4,0,1283,0
 235 - Government Boys High School Labour Square Part-1 (Female),25.34524463795305,68.28465082424019,Female,Sindh,0,3,0,986
 236 - Government Boys High School Labour Square Part-2 (Female),25.34524463795305,68.2846808242402,Female,Sindh,0,3,0,1076
 237 - Government Boys High School Labour Square Part-3 (Female),25.34524463795305,68.2847108242402,Female,Sindh,0,3,0,1008
 238 - Government Boys High School Labour Square Part-4 (Female),25.34524463795305,68.2847408242402,Female,Sindh,0,3,0,1052
 231 - Vocational Centre SITE Kotri (Male),25.345263452456134,68.28138376187675,Male,Sindh,3,0,1004,0
 232 - Vocational Centre SITE Kotri Part - 2 (Male),25.345263452456134,68.2814137618767,Male,Sindh,3,0,1188,0
 258 - Government Girls Primary School Mill Area II (Female),25.347005797285224,68.25741274402216,Female,Sindh,0,2,0,854
 239 - Gymkhana Site Kotri (Combined),25.348931377232333,68.27665709862401,Combined,Sindh,2,1,838,369
 192 - Government Boys Primary School Allah Bux Lalani (Combined),25.34927,67.84396,Combined,Sindh,1,1,343,268
 255 - Government Girls Primary School Khursheed Colony Part-1 (Female),25.351216666666666,68.26170333333333,Female,Sindh,0,2,0,716
 256 - Government Girls Primary School Khursheed Colony Part-2 (Female),25.351216666666666,68.2617333333333,Female,Sindh,0,2,0,697
